link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/shanghai-cnq/119649933.html?s=01&t=0,项目经理,上海昊爱生物科技有限公司,0.6-1万/月,上海-长宁区,无工作经验,招2人,民营公司,50-150人,制药/生物工程,上海市长宁区通协路558号,"['\r\n        ', '岗位职责：', '1、全面负责大健康项目的运行。管理和协调项目团队的工作，以确保项目按计划完成。', '2、建立项目管理计划和项目团队；负责预算分配和费用审批。为内部和外部团队成员以及管理层更新项目财务报告；', '3、作为与医院方的项目主要联系人，确保按照计划进行沟通和汇报；', '4、掌握项目团队的工作情况，确认项目团队根据合同和客户要求进行工作；', '任职资格：', '1、专科及以上学历，专业不限，临床医学、药理学、护理学、卫生管理或其他医学科学专业的尤佳；', '2、有在生物科技公司从事项目管理2年以上的工作经历，有较好的团队领导能力，有效的指导和培训能力；', '3、良好的计划、组织和解决问题的能力；', '\r\n                ', '\r\n                                        ', '职能类别：', '项目经理', '销售经理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-pdxq/119647917.html?s=01&t=0,电商策划,金诃藏药股份有限公司,0.8-1.2万/月,上海-浦东新区,3-4年经验,大专,民营公司,500-1000人,制药/生物工程,东方路778号17楼,"['\r\n        ', '1.参与公司各专项的创意策划，与策划相关的信息搜集，协助完成创意策划。', '2.负责相关文案撰写，包括品牌、软文、产品海报/视频、电商详情页等文案。', '3.了解内容营销，结合活动制定有效的内容营销方案，执行跟进，效果评估。', '4.关注同行业产品的促销、广告诉求、文案风格，并结合实际进行优化调整。', '5.协助公司其他临时工作安排。', '任职要求：', '1.市场营销、广告传媒等专业，三年以上大健康、日化、快消品电商工作经验。', '2.熟悉广告创作流程，有敏锐的创作嗅觉和精准的文字表现力。', '3.热爱健康相关的类目。', '4.工作心态积极向上，善于团队协作。', '\r\n                ', '\r\n                                        ', '职能类别：', '文案/策划', '企业策划人员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-cnq/119219957.html?s=01&t=0,养老地产投资总监,上海创岭实业有限公司,2-2.5万/月,上海-长宁区,10年以上经验,本科,民营公司,少于50人,房地产,延安西路2299号世贸大厦2103室,"['\r\n        ', '1、负责养老地产（养老公寓）投资拓展工作。', '2、负责公司项目的推进工作，包括项目所在地细分市场分析、项目可行性评估、合作方案对接、计划节点把控。', '3、充分利用公司关系资源对接项目信息，针对合伙方在产城开发的需求分析、信息储备等，策划、制定与合伙方产城开发的合作方案、节点计划。', '4、结合公司《项目开发业务流程》的要求，负责产城开发项目的引入评估、筛选沟通、对接洽商、投资方选定、签约督办的全过程管理。', '5、熟悉公司产业资源，并针对各地区产业需求、产城开发政策、产城开发发展趋势作研究分析，为公司实施产城开发项目提供信息支持。', '6、确保完成年度成功签约落地项目以及完成项目收入业绩指标。', '任职要求：', '1、本科以上学历，房地产类、经济类或营销专业；', '2、10年以上相关工作经验，5年以上管理团队经历；', '3、有成功拿地经验，熟悉浙江省资源优先考虑；', '3、良好的商务谈判、组织决策、调控、市场分析、沟通协调、团队管理能力；', '4、具备敏锐的行业触觉，熟悉大健康产业，尤其是养老行业市场行情；', '5、具有快速的市场反应及分析能力，能够随时了解并掌握商业、办公、产业地产动态及市场变化；', '6、熟悉区域优势及政府政策。', '\r\n                ', '\r\n                                        ', '职能类别：', '房地产投资管理', '房地产投资分析', '\r\n                                        ', '关键字：', '养老地产开发', '勾地', '养老公寓', '浙江省拿地', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai/119105426.html?s=01&t=0,大客户及体育行业高校全国销售经理,上海毕迈电子科技有限公司,15-30万/年,上海,3-4年经验,大专,民营公司,少于50人,医疗设备/器械,鞍山路5号1206室,"['\r\n        ', '工作职责：', '\xa0\xa0\xa0\xa0', '1.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '独立负责公司所有产品在大客户（药厂、营养品公司）、体育行业（体育局、运动队、体校、国民体质监测中心等），高校的市场销售工作，包括直销和分销，完成公司的下达的销售指标；', '\xa0\xa0\xa0\xa0', '2.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '开发、拓展和管理所负责行业内的销售渠道，支持和协助渠道内的合作伙伴进行产品推广和销售；', '\xa0\xa0\xa0\xa0', '3.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '开发药厂、营养品公司等企业级客户；', '\xa0\xa0\xa0\xa0', '4.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '开发其他非医疗行业的客户；', '\xa0\xa0\xa0\xa0', '5.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '维护专家、重点客户关系，提高公司产品在区域内的满意度和知名度；', '\xa0\xa0\xa0\xa0', '6.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '组织和开展行业内的市场活动；', '\xa0\xa0\xa0\xa0', '7.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '完成公司要求的各项报表；', '\xa0\xa0\xa0\xa0', '8.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '工作地点：上海', '\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0', '\xa0\xa0\xa0\xa0', '岗位要求：', '\xa0\xa0\xa0\xa0', '1.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '大专以上学历，理工背景或体育专业优先；', '\xa0\xa0\xa0\xa0', '2.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '3', '年以上体育行业、高校销售经验或大健康行业销售经验，同时具有直销和分销经验，熟悉设备的销售和招投标模式；', '\xa0\xa0\xa0\xa0', '3.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '高度的责任心和进取心，踏实肯干，具有独立工作能力；', '\xa0\xa0\xa0\xa0', '4.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '良好的沟通能力和市场开拓能力；', '\xa0\xa0\xa0\xa0', '5.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '具有服务意识；', '\xa0\xa0\xa0\xa0', '6.', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0  ', '能适应全国范围的出差', '上海毕迈成立于2009年，是国外多个医疗设备品牌在中国地区的独家总代理商。除在医疗行业外，所代理产品在体育行业、药厂、营养品公司、高校等领域也得到广泛应用，占据主导品牌地位。公司提供诚信自由的发展平台，城邀有志之士加入。', '\r\n                ', '\r\n                                        ', '职能类别：', '销售经理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-jaq/115528180.html?s=01&t=0,高级营养师,上海效量健康科技有限公司,1.2-2万/月,上海-静安区,2年经验,本科,民营公司,50-150人,医疗/护理/卫生,成都北路199号2601室,"['\r\n        ', '1、医学文献搜索整理、翻译；', '2、 根据公司的健康项目管理方案规范，帮助客户减重或者慢性疾病管理；', '3、 有具体特殊人群如：肥胖/糖尿病/高血脂/高血压/痛风/围手术期等营养健康改善的实操经验；', '4、 学习前沿营养及行为管理经验，根据市场调研及业务发展需求，配合产品及运营部门进行管理方案迭代。', '任职要求：', '1、大学本科及以上学历，临床医学、营养学等相关专业；有海外背景者优先考虑；', '2、2年以上临床营养工作或移动医疗、大健康行业相关岗位工作经验；有行为管理经验者优先考虑；', '3、具备优秀的沟通能力、组织协调能力，有高度的责任感，做事严谨细致；', '4、能适应出差和偶尔加班；', '5、性格开朗，爱学习，工作清晰有条理，抗压能力强，积极正能量，能适应创业公司的发展模式；', '6、英语六级以上。', '\r\n                ', '\r\n                                        ', '职能类别：', '营养师', '\r\n                                        ', '关键字：', '营养师', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-mhq/102576224.html?s=01&t=0,连锁门店营业员,上海杏一医疗用品贸易有限公司,6-8千/月,上海-闵行区,无工作经验,本科,外资（非欧美）,50-150人,医疗设备/器械,黄小姐,"['\r\n        ', '企业简介', '（无论我们是哪里人，公司就是我们在上海的家）', '杏一是台湾最大的一家医疗用品连锁企业，上市公司，全台湾235家连锁门店，大企业大平台才有保障。', '杏一大陆地区，中国台湾独资企业，全国6个城市分公司，15家分店。', '公平晋升没有空降兵，发展空间只和你的努力程度有关，每6个月一次晋升考核机会。', '机会是给有准备的人，每月的专业知识培训。定期的医疗护理专业知识，为客人提供服务的同时，也为您及您的家人增加一份健康保障。', '   5.企业前景远大，大健康产业，是时代发展不可或缺的朝阳产业。', '薪资福利', '薪资待遇：底薪+提成+个人特别奖金+目标完成奖金（医护专业有专业加给，有药学或者护士证照的另有证照加给。）', '福利待遇：五险一金，节日津贴，加班补助，带薪年假，法定假日，年终奖金，久任津贴，员工体检。', '在杏一的收获：医疗的专业知识、连锁企业的经营管理。', '岗位职责', '1、接待顾客的咨询，了解顾客的需求并达成销售；', '\xa0\xa0\xa0\xa0', '2、完成商品的来货验收、上架陈列摆放等日常营业工作；', '\xa0\xa0\xa0\xa0', '4、完成上级领导交办的其他任务。', '\xa0\xa0\xa0\xa0', '任职资格', '\xa0\xa0\xa0\xa0', '1、本科以上学历；医护及连锁店工作经验者优先；', '\xa0\xa0\xa0\xa0', '2、具有较强的服务意识，喜欢与人沟通，吃苦耐劳；熟练运用Office办公软件；', '\xa0\xa0\xa0\xa0', '3、可以接受全国范围内出差，调任。', '\xa0\xa0\xa0\xa0', '4、年龄18-32岁，身体健康。', '\xa0\xa0\xa0\xa0', '5、欢迎应届毕业生。', '\xa0\xa0\xa0\xa0', '特别福利：', '\xa0\xa0\xa0\xa0', '最快半年可晋升储备店长', '\xa0\xa0\xa0\xa0', '工作时间：', '\xa0\xa0\xa0\xa0', '排班制，每周休2天。', '\r\n                ', '\r\n                                        ', '职能类别：', '店员/营业员', '导购员', '\r\n                                        ', '关键字：', '有亲和力', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-cnq/119578094.html?s=01&t=0,广告销售（可资源变现合作）,上海万坤实业发展有限公司,6-8千/月,上海-长宁区,无工作经验,招若干人,民营公司,150-500人,通信/电信/网络设备,古北路同诠大厦,"['\r\n        ', '【职位描述：】', '1.负责公司户外的广告业务销售，与客户的洽谈。', '2.能独立开发新客户，定期对市场进行分析和建议。', '3.管理客户关系，完成销售任务。', '4.了解过楼宇广告、户外广告、大屏广告招商工作。', '5.有客户源优先。', '【任职资格：】', '1、二年以上户外广告销售工作经验，熟悉线上广告、线下广告客户的市场推广需求，善于引导；', '2、有一定稳定的客户资源（ 如游戏公司、大健康、房地产、通讯、家电、快消、汽车、金融、电信、IT、互联网+、奢侈品、服装、航空、旅游、时尚生活、家居建材等中高端品牌广告产品直客服务经验，）；', '3、外貌气质良好，具有广告招商经验优先。', '4、有上进心，有抗压能力，团队精神。', '【全日制薪酬福利组成】底薪+提成+绩效奖金+各类补贴+节日津贴', '【业务合作、资源变现】可用51job平台的聊天询问，合作的请先说明来意。', '\r\n                ', '\r\n                                        ', '职能类别：', '广告客户经理', '客户经理/主管', '\r\n                                        ', '关键字：', '户外广告销售', '推广经理', '广告媒介', '品牌公关', '运营', '社区广告', '楼宇广告', '大屏广告', '商场广告', '广告招商', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai/111839005.html?s=01&t=0,产品开发PM,微硕（上海）日用品有限公司,1-1.5万/月,上海,5-7年经验,招1人,外资（非欧美）,150-500人,快速消费品(食品、饮料、化妆品),上海市松江区锦昔路58号,"['\r\n        ', '1、 负责公司产品开发（自制/委外）如期如质如预算的管理', '2、 确保项目在有限资源限定条件下按时保质完成，总体负责各项目的计划、控制、跟催、协调、沟通等。3. 熟悉化妆品、保养品产制流程与品排产作业 4. 委外产品供应商的管理，确保质量到位', '任职要求：', '1、 要有PM项目5年以上经验，喜欢接受挑战；要有很强的抗压能力，责任心强。', '2、 较强的沟通和协调、解决问题的能力', '3、 能配合专案达成责任制者（能配合加班者）', '4、有美业、大健康产业经验者优先', '5. 擅长跨部门沟通、对内外部沟通协调与问题解决', '\r\n                ', '\r\n                                        ', '职能类别：', '生产计划/物料管理(PMC)', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai/119348605.html?s=01&t=0,食品项目研究员/食品研发工程师,上海耀大生物科技有限公司,1-1.5万/月,上海,无工作经验,本科,民营公司,150-500人,制药/生物工程,上海,"['\r\n        ', '岗位职责：', '1.特殊医学用途食品/保健食品设计与创制；', '2.组织与协调功能性食品新产品的中试及工艺优化；', '3.对于大健康市场有一定了解，有养生方面的经验和知识储备；', '4.关注国内外食品或保健食品发展动态，积累研发素材；', '5.指导功能性食品的注册申报，协助撰写申报材料。', '任职资格：', '1. 本科及以上学历，临床、营养、食品、药品等相关专业毕业，5年以上功能食品工作经验；', '2. 熟悉创新功能食品，具备专业知识和行业眼光；', '3. 熟悉功能食品领域相关的法律法规、研发及注册申报流程；', '4. 具备较强的责任心和纪律性，具有良好的职业素养和项目管理能力。', '\r\n                ', '\r\n                                        ', '职能类别：', '食品/饮料研发', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-qpq/119623697.html?s=01&t=0,董事长助理,瑞津（中国）生物科技有限公司,15-20万/年,上海-青浦区,5-7年经验,本科,外资（非欧美）,150-500人,医疗设备/器械,张江高新园区华青路1699号（靠近天辰路）,"['\r\n        ', '1、配合董事长参与公司发展规划、业务经营计划的编制与公司重大决策的讨论；', ' ', '2、负责收集各种相关信息、数据、情报，为董事长决策提供参考、建议；', ' ', '3、在授权范围内协助董事长进行商务谈判，做好各项汇报、联络工作；', ' ', '4、协助策划并参与重要客户的会谈，了解客户需求，解决客户遇到的问题；', ' ', '5、组织并参与前期准备和项目谈判，建立并保持与重要客户、合作伙伴的良好业务关系；', ' ', '6、协助董事长对营运、项目管理等工作做综合性的协调与组织工作，掌握主要经营活动情况。', ' ', '任职资格', ' ', '1、全日制本科及以上学历，2年以上同岗位工作经验，具有市场营销及管理工作经验优先；', ' ', '2、有严密的逻辑思维能力和全面的分析判断能力，较强的统筹协调能力，书面及口头表达能力优秀；', ' ', '3、形象气质佳，工作严谨、踏实认真，有较强的综合协调能力和公关能力；', ' ', '4、具有独立思考特质，大局观强，不矫情，崇尚高度的执行力；', ' ', '5、有大健康行业（会销、体销相关行业），医疗行业销售经验优先考虑。', '\r\n                ', '\r\n                                        ', '职能类别：', '市场/营销/拓展总监', '大客户管理', '\r\n                                        ', '关键字：', '商务谈判', '大客户管理', '市场营销', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
