link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/shanghai-sjq/118446784.html?s=01&t=0,软装灯光设计师,一岛文化创意（上海）有限公司,1-1.5万/月,上海-松江区,无工作经验,招若干人,民营公司,少于50人,建筑/建材/工程,名企公馆,"['\r\n        ', '1、大学专科以上学历；室内设计、环境艺术、建筑、光电源等相关专业毕业。', '2、具有3~5年以上照明行业从业经验。', '3、熟悉各类空间特性及一般照明方式。', '4、可独立进行调研、前期技术沟通、方案汇报、照明设计方案制作、技术沟通交底、现场调试等相关工作。', '5、熟练使用与行业相关的软件（CAD、DIALux、PS、max、office等）', '\r\n                ', '\r\n                                        ', '职能类别：', '室内设计', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-xhq/118105138.html?s=01&t=0,商务助理,上海风像文化创意有限公司,6-8千/月,上海-徐汇区,2年经验,本科,民营公司,少于50人,贸易/进出口,湖南路328号2楼,"['\r\n        ', '岗位职责：', '1.负责各类文档、商务协议、合同等的录入、排版、打印及资料归档；', '2. 协助渠道经理完成市场调查，按照上级提供完成调查数据和表格；', '3.协助上级处理日常事务及与各部门的联络、协调，做好上情下达工作；', '4.执行渠道拓展计划和方案，对销售、策划等部门提供必要的支持；', '5.维系好意向客户，定期沟通和约访，挖掘客户的***潜力；', '6.当日业务情况向上级主管汇报，并根据情况提出合理化建议；', '7.上级交办的其他事务', '任职资格：', '1.男女不限，年龄23-30岁', '2.大学本科及以上学历，日语听说读写流利者优先；', '3.岗位经验：1年以上快消品公司项目拓展及营销，寺庙管理，文化管理，酒店，汽车，银行等行业背景者优先；', '4、敬业、细心、耐心、踏实，有较强的组织协调能力和团队合作精神； ', '5、工作有条理，积极性高，善于时间管理', '除固定薪资外 奖金另计', '\r\n                ', '\r\n                                        ', '职能类别：', '商务助理', '商务主管/专员', '\r\n                                        ', '关键字：', '商务', '助理', '日语', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-cnq/118579572.html?s=01&t=0,3D工装及展览设计师,上海仓刀文化创意有限公司,7-9千/月,上海-长宁区,2年经验,大专,民营公司,少于50人,家居/室内设计/装潢,长宁区协和路787号C座102,"['\r\n        ', '岗位职责：', '1、负责展厅、专卖店、办公室园区等各类工装项目的空间设计,；', ' ', '2、负责相关展览展示设计, 参与公司各类项目的设计及创意工作。', '3、独立完成设计修改；', '4、领导交办其他工作。', '任职要求：', '1、美术设计类专科以上学历，2年以上展览展厅、工装设计公司的3D设计工作经验；', '2、具有路演、大型公关活动工作经历；熟悉公关公司和了解会展公司视觉设计的特点；', ' ', '3、需要懂得材料，电路，安全和结构方面的知识；', '4、熟练掌握3DMAX、PHOTOSHOP、CAD等设计软件；', '5、有展厅、广告、设计类公司从业经验优先考虑，对空间艺术有独到的见解；', '6、善于学习，责任心强，具有团队合作精神。', '根据个人能力给予适合薪资。', '长宁区协和路787号C座 近2号线淞虹路地铁站', '\r\n                ', '\r\n                                        ', '职能类别：', '展览/展示/店面设计', '室内设计', '\r\n                                        ', '关键字：', '各类展厅', '专卖店', '办公室', '各类工装项目', '空间设计', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-hkq/117722456.html?s=01&t=0,文旅策划,上海赛梦文化创意有限公司,0.7-1.2万/月,上海-虹口区,2年经验,本科,民营公司,50-150人,影视/媒体/艺术/文化传播,东大名路687号,"['\r\n        ', '工作职责:', '1.\xa0负责大型文化旅游项目新业态开发与产品定位，制定文创衍生产品可行性方案，为企业文化创新和产品创新提供具有市场价值的方案。', '2.\xa0针对文化旅游创意项目的内容挖掘、文案梳理，创意互动、文化旅游IP衍生周边产品开发与创新。', '3.\xa0对项目品牌维护与产品在数字端的传播内容与营销互动，推动与多类媒体、客房团体之间的交流与内容合作。\xa0', '4. \xa0配合现场管理的运营，结合项目文化背景，制定符合文化旅游的时间产品重要营销节点，制定传播策略与数字端创意内容输出。', '5. \xa0日常负责一些政府类项目资金申请文案、商务客情，接待来访，公司其他类文案的撰写工作。', '任职资格:', '1、性格外向、开朗大方，具有本科及以上学历，广告学、新闻学、中文等相关专业背景；', '2、具备2年以上大型互动文化传媒、广告新媒体公司或全案客户的服务经验，服务过文化旅游公司品牌策划经历优先；', '3、具备完善的策划行业知识和品牌理论基础，系统的策略、策划思考能力，对线上线下营销有着丰富的理论知识和实践经验；\xa0', '4、具备独立执笔完成提案文件和现场提案能力，文字功底深厚；', '5、具备超强的语言表达、沟通能力及敏锐的洞悉市场嗅觉；\xa0', '\r\n                ', '\r\n                                        ', '职能类别：', '市场企划专员', '文案/策划', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-xhq/119478244.html?s=01&t=0,Sr. Event Supervisor,美太芭比（上海）贸易有限公司,1.5-2万/月,上海-徐汇区,3-4年经验,本科,外资（欧美）,150-500人,快速消费品(食品、饮料、化妆品),港汇中心2座,"['\r\n        ', '负责公司授权产品活动现场组织工作与整体把控；', '公司文创活动创意、策划及整体管理；', '第三方供应商的筛选与管理；', '领导交办的其他任务；', '任职资格:', '1、本科及以上学历，有文化创意产业经验者优先；', '2、工作经验5年以上，有三年及以上线下活动执行经验；', '3、有第三方管理经验并具备一定资源；', '4，具备工作热情，善于沟通协作，抗压能力强；', '5，善于解决问题，具备较强的主观能动性，结果导向。', '\r\n                ', '\r\n                                        ', '职能类别：', '活动策划', '会务/会展主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/zhuhai/119632376.html?s=01&t=0,影像仪销售经理,珠海博明视觉科技有限公司,0.8-1.5万/月,珠海,无工作经验,招3人,民营公司,150-500人,仪器仪表/工业自动化,南方软件园B5栋2层,"['\r\n        ', '岗位职责：', '1. 合理安排周、月、季度及年度销售计划，优化销售活动，保证销售指标的完成', '2. 按照公司要求准备客户拜访计划，维持与现有客户的积极客勤关系，稳定销售并实现增长。', '3. 发展新的直接客户和经销商客户，评估客户需求并合理推荐产品和服务，开拓新的销售机遇。 ', '4. 及时在CRM系统内完成销售报告，保证所提供信息的准确性和完整性，在权限范围内进行价格和发货条款谈判，完成订单实现销售目标。', '5. 积极与客户服务、供应链、财务等部门沟通，跟进订单发货、收货、付款和应收账款等事宜。', '6. 遵循公司定价政策，妥善管理所辖区域内的产品价格和利润， 妥善处理客户投诉；  ', '7. 收集并汇报市场趋势、客户反馈、竞品动向等信息，以便公司能快速应对市场变化及客户需求', ' ', '任职要求：', '1. 专科及以上学历，仪表自动化、机械类专业；', '2. 有丰富的同行业产品销售的客户资源，影像测量行业销售精英或工业视觉或者电缆领域经验者优先考虑；', '3. 具有3年以上影像测量设备销售经验；有较强的销售狼性开拓精神、的责任心和敬业精神，良好的沟通协调能力；', '4. 有良好的职业操守，熟练掌握常用办公软件，能适应不定期出差。   ', ' ', '您能享受到的：', '薪酬：极具竞争力的薪资待遇', '工时：5天8小时工作制，双休', '保障：六险一金―>住房公积金+养老保险+失业保险+生育保险+工伤保险+医疗保险+商业保险', '休假：年休假、国家法定假期、带薪病假等', '绩效：突出业绩贡献的项目奖金（上不封顶）', '奖金：优秀员工奖、年终个人绩效奖金（上不封顶）', '福利：应季水果/滋补甜品、各类零食小点、传统节日礼物、员工生日Party、每周体育活动、每月部门团建经费、不定期公司团建活动、年度旅游', '环境：文化创意空间、设备齐全的茶水间、现代健康会所、情侣路全线绿道、无敌绿色办公', '发展：明确的职业发展规划、可享有低价认购公司股权资格，保证未来的长远发展', '\r\n                ', '\r\n                                        ', '职能类别：', '销售经理', '销售工程师', '\r\n                                        ', '关键字：', '销售', '销售代表', '渠道销售', '销售经理', '客户经理', '销售工程师', '业务员', '影像仪', '设备', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-cnq/103789689.html?s=01&t=0,灯光音响展项目主管,上海国展展览中心有限公司,0.8-1万/月,上海-长宁区,5-7年经验,硕士,合资,50-150人,公关/市场推广/会展,娄山关路55号11楼,"['\r\n        ', '公司简介：', '上海国展展览中心有限公司成立于2016年7月。公司继承了成立于1995年的上海国际展览中心有限公司的自办展业务及自办展团队，是上海领先的从事国际会展的专业公司。公司由上海市国际贸易促进委员会与PNO Exhibition Investment （Dubai） Limited共同投资，注册资本7000万元***。', '自办展业务创始于1998年，至今共举办各类展览会超过100个，论坛与会议超1000场，展览面积超过200万平方米。公司拥有一批具有全球影响力的专业展会，涉及文化创意、健康、休闲生活、高端制造、消费电子科技等领域。中国（上海）国际乐器展览会、亚洲消费电子展、中国国际花卉园艺展览会、中国国际轨道交通展览会、中国国际养老辅具及康复医疗博览会、中国国际润滑油品及应用技术展览会、上海国际专业灯光音响设备与技术展览会和北京音乐生活展都是国内领先的行业展会。', '展会简介：', '上海国际专业灯光音响展览会历经15年砥砺，是亚洲演艺设备领域最重要的行业盛会之一。展品覆盖了专业音响、专业灯光、娱乐视听、音视频集成系统、录音与制作、舞台特效、LED产品及大屏幕、舞台器械、公共广播器材、会议系统、相关配件及软件十二大产品类别。展会构建了商贸对接、行业交流、技术培训三位于一体的专业平台，确保参展商和观众立足行业前沿，为业内人士打造更多商机。', '招聘职位：', '灯光音响展项目组 项目主管', '  ', '工作职责：', '1、 完成展览会销售目标，开发新展商、维护老展商；', '2、 负责进行展会市场宣传策划并执行；', '3、 负责进行展会专业观众的邀请工作；', '4、 协助项目团队与展览会合作伙伴建立并保持良好合作关系；', '5、 进行展会现场的执行和服务工作。', '任职要求：', '1、硕士研究生及以上学历', '2、5年以上文化产业会展从业经验', '3、有良好的口头和书面表达能力，英语六级及以上，OFFICE软件操作熟练', '4、熟悉项目管理和操作流程，了解项目相关行业背景、特性及内外部资源', '5、有良好的销售、市场推广及策划能力', '6、责任心强，有较强的执行力和抗压能力以及较好的组织及沟通能力', '年轻而具有活力的团队，和谐融洽的人际关系，为您提供宽阔的事业发展空间与平台。', '如果您有在会展行业崭露头角的意愿，常常脑洞大开，富有激情，注重创新，我们欢迎您加入我们！', '有意者可将简历发至以下邮箱：zhengqi@shanghai-intex.com', '\r\n                ', '\r\n                                        ', '职能类别：', '会务/会展主管', '\r\n                                        ', '关键字：', '会展', '销售', '项目主管', '市场', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-mhq/105985916.html?s=01&t=0,七莘 课程顾问/销售 (职位编号：onlyedu000769),昂立教育集团少儿事业部,0.8-1万/月,上海-闵行区,无工作经验,大专,上市公司,1000-5000人,教育/培训/院校,七莘路1588号紫贝文化创意港104室,"['\r\n        ', '周六日需上班，周一~周四休息两天！', '校区地址：七莘路1588号紫贝文化创意港一楼', '●\xa0岗位职责：', '1、负责为客户提供少儿类培训课程咨询，接待来访学员；', '2、达成销售目标；', '3、辅助完成教学过程中的学员管理和服务工作；', '4、受理客户的来访咨询和电话咨询，并促成报名。', '任职资格:', '●\xa0任职要求：', '1、大专以上学历；无经验者将提供完善且专业的培训；', '2、形象气质佳，热情大方，具备良好的亲和力；', '3、细致耐心，具有良好的沟通交流能力；', '4、热爱少儿教育培训事业，有相关工作经历者优先考虑。', '●\xa0公司福利：', '1、员工入职试用期内便按国家规定缴纳对应的社会保险、公积金；', '2、非上海户籍员工入职满1年，公司可为其申请居住证积分；', '3、应届毕业的优秀大学生，公司可为其办理上海落户；', '4、通过试用期的员工可享受各种节假日礼金、生日礼金以及高温补贴等福利；', '5、工作满1年，可享受公司每年一次国内外旅游；', '6、通过试用期的员工可享受相应的昂立课程优惠；', '7、良好的职业规划方案与内部竞聘机制造就了广阔的晋升空间；', '8、完善专业的培训体系与丰富多彩的企业文化活动体现了公司一流的专业背景。', '●\xa0工作地址：上海就近分配校区', '面试地址：（总部）上海市番禺路667号南洋大楼6楼', '简历投递：', '1、\xa0网站直接申请', '2、\xa0Email：hr_onlychild@onlyedu.com（标题：姓名+应聘职位）', '●\xa0昂立少儿简介', '昂立少儿作为发源于沪上的本土培训机构，专注少儿教育10余年，初期以少儿英语学科作为主打课程方向，现已发展成为英语、语文、数学以及素质类课程等全科齐头并进的综合培训品牌，为3-14岁孩子德智体美劳全面发展铺路。汇聚中教外教，“线上+线下”教学模式，30多家学习中心遍布上海各大区域。', '\xa0', '\r\n                ', '\r\n                                        ', '职能类别：', '培训/课程顾问', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-jaq/119333399.html?s=01&t=0,销售代表/礼赠品顾问,九翼实业（上海）有限公司,4.5-6千/月,上海-静安区,1年经验,大专,民营公司,少于50人,贸易/进出口,沪太路671号,"['\r\n        ', '1、根据公司的客户类型和信息进行沟通，开发新客户；', '2、大专及以上学历，有销售、市场相关工作经验优先；', '3、熟练使用EXCLE,WORD,PPT等办公各种软件；', '4、有较强的沟通技巧、谈判能力、抗压力、责任心及团队精神；', '5、了解文化创意和礼赠品行业，有渠道工作经验优先。', '福利待遇：', '1、入职缴社保公积金；', '2、周末双休，享受国家法定节假日及带薪年假；', '3、节日福利，专属生日会、团队旅游等。', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '\r\n                                        ', '关键字：', '销售代表', '礼品顾问', '渠道销售', '销售顾问', '客户代表', '销售专员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-mhq/111944606.html?s=01&t=0,礼品销售经理,上海�Z釉贸易有限公司,0.8-1.5万/月,上海-闵行区,3-4年经验,大专,民营公司,少于50人,家具/家电/玩具/礼品,中春路6785号C栋208室,"['\r\n        ', '1负责团队企业商务礼品、促销礼品、物料等集采产品的销售', '2根据公司业绩指标，制定销售计划、针对大客户的销售策略，并组织实施；', '3配合领导完成礼品客户的拜访及产品销售，策划、落实营销方案，完成公司对团队及个人的KPI考核。', '4协调内部团队（设计及供应链等）提供满足客户需求的提案和产品，负责客户订单的管控，跟进应收账款的到账情况。', '5撰写客户/市场/渠道调研报告及解决方案，分析客户/市场/渠道的消费特点，制定行之有效的销售策略', '6负责团队建设及日常管理，为团队成员提供业务培训与指导，不断提升团队的专业技能。', '7负责定期整理搜集客户反馈，进行客户服务需求分析和挖掘主动推介公司最新合适于客户企业订制礼品给客户。。', '8根据公司销售计划，完成个人及团队指标的工作要求，努力实现团队优秀的业绩', '任职条件：', '1.\xa0三年以上礼品销售工作经验，熟练使用EXCLE,WORD,PPT等办公各种软件，', '2.\xa0自身有一定的销售经验、谈判技巧，了解文化创意和礼品行业', '3.\xa0熟悉操作流程，了解礼品行业相关的供应关系', '4.\xa0具有丰富的销售管理经验，具备独立的市场开发、销售、策划及管理能力', '5.\xa0对客户心理感知的敏感性和把握能力。', '6.\xa040周岁以下，大专或本科以上学历，综合素质良好', '7.\xa0性格坚韧，思维敏捷，具备良好的应变能力和承压能力', '8.\xa0有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度。', '9.\xa0有礼品、市场营销、广告传媒、国际贸易、工商管理、公关等相关学历背景者优先；', '\r\n                ', '\r\n                                        ', '职能类别：', '销售经理', '\r\n                                        ', '关键字：', '直销销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
