link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/shanghai/109824282.html?s=01&t=0,上海电子商务部门行政助理,索尼（中国）有限公司,5-5千/月,上海,无工作经验,大专,外资（非欧美）,1000-5000人,多元化业务集团公司,上海市张江高科技园区居里路361号,"['\r\n        ', '1>\xa0 京东/', '旗舰店日常业务数据整理', '\xa0', '2>\xa0 ', '京东相关业务协议整理', '  3', '>\xa0 ', '经销商销售数据整理', '  4> ', '协助销售主管', ',', '对销售计划整理', 'Requirement', '1>', '大专以上学历，有相关工作经验者优先', ' ', '2>', '踏实，细致，工作认真，有责任心', ' ', '3>有OFFICE软件应用基础，熟练使用excel', '该岗位为与第三方签约', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '行政专员/助理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-xhq/112956118.html?s=01&t=0,分销专员/淘系分销专员/电子商务专员,上海欧俪德品牌管理有限公司,6-8千/月,上海-徐汇区,1年经验,大专,民营公司,150-500人,贸易/进出口,古美路1528号,"['\r\n        ', '岗位职能：', '1、负责淘系分销的渠道拓展/平台招商、甄选、对接等工作，建设、维护良好的合作关系；', '2、根据分销条约、政策，负责制定及确保分销流程的正常对接和运作；', '3、负责分销渠道的销售跟踪，通过店铺数据、商品销售、售前售后等分析，优化产品策略；', '4、根据渠道分析，定期制定工作计划和相应报告；', '5、深入研究行业、产品、自媒体等平台特性、消费者行为及未来发展趋势，不断提高现有渠道的业务质量。', '任职要求：', '1、 统招大专以上学历，1年以上淘系分销渠道拓展/平台招商经验；进口美妆行业经验优先考虑；', '2、熟悉分销平台的运营环境、交易规则及操作流程；', '3、具备良好的市场开发及营销/沟通能力，有丰富的分销平台资源。', '4、具有优秀的资源整合能力和业务推送能力，能够面对压力及挑战、沟通能力较强。', '                                                ', '5、适应出差工作。', '\r\n                ', '\r\n                                        ', '职能类别：', '渠道/分销专员', '\r\n                                        ', '关键字：', '分销专员', '淘系分销专员', '电子商务专员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-xhq/112619301.html?s=01&t=0,电子商务小红书运营,丽尔莱思生活用品（上海）有限公司,0.6-1万/月,上海-徐汇区,1年经验,大专,合资,150-500人,快速消费品(食品、饮料、化妆品),桂平路471号桂果园9号楼501室,"['\r\n        ', '1.策划、执行在线推广活动，收集推广反馈数据，不断改进推广效果； ', '2.对小红书的运营推广有深刻的见解和操作经验，可以独立开展工作；', ' 3.根据公司发展战略规划及时调整线上各平台短、中、长期发展目标规划，完成线上销售工作目标任务； ', '4.负责平台的数据监控和数据分析，积极主动解决平台运营问题和客户管理工作；', ' 5.制定线上月、季、年度销售任务计划和推广目标计划； ', '6.负责线上站内外营销活动申请和监控，并策划相应活动方案和执行； ', '7.协助配合公司各线上平台产品信息的更新及优化工作、以及完成上级领导交代的其它事宜。  ', '职位要求：', ' 1.男女不限。具有淘宝、天猫、新媒体运营或其它外部平台运营经验者优先考虑； ', '2.市场营销、电子商务、经济管理等相关专业，熟悉互联网行业； ', '3.有一定的小红书文案撰写、运营推广经验，了解互联网的特质，熟悉网络平台的运作和推广的各种方式；', ' 4.熟悉软文、Blog、论坛、社区、群，图片和视频等其他新兴网络推广媒介；', ' 5.具备较强的协调能力，善于于团队协同工作，有敏锐的行业意识。', ' 上班时间：09:00―17:30 周末双休 法定节假日正常休息', '\r\n                ', '\r\n                                        ', '职能类别：', '新媒体运营', '\r\n                                        ', '关键字：', '渠道运营', '新媒体运营', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-pdxq/117155355.html?s=01&t=0,电子商务运营助理,上海煜暖实业有限公司,6-8千/月,上海-浦东新区,无工作经验,招3人,民营公司,50-150人,专业服务(咨询、人力资源、财会),浦东新区泥城镇,"['\r\n        ', '1.  接待上门客户，负责客户的后续跟进', '2.  运用线上资源，解答客户关于房产方面的问题', '3.  了解公司产品知识，能够清晰地表述出来', '4.  有耐心并且细心的了解客户需求', ' ', '公司提供：', '1.  五险一金 ', '2.  自主培养人才，领导阶层全部从基层岗位选拔', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-pdxq/78453513.html?s=01&t=0,互联网销售经理-销售管理-互联网电子商务,中国仪器网,1-1.5万/月,上海-浦东新区,2年经验,招1人,民营公司,50-150人,互联网/电子商务,浦东大道2742号中环滨江大厦1号楼406-407室,"['\r\n        ', '\xa0 \xa0 \xa0', '中国仪器网', '（yiqi.com）是仪器行业的垂直门户网站，定位中国专业的科学仪器专业网站，致力为仪器行业提供专业化的信息服务和网络应用技术的服务。', '\xa0\xa0\xa0\xa0', '中国仪器网', '的主要营收模式为：', '企业会员和网络广告.', '    (中国仪器网提供仪器推广网络平台。让仪器厂家成为我们的会员，以及让仪器供应商在我们平台做广告。)', '\xa0 \xa0 \xa0 \xa0 \xa0', '将军起于行伍,宰相生于州县. 我们相信在领导岗位的必须有基层工作的经验。', '\xa0 \xa0 \xa0 \xa0 \xa0如果只想做管理，没有销售经历，又不愿意从基层做起的人才，建议不要投简历！', '一. 收入情况：', '\xa0 \xa0 \xa0 ', '***年', '：我们只能保证基本收入：6-8\xa0万，只要努力：10-12万不是问题。', '\xa0 \xa0 ', '\xa0 第二年', '：我们保证你的收入：16-22\xa0万，如果努力：25万也不是问题。', '\xa0 \xa0 \xa0\xa0', '第三年', '：我们保证你的收入：25\xa0万，如果努力：30万也可以达到。', '\xa0 \xa0 \xa0**** \xa0只要您勤打电话，勤跟单，不断总结经验，达到此收入是没有问题的！', '\xa0\xa0\xa0\xa0*\xa0', '对销售员***的好处是', '：1.会员数量可以累积， \xa0 \xa02.每个客户提成每年都有。', '\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa03.提成比例高 \xa0 \xa0 \xa0 \xa0 4.立即能对现：月底就结算。', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0只要***年成交了，以后就是做客户关系，客户第二年就十分容易续费了。', '二.\xa0', '岗位职责：', '\xa0 \xa0 1. 根据仪器行业垂直门户网站的盈利模式，结合互联网的营销优势，制定适合公司的营销培训体系', '\xa0 \xa0 2. 起草、修改和完善培训相关制度、流程，建立培训需求体系；', '\xa0 \xa0 3. 制定培训计划并组织实施，开发培训课程，编制培训课件和建立企业培训资料库，撰写培训报告，反馈、评估培训效果；', '\xa0 \xa0 4. 负责销售人员产品知识、服务礼仪、销售技巧等方面的培训，并对参训人员的管理及考核；', '\xa0 \xa0 5. 提炼总结产品应用优势和服务话术、总结企业应用实践，撰写样板行业案例', '\xa0 \xa0 6. 收集潜在客户与同行的资料，负责发掘行业的需求，制定销售策略', '\xa0\xa0', '三.\xa0', '任职要求：', '\xa0 \xa01. 互联网、市场营销等相关专业专科及以上学历；', '\xa0 \xa02. 2年以上互联网营销的实战经；', '\xa0 \xa03. 具备优秀的沟通、理解，需求把握、独立提案以及文字编写能力.', '\xa0 4. 良好的团队组织协调能力及开拓创新精神；', '\xa0 5. 工作踏实激情，具有很强的学习能力、自我驱动性与责任心、良好的团队合作精神。', '四.\xa0中国仪器网业务模式类同：', '\xa0 \xa0 \xa0 \xa0 \xa0 阿里巴巴的B2B网站 (www.1688.com) 与慧聪(www.hc360.com)\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0', '\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0', '同类垂直门户网站(不同行业)', '： 中国化工网 (www.chemnet.com) A股上市公司', '\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0中国工控网 (www.gongkong.com) 新三板上市公司', '\xa0公司的主要盈利模式： ', '企业会员和网络广告 ', '（请清楚此模式，在投简历***认真分析网站:www.yiqi.com)', '五.\xa0', '从事 中国仪器网 (yiqi.com) 会员销售 的***的好处', ':', '\xa0 \xa01.', '会员数每年持续增加:', ' 只要坚持,每年客户的数量都会增加,每年的提成也会相应的增加.<比如:***年50个,第二年就可以100个>', '\xa0 \xa0', ' 2.会员第二年续费容易', ': 只要这个仪器的供应商成为会员,那么这个会员每年都会续费,第二年续费时,销售员只须简单地跟单沟通,客户就会续费.', '\xa0 \xa03.销售提成一直都有', ':只要销售员在公司,每年都可以从这个客户有提成. 这种提成模块就点象保险公司, 五年,十年,每年都有提成.', '\xa0 \xa04.目标客户精准: ', '我们是仪器门户网站,客户都是仪器行业的公司,只要找准关键人即可,而关键人大部是法人或股东(这个工商局网站直接可以查到)', '**', '作为长期努力销售员考虑:', ' \xa0 1.老客户数量是否累加, 2.提成总额是否每年都累加并增加!', '*** ', '很少有哪种销售象这样,只要找准客户,每年都有提成的!', '今天的努力,每年都有回报!!! 一次成功,次次都有提成!! 还有什么可放弃的呢?!!', '\xa0\xa0公司坚持在仪器这个垂直行业深耕，响应总理的', '“互联网+行业”', ' 的号召，用互联网思维来改变工业产业。', '\xa0\xa0未来的互联网产业中，除了目前已经接近白热化的“消费互联网”外，还有一块十分诱人的“产业互联网”的存在。', '\xa0\xa0欢迎您加入“工业互联网”的建设浪潮来；欢迎加入我们公司。', '\xa0\xa0销售部面试电话:\xa0 4008226768 \xa0 \xa0\xa002168559399\xa0\xa0面试联系人: 杨小姐', '\xa0\xa0销售员面试，分公司地址:上海市浦东新区浦东大道2742号中环滨江大厦1号楼406-407室', '\xa0\xa0网站:     http://www.chfang.com    www.yiqi.com (仪器门户网站)', '\xa0\xa0备用网站: http://www.yiqi.com/About/Index/tdln.html (招聘网站建设人员）', '\xa0\xa0', '\r\n                ', '\r\n                                        ', '职能类别：', '销售经理', '商务经理', '\r\n                                        ', '关键字：', '渠道销售', '广告销售', '电话销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-ptq/113288035.html?s=01&t=0,电子商务/运营助理,上海礼遇实业有限公司,5-7千/月,上海-普陀区,2年经验,大专,民营公司,50-150人,家具/家电/玩具/礼品,上海普陀区金沙江路1340弄8号楼敦奴大厦10楼,"['\r\n        ', '岗位职责', '1、负责管理网站后台，上传商品信息图片等相关设置；', '2、负责网站商品的上下架、营销折扣工具的设置、维护等日常管理工作；', '3、负责管理网站的商品订单管理及日常平台操作；', '4、做好公司网站运营推广，及时操作后台简单的系统，输入、核对与管理客户数据；', '5、配合公司业务开展，对后台进行相关操作；', '6、对系统存在问题需求整改部分及时沟通协调解决；', '7、及时完成上级领导交待的其它任务等。', '岗位要求：', '1、电子商务相关专业，2年以上相关工作经验；', '2、具有数据分析管理能力、Photoshop基础者优先考虑；', '3、熟练使用Office办公软件、Windows操作系统，熟悉网站与网络维护；', '\xa04、具有较好的解决实际问题的能力，良好团队合作、沟通能力，责任心、学习能力强；', '\xa05、有淘宝/天猫、京东等电商网站后台操作经验者优先 。', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '网站运营专员', '\r\n                                        ', '关键字：', '电商', '运营', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-jdq/111099303.html?s=01&t=0,电子商务专员,上海一核阀门股份有限公司,4.5-6千/月,上海-嘉定区,2年经验,大专,民营公司,150-500人,机械/设备/重工,上海市嘉定区宝钱公路5888弄8号,"['\r\n        ', '岗位职责：', '1. ', '针对网络上的求购信息，招投标类网站、行业展会，供应商信息搜集工作。', '2.', '对各位信息的筛选整理并提交销售部处理。', '3. ', '针对市场部的联络情况进行跟踪，过程的反馈等。', '4. ', '对客户资料进行整理汇总，完成上级交代的其它工作任务。', '  ', '任职资格：', '1.', '大专以上学历，电子商务相关专业或有一年以上相关工作经验', ';2. ', '熟悉各类', 'B2B', '电子商务平台，熟练使用', 'SEO', '优化', ';3.', '熟练使用', 'office', '等办公软件，会图片及视频处理；', '  ', '4.', '工作认真仔细、勤奋踏实、服务及学习意识强。', '\r\n                ', '\r\n                                        ', '职能类别：', '电话销售', '销售行政助理', '\r\n                                        ', '关键字：', '电销', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-ptq/75126331.html?s=01&t=0,wish电子商务专员,上海拉浪国际贸易有限公司,4.5-6.5千/月,上海-普陀区,无工作经验,招4人,民营公司,150-500人,互联网/电子商务,普陀区真北路915号1807室（绿洲中环中心）,"['\r\n        ', '岗位职责：', '1、负责wish跨境电子商务平台的管理；', '2、负责上传产品，客户的拓展与维护；', '3、处理日常订单，回复客户邮件；', '4、处理评价和交易纠纷，维护店铺良好表现；', '5、参与市场调研，组织店铺活动，拟定相关价格策略和市场策略；', '6、相关报表的制作。', '任职资格：', '1、国际贸易、英语等相关专业，并取得相应的专业四级或达到同等语言水平以上（英语为必备语言）；', '2、热爱外贸行业B2C，熟悉电子商务流程，为人诚实守信，敬业爱岗，工作细致耐心，有责任心，有团队合作精神；', '3、有1年以上wish平台经验者优先考虑，可以接受优秀应届生；', '4、服从公司安排。', '待遇：底薪+提成+五险一金+满勤', '提供岗位培训，欢迎历、应届毕业生加入我们拉浪团队，共同成长！', '公司地址：上海市普陀区真北路915号1807-10室 （绿洲中环中心）', '地铁13号线真北路站3号出口出，步行3分钟即到达', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '贸易/外贸专员/助理', '\r\n                                        ', '关键字：', 'wish', '电子商务专员', '运营', '跨境电商', '外贸', 'eBay', '速卖通', '亚马逊', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai/97001035.html?s=01&t=0,电子商务与运营,三艾人才咨询（上海）有限公司,0.8-1万/月,上海,无工作经验,本科,外资（非欧美）,少于50人,专业服务(咨询、人力资源、财会),上海浦东陆家嘴,"['\r\n        ', '岗位描述：', '1、负责所在区域网络销售代理商和电商销售平台的日常维护和管理，指导完成全年公司目标；', '2、 负责针对电商销售渠道的各类促销和推广方案的执行及与此相关的双向沟通；', '3、 负责网络销售的相关数据统计和分析，对于专用商品进行严格的管理和控制；', '4、协调和管理网络代理商订货、进行库存管理、进行产品知识培训。', '任职要求：', '1、35岁以下，大专及以上学历；', '2、具备较强的沟通、谈判和协调能力，责任心强，能承受较大的工作压力；', '3、熟悉网络销售的运营模式，有电子商务销售和运营工作经验者优先；', '4、熟悉天猫、京东等电商平台的运营方式，操作办法及具有站内广告资源者优先；', '5、熟练使用各种办公软件，具有一定的数据分析能力。', '\r\n                ', '\r\n                                        ', '职能类别：', '渠道/分销主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-pdxq/73170824.html?s=01&t=0,电子商务专员,上海钢之家电子商务股份有限公司,5-7千/月,上海-浦东新区,无工作经验,本科,民营公司,150-500人,互联网/电子商务,上海市浦东新区东方路818号众城大厦23楼,"['\r\n        ', '职位描述：负责钢铁产业链客户在钢之家网站上的电子商务服务，包括客户电子商务平台建设的服务对接、客户供求资源发布修改的服务对接、客户网上洽谈、合同签订、物流配送等相关网上流程的服务对接，为客户提供交易所需的钢铁产业链上相关资讯和咨询服务等。', '岗位要求：熟悉互联网和计算机应用，善于与人沟通和交流，服务意识强，对大宗商品交易业务熟悉者优先，党员，预备党员，优先；', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '商务主管/专员', '\r\n                                        ', '关键字：', '电子商务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
