link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/beijing-dxq/117335735.html?s=01&t=0,大客户经理 (职位编号：004),康之吧（北京）医疗科技有限公司,0.8-1万/月,北京-大兴区,2年经验,大专,民营公司,50-150人,批发/零售,大兴区宏业路9号院（西红门）嘉悦广场8号楼1209室,"['\r\n        ', '1. 本科及以上学历，3-5年以上运营经验，有渠道、内容、产品运营经验者优先；；', '2. 具备独立思考能力，思维逻辑型强，具备较强的数据敏感度及分析能力，以及跨部门沟通、应变、协作能力；', '3. 良好的职业素质和职业道德是必要条件，工作以结果为导向，勤奋，工作责任感，团队精神,有良好合作口碑和合作能力；', '4. 有较强的文案策划能力和图文策划能力；', '5. 以身作则，在工作能力、工作效率和工作态度上具备表率力，诚恳待人，能对身边同事及合作伙伴产生号召力；', '6. 有全品类电商运营背景者优先。', '7.有大健康产业工作经验优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '区域销售总监', '\r\n                                        ', '关键字：', '渠道销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dxq/114815521.html?s=01&t=0,电商运营,亚宝药业集团营销中心,1.5-2万/月,北京-大兴区,无工作经验,招1人,上市公司,5000-10000人,制药/生物工程,亦庄经济技术开发区富兴国际中心,"['\r\n        ', '工作职责:', '1. 负责电商平台产品规划，营销策划及运营，协调资源推进方案计划落地实施', '2. 负责店铺日常管理/产品优化/数据分析，提高体验与转化', '3. 熟悉京东等电商平台的后台管理系统，并会利用相关工具定期对商品数据（如流量、点击率、转化率、重复购买率、客单价等）进行分析，多维度判断店铺问题，制定解决方案，监督执行结果。', '4.负责线上活动策划、营销推广及充分利用京东等电商平台的各种活动资源，完成公司的销售任务。', '任职资格:', '1. 大专以上学历，有1年以上运营经验，有天猫，京东自营平台合作经验者优先', '2. 熟悉京东，天猫，拼多多店铺、VC后台操作，了解平台规则', '3. 思路清晰，具有良好的组织、沟通能力，', '4. 有较强的营销策划能力，数据分析能力，熟练使用各种办公软件', '5. 有医疗大健康类目工作经验者优先', '\r\n                ', '\r\n                                        ', '职能类别：', '网站运营经理/主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/lijiang/99130660.html?s=01&t=0,总经理助理,曼乐途（北京）养老服务有限公司,8-10万/年,丽江,5-7年经验,本科,民营公司,50-150人,酒店/旅游,北门街子云巷121号曼乐途,"['\r\n        ', '岗位职责', '1、协助总经理对公司进行团队管理；', '2、协助总经理做公司战略规划；', '3、负责总经理的日常行程安排；', '4、负责总经理文件，信件，函电的接收与转达；', '5、负责总经理日常经营工作中文件的起草；', '任职资格', '1、28岁以上，本科以上学历；男女不限，身体健康，相貌端正；', '2、有五年以上大健康、房地产、养老行业工作经验；', '3、人品善良，性格开朗、直率；责任心、事业心强，能承受工作压力，团队协作能力佳；', '4、具备良好的沟通协调能力，公文写作功底扎实；', '5、有严密的逻辑思维能力和全面的分析判断能力，较强的统筹协调能力，书面及口头表达能力优秀；', '6、有大健康、养老产业、旅游行业类相关工作背景优先。', '7、作为人才引进，给予公司期权、国外学习机会。', '注：公司目前新项目在云南丽江，该岗位近期部分时间需要在云南丽江工作。公司提供差旅报销及丽江食宿安排。', '\r\n                ', '\r\n                                        ', '职能类别：', '总裁助理/总经理助理', '\r\n                                        ', '关键字：', '总裁助理', '总经理助理', '总裁秘书', '总经理秘书', '董事长秘书', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/118847552.html?s=01&t=0,储备门店经理（北京）,北京泰美好健康管理股份有限公司,0.8-2万/月,北京-朝阳区,无工作经验,大专,民营公司,150-500人,美容/保健,白家庄路3号北饴写字楼B座4层,"['\r\n        ', '高潜人才是我们管理人才梯队的重要入口。', '    ', '如果你对自己有信心，热爱服务行业，看好大健康，请与我沟通！', '    ', '    ', '我们要招募什么样的管理者？', '年龄', '22-30', '岁，全日制专科及以上学历，能保持持续学习的态度，不拘泥于自己过去的成功经验。', '有分析问题、解决问题的能力，并有自己的独到见解。', '有专业的服务态度，良好的品格，诚实正直，有爱心，善于与人沟通，周密细致。', '对于数字有感觉，熟练使用', 'EXCEL', '报表，可以学习财务分析。', '具有奋斗精神，有长远打算，适应我们的上班时间。', '                        ', '    ', '发展方向：', '    ', '从', 'SPA', '顾问***线岗位着手，培养成一个优秀的管理者！', ' ', '在顾问岗位深入了解业务，深度接触管理和店面运营，为未来的发展铺垫。', ' ', '通过公司的重点培养和自身的努力，能够成为店面的管理者。', ' ', '随着公司的发展，成为优秀的领导者，或业务领域的专家。', '                ', '    ', '工作内容：', ' ', '经过我们专业的培训，在优雅的', 'SPA', '氛围之中，为客户提供专业的咨询服务。', ' ', '善于整理客户的信息和画像，善于分析，并跟客户互动，根据客户需求定制合理的护理规划，并落实跟进。', ' ', '辅助经理做好店面运营规划，分析客户、人员、财务等数据，更新计划，提高店面运营能力，也提升自己的管理能力，为下一步成为独立的管理者做好准备。', '                ', '    ', '福利待遇：', ' ', '每天', '8', '小时工作，实习期月休', '4', '天，转正后月休', '6', '天，一年以上的员工可享受每年', '5-15', '天的带薪年假。', ' ', '具有竞争力的薪资待遇，底薪', '+', '提成', '+', '优厚的福利', '+', '国家正规保险，月总收入', '6000-20000', '元。免费提供住宿，宿舍距离门店步行', '15', '分钟。', ' ', '做老板：在成为店面经理之后，有机会获得身股，成为店面的模拟老板。稳定的收益让你在大城市立足。', ' ', '员工创业基金：我们有员工创业支持计划，每年将在员工的工资收入之外奖励一定金额的创业基金，***', '20', '万。', '                    ', '\r\n                ', '\r\n                                        ', '职能类别：', '美容店长', '美容顾问', '\r\n                                        ', '关键字：', '美容店长', '美容顾问', '连锁经营', '运营管理', '带薪年假', '包住', '加班费', '上社保', '创业基金', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing/118720403.html?s=01&t=0,客户经理（北京）,广州贝斯美生物科技有限公司,1.2-2.5万/月,北京,无工作经验,本科,民营公司,50-150人,快速消费品(食品、饮料、化妆品),北京市,"['\r\n        ', '1', '、根据公司销售策略自主开展工作，不断完善本区域销售网络，提高销售效率；', '    ', '2', '、对重点零售连锁系统开展管理工作，不断提升团队执行力和客户的销售业绩；', '    ', '3', '、跟据市场情况及客户情况，有效规划市场工作；', '    ', '4', '、对客户进销存数据进行精确化管理，确保客户库存安全合理，销售指标按时达成；', '    ', '5', '、根据人力资源规划招聘、培训、管理、发展人员，不断提升团队凝聚力和战斗力。', '    ', '    ', '岗位要求', '    ', '1', '、', '24-30', '岁，统招本科', ';', '    ', '2', '、', '3', '年以上快消品直营母婴或', 'KA', '渠道销售管理经验', ';', '    ', '3', '、精力充沛，工作积极主动，具有较强沟通能力和主动汇报工作的习惯，原则性和执行力强', ';', '    ', '4', '、服从公司工作安排，能适应出差。', '    ', '    ', '福利待遇：', '    ', '1', '、六险一金', '    ', '2', '、股权激励', '    ', '3', '、学习深造补贴', '    ', '4', '、员工旅游', '                          ', '    ', '5', '、公司独特福利', '    ', '    ', '贝斯美专注婴幼儿辅食，“中国婴幼儿产业十大健康品牌”，致力做好中国宝宝第二餐！', '    ', '欢迎加入贝斯美大家庭，和我们一起创造奇迹吧', '~', '\r\n                ', '\r\n                                        ', '职能类别：', '销售主管', '客户代表', '\r\n                                        ', '关键字：', '渠道销售', '直销销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/fuyang/114966983.html?s=01&t=0,区域销售总监,安徽高安生物医学科技有限公司,15-20万/年,阜阳,无工作经验,本科,民营公司,少于50人,制药/生物工程,太和县经济开发区和谐大道中科生物基地A3座3层,"['\r\n        ', '岗位职责：', '1、 负责区域内团队的组建，培训，管理，区域开销管控，统筹。', '2、 从事间充质干细胞的抗衰与治疗慢性病的销售、', '3、 负责区域内市场的调研，开发、销售、服务支持与关系维护工作，与目标客户建立良好的业务关系；', '4、 参与市场调查、竞争对手研究、营销策划等，并定期或不定期的为营销策略提供相关市场信息和开拓市场的建设性意见', '3、负责所辖区域市场渠道网络建设与维护工作；', '4、负责完成所辖区域市场各阶段销售指标；', '5、负责所辖区域市场的终端建设、业务推广和品牌宣传等销售工作；', ' ', '任职要求：', '1、28-40岁左右，诚实正直，具有良好的敬业精神和团队合作精神；', '2、本科及以上学历，临床医学类、市场营销、经济管理等相关专业优先；', '3、具备市场销售经验和团队管理经验，具备医院科室的开发维护能力；', '4、从事快消品/保险、干细胞、大健康等相关行业经验优先；', '5、具有较强的市场开拓和团队管理能力善于协调各方面关系，团队协作精神强；', '6、具有较好的团队组建能力与团队培养、管理能力。', '薪酬福利:带薪年假五险一金年终双薪员工旅游定期体检节日福利', '可接受视频面试', '\r\n                ', '\r\n                                        ', '职能类别：', '区域销售总监', '销售总监', '\r\n                                        ', '关键字：', '区域总监', '销售经理', '区域销售总监', '区域销售经理', '销售', '业务总监', '销售总监', '大客户销售', 'KA', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-sjsq/114456894.html?s=01&t=0,销售助理,北京德尔美国际健康科技有限公司,4-8千/月,北京-石景山区,无工作经验,大专,外资（欧美）,50-150人,互联网/电子商务,京原路19号院4号楼201室,"['\r\n        ', '负责开发新客户及渠道布局，有线上或线下经验和资源均可。', '负责维护公司老客户及重点VIP客户提供可持续解决方案。', '负责对公司供应链优势的推广和形象塑造，定期发现及反馈客户问题', '有良好的销售意识、能主动拓展客户群体及分类管理，具备良好的沟通技巧及谈判能力。', '有组建销售团队的经验及管理能力，针对不同群体制定销售方案', '善于洞悉市场及行业，具备一定数据分析能力，喜欢大健康领域', '性格开朗，逻辑思维清晰，有创业精神', '如果您有以下优势，我们将优先聘用：', '有过行业线下峰会、展会的策划和推进经验优先', '从事过跨境电商或国际贸易领域经验优先。', '有互联网采购及德国产品的优先。', '具有一定及快节奏的抗压能力，可接受出差', '\r\n                ', '\r\n                                        ', '职能类别：', '销售助理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/116652546.html?s=01&t=0,销售总经理,国药肽谷有限公司,2.5-3万/月,北京-朝阳区,8-9年经验,大专,民营公司,150-500人,制药/生物工程,朝来高科技产业园18号院7号楼305,"['\r\n        ', '职位信息', '1、负责保健品代理商、商超等渠道商的药品推广实现销售任务。', '2、完成公司既定的销售任务与目标。', '3、负责召开代理商等各渠道商的招商会、定货会、年会。', '4、围绕实现销售目标，定期安排主办产品宣讲及专家讲座。', '5、安排代理商或医院的销售、推广培训；确保销售上量及销售目标的持续实现。', '6、提升品牌知晓率。负责扩大公众号的客户引流。', '7、完善完善销售方案、进行市场开拓、分析和预测。', '8、整理***，跟踪客户合同完成进度，高效服务客户。', '9、执行公司的各类营销宣讲活动。', '职位要求：', '1、学历要求：医药专业或相关专业，市场营销专业大专及以上学历；', '2、年龄要求：40岁以下，有驾照（优）；', '3、职业要求：有医药理论知识基础，熟悉医疗市场，有医药行业销售2年以上市场经验，', '懂招商，会招商。', '4、综合要求：', '4.1身体健康，性格开朗，乐观积极，领导力强悟性高。', '4.2人品好，靠谱，速效、有高要求的实力派。', '4.3有激情、敢追求，勇于接受挑战并付诸实践、拿到结果。', '4.4语言表达力强，形象好，有亲和力，情商高，有团队精神、有良好的团队精神及沟通、协调能力识大体并服从公司安排。', '4.5有在大健康行业从事销售工作经验者优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '医药销售经理/主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/111756741.html?s=01&t=0,市场专员,北京肖然文化传播有限公司,6-8千/月,北京-朝阳区,无工作经验,招1人,民营公司,50-150人,医疗/护理/卫生,北京市朝阳区建国路86号佳兆业北塔1805,"['\r\n        ', '职位描述：', '  ', '1）To B和ToC 客户的开发与维护，完成公开课、游学项目招生工作；', '  ', '2）开发、维护、巩固、提升与客户的关系；', '  ', '3）配合培训项目的执行工作。', '  ', '任职要求：', '  ', ' ', '  ', '1、年龄：22-35岁', '  ', '2、本科以上学历， 2-3年培训顾问工作经验；', '  ', '2、培训行业、大健康行业或医美行业出身，有B端或C端***客户群体沉淀，具备优秀销售综合潜质者优先；', '  ', '3、具备良好的职业素养，有基本的方案呈现能力及理解力，良好的沟通能力及团队合作精神；', '  ', '注：公司是一家结合了中医和心理学的专业机构，通过一对一服务和教育培训的方式，提供个人身心调养、家庭关系改善，企业效率提升等专业服务。现有产品：卓越***专题班、禅茶游学项目等。', '  ', ' ', '  ', '\r\n                ', '\r\n                                        ', '职能类别：', '市场/营销/拓展专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shanghai-pdxq/109908080.html?s=01&t=0,市场推广专员,凡墨健康管理咨询（上海）有限公司,5-8千/月,上海-浦东新区,3-4年经验,大专,民营公司,150-500人,医疗/护理/卫生,三林路88弄明通文化创意产业园3号楼然健康中心,"['\r\n        ', '职位描述：', '1、根据公司阶段性市场需求，负责执行公司下达的市场推广任务及目标，开发市场渠道的合作客户的甄选、运营及管理；', '2、协助市场及运营部门，负责门店的市场开发与宣传工作；', '3、保持与渠道的及时沟通，定期回访，提高认可度和满意度，建立长期稳定的合作关系；', '4、根据市场需求，协助市场经理制定并执行对外市场宣传推广计划，含市场调研、计划制定、活动开展、成效反馈等；', '5、收集、统计市场推广的相关信息反馈，不断优化推广方案，收集潜在客户信息，了解和发掘客户需求及意愿；', '6、学习专业知识，定期收集区域竞争对手及区域市场信息；', '7、完成上级领导交代的其他任务。', '职位要求：', '1、大专以上学历，市场营销类相关专业，1-2年以上市场推广工作经验；', '2、熟悉大健康行业、医美行业，有医疗相关涉及行业市场拓展和营销经验者优先；', '3、具有较强的沟通能力及交际技巧，具备团队合作精神；', '4、具备一定的市场分析及判断能力，良好的客户服务意识。', '\r\n                ', '\r\n                                        ', '职能类别：', '市场/营销/拓展专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
