link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/beijing-hdq/119224087.html?s=01&t=0,销售/店员/营业员,哈里童创（厦门）文化创意有限公司,4-7千/月,北京-海淀区,1年经验,中专,外资（非欧美）,50-150人,餐饮业,世纪金源购物中心,"['\r\n        ', '1、 对零售行业兴趣浓厚；', '2、 擅于学习，如零售知识/商品陈列/账务管理/客户管理/团队管理等；', '3、 应变能力强，可根据情况处理突发事宜；', '4、 对市场信息反映敏感，愿意从基层做起。', '任职要求：', '1、 中专以上学历，有零售经验人员优先；', '2、 服务意识强，有责任感，热情，能与顾客进行良好的沟通；', '3、工作认真负责，团队合作意识强。', '\r\n                ', '\r\n                                        ', '职能类别：', '店员/营业员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/119224013.html?s=01&t=0,DIY烘焙师/营业员/店员,哈里童创（厦门）文化创意有限公司,4-7千/月,北京-朝阳区,1年经验,中专,外资（非欧美）,50-150人,餐饮业,国贸三期北区FAO,"['\r\n        ', '1、指导与协助客户完成DIY烘焙产品制作；', '2、门店零售产品销售；', '3、会员信息跟进与更新；', '4、库存盘点及相关数据表格统计；', '5、店长安排的其他工作。', '任职要求：', '1、年满18岁，有合格健康证；', '2、有烘焙知识基础或对烘焙有浓厚兴趣；', '3、了解儿童心理，擅于与儿童沟通；', '4、有耐心，能维持良好的客户关系。', '\r\n                ', '\r\n                                        ', '职能类别：', '西点师', '店员/营业员', '\r\n                                        ', '关键字：', '店员/烘焙', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/117069150.html?s=01&t=0,小学科技课老师（可***）,梦想成功文化创意（北京）有限公司,0.8-1万/月,北京-东城区,2年经验,本科,非营利组织,50-150人,教育/培训/院校,东直门外,"['\r\n        ', '职位描述： ', '1 能够教授小学科技课，熟悉科技竞赛规则和发展方向。 ', '2 分析科技竞赛要求，为学生提供参赛辅导。 ', '3 编制本课程课件及教学资料。 ', '任职资格： ', '1 本科以上学历，相关专业，从事科技教学3年以上教学经验； ', '2 对科技竞赛项目培训有研究，熟悉各项目竞赛程序，熟悉历年竞赛情况 ', '3 熟练掌握OFFIC 办公软件的使用和教学 ', '4. 具备相关知识，能透彻分析竞赛的规律、特点、重点、趋势及参赛方法； ', '5. 普通话好、有亲和力和幽默感，课堂讲解生动贴切，有良好的互动技巧，能调动课堂气氛，能够理论联系实际; ', '6 责任心强，爱岗敬业; 具有丰富的教学经验者优先考虑。', '\r\n                ', '\r\n                                        ', '职能类别：', '小学教师', '\r\n                                        ', '关键字：', '科技课教师', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/114771368.html?s=01&t=0,小学数学老师,梦想成功文化创意（北京）有限公司,0.8-1万/月,北京-东城区,2年经验,本科,非营利组织,50-150人,教育/培训/院校,东直门外,"['\r\n        ', '1.负责学校初小学数学课的教学及班主任工作', '2.参加教学研究工作，掌握所教学科的教学大纲、教材教学原则和教学方法；', '3.服从学校工作安排，积极参加学校各项活动，主动承担教育教学工作；', '4.善于和家长沟通，随时做好回访工作；\xa0', '任职资格：\xa0', '1.有2年以上全日制学校初数学教学工作经验的优秀教师，具有教师资格证', '2.有国际学校教学经验者优先，能胜任双语教学者优先', '3.大学本科以上学历,所学专业与职位要求相符，师范类专业或学前教育专业优先', '4.有较强的组织学生能力,教法灵活', '5.热爱学生，尊重和维护学生的权利和利益，有较强的亲和力、责任心、耐心和沟通', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                        ', '关键字：', '小学数学老师', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/114701043.html?s=01&t=0,小学托管班教师,梦想成功文化创意（北京）有限公司,6-8千/月,北京-东城区,2年经验,本科,非营利组织,50-150人,教育/培训/院校,东直门外,"['\r\n        ', '1.小班化教学，对小学生进行课后作业辅导。', '2.开展校区内其他形式的教学活动。', '3.与家长沟通并反馈学生的学习情况，针对教育情况给予建议。', '任职资格：\xa0', '1.全日制专科以上学历。', '2.性格开朗，富有亲和力、责任心，普通话标准流利。', '3.有过家教、托管班经验及教师资格证者优先。', '4.热爱并有志从事教育行业经验者可放宽要求。', '\r\n                ', '\r\n                                        ', '职能类别：', '小学教师', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/104275442.html?s=01&t=0,教务管理,梦想成功文化创意（北京）有限公司,4.5-6千/月,北京-朝阳区,无工作经验,本科,非营利组织,50-150人,教育/培训/院校,三元桥,"['\r\n        ', '1负责公司合同等文件资料的管理、归类、整理建档和保管工作；', '2对学生资料的管理、归类、整理建档和保管工作；', '3负责已报考学员的资料信息收集及开课咨询等；', '4组织学生考试，通知学生考试事宜和信息上报；', '5收集、整理教学资料；', '6协调教学老师、教学安排，编制课表；', '7协助完成领导交办的其他工作。', '任职要求：', '1、本科以上学历，工商管理、经济类专业；', '2、性格开朗大方，善于沟通协作，具备良好的表达能力。', '3、熟练使用office,photoshop等办公软件，具备行政管理知识，有行政工作经验者优先；', '                                                    ', '4', '、有较强的工作主动性和执行力，责任感强，吃苦耐劳，愿意承担工作压力和挑战。', '\r\n                ', '\r\n                                        ', '职能类别：', '行政专员/助理', '培训助理', '\r\n                                        ', '关键字：', '教务管理', '教学管理', '文秘', '文职', '培训助理', '文秘助理', '教务办公室', '办公室', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/101474055.html?s=01&t=0,小学英语老师,梦想成功文化创意（北京）有限公司,0.8-1万/月,北京-东城区,2年经验,本科,非营利组织,50-150人,教育/培训/院校,新中街,"['\r\n        ', '岗位职责：', '1、负责英语学科教学工作；', '2、定期参加集体备课并参与讲义的编写。', '3、对教育行业有一定的了解和认同，能持之以恒。', ' ', '任职要求：      ', '1、熟悉北京地区小学英语等级考试；（KET、PET、FCE等）', '2、能讲授三一口语、新概念和剑桥少儿英语者优先；', '3、英语专业或是师范院校相关专业者优先；', '4、对北京地区小升初政策有一定的了解。', '5、本科（含）以上学历，热爱教育事业，责任心强；', '6、普通话标准，表现力强，思路清晰，善于沟通交流；', '                                                ', '7、年龄在45岁以下，具有扎实的知识功底。', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '小学教师', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/101441210.html?s=01&t=0,青少年生涯规划师/学业规划师,梦想成功文化创意（北京）有限公司,0.8-1万/月,北京-朝阳区,2年经验,本科,非营利组织,50-150人,教育/培训/院校,三元桥,"['\r\n        ', '1、岗位职责：', '（1） 承担青少年学业规划和生涯规划工作。', '（2） 承担青少年心理健康教育和青春期成长指导。', '（3） 承担家庭教育、亲子关系教育指导。', '（4） 负责学生的学业辅导，激发学生学习兴趣、传授学生学习方法、培养学生学习习惯。', '（5） 负责各种规划辅导相关活动的制定与执行。', '2、岗位要求：', '（1） 教育学、心理学等相关专业优秀硕士毕业生，有家教经验者优先。', '（2） 教育学、心理学、人力资源等相关专业重点大学本科优秀毕业生。', '（3） 已获得国家二级心理咨询师和二级人力资源管理师等证书者优先。', '（4） 有爱心，具有良好的职业道德修养，沟通协调能力强。', '（5） 有责任心，沟通力强，可与陌生人较快建立信赖感。', '3、  薪资待遇', '（1）具有竞争力的薪水和高绩效奖金；', '（2）五险一金；', '（3）协助办理北京工作居住证；', '（4）免费员工职业发展规划及能力提升；', '（5）免费员工子女学业规划及教育福利；', '  （6）团队旅游；', '                                                                            ', '（', '7', '）快速晋升的机会。', '\r\n                ', '\r\n                                        ', '职能类别：', '专业顾问', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/118661409.html?s=01&t=0,招商主管,上海德必文化创意产业发展（集团）股份有限公司,1-1.5万/月,北京-朝阳区,1年经验,大专,民营公司,150-500人,多元化业务集团公司,东风南路8号院东枫德必B栋,"['\r\n        ', '岗位职责:', '1.\xa0独立进行现场接待、商务谈判及签约等；', '2.\xa0开发客户和拓展资源；', '3.\xa0协助招商经理完成相关项目市场调研工作；', '4.\xa0独立规划业务工作，招商过程中发现并解决问题；', '5.\xa0与客户保持良好沟通，维护客户关系。', '\xa0', '任职资格:', '1.\xa025-35岁，1年以上写字楼租赁经验，语言表达能力强，现场执行效率高；', '2.\xa0性格开朗，良好的沟通协调能力；', '3.\xa0有很强的学习能力与抗压能力；', '4.\xa0敏锐的写字楼市场洞察力；', '5.\xa0有很强的服务意识和团队协作意识。', '\r\n                ', '\r\n                                        ', '职能类别：', '物业招商/租赁/租售', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/116432444.html?s=01&t=0,行政文员/助理,上海德必文化创意产业发展（集团）股份有限公司,4.5-6千/月,北京-东城区,1年经验,大专,民营公司,150-500人,多元化业务集团公司,北京市东城区光明西街1号,"['\r\n        ', '1、公共区域环境及设施设备日常巡视；', '2、日常行政物品采购，办公用品耗材的管理及办公设备的管理与维护；；', '3、协助做好客户及政府等接待任务；', '4、固定资产定期盘点，建立固定资产台账；', '5、客户档案整理及汇报，园区各类行政统计报表制作及汇总；', '6、领导安排的临时项目性工作。', '任职资格：', '1.\xa0良好的沟通能力、乐意学习新事物；', '2.\xa0仪表端庄，普通话流利，工作热情积极、细致耐心；', '3.\xa0具有一定的组织协调能力，能协助主管处理日常各种事物和突发事件；', '4.\xa0一年以上行政经验，有中型办公楼物业管理经验，或酒店工作经验为佳。', '5. 熟练使用office相关办公软件；', '6. 对待工作认真努力，进取心强，能够接受较强压力。', '工作地址：', '1.天坛WE‘’，东城区法华寺街91号；', '2.龙潭WE‘’，东城区光明西街1号；', '3.东枫德必WE‘’，朝阳区东风南路8号院。', '\r\n                ', '\r\n                                        ', '职能类别：', '物业管理专员/助理', '行政专员/助理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
