link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/beijing-sjsq/86630319.html?s=01&t=0,电子商务 网站运营 网络推广,西马力（北京）仪器有限公司,4-7千/月,北京-石景山区,2年经验,大专,民营公司,50-150人,机械/设备/重工,北京石景山区万达广场C座21层,"['\r\n        1.工业设备电商平台运营推广；', '2.店铺的日常管理，产品信息发布维护，接待客户网络电话咨询；', '3.定期监控店铺数据，对数据进行分析，并及时做出改进措施；', '4.运用百度、网盟等网络推广手段，提高公司网站访问量；', '5.定期更新公司网站、微信公众号等平台信息；', '6.领导交办的其他事务性工作；', '任职要求：', '1. 学历要求：大专及以上学历', '2. 工作经验要求：2年以上B2B、B2C从业经验，1688等电商平台运营经验；', '3. 能力要求：具备较强的工业产品知识学习能力，熟悉1688平台运营操作流程，熟练掌握百度等网络推广手段；', '4. 工作责任心强，具备团体协作精神；', '5. 计算机、电子商务等相关专业背景，有工业类产品工作经验者优先考虑。\r\n                ', '\r\n                                        ', '职能类别：', '网站运营专员', '电子商务专员', '\r\n                                        ', '关键字：', '电子商务', '网站运营', '网络推广', '网站营运专员', '电子商务专员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/109227825.html?s=01&t=0,电子商务专员,北京康乐欣文化用品有限公司,5-6千/月,北京-东城区,2年经验,大专,民营公司,少于50人,印刷/包装/造纸,西革新里108号院,"['\r\n        ', '1、负责电子商城的销售与管理工作，实时优化电子商城，更新与维护商城商品，提升店铺点击率和浏览量，完成公司的目标销售额；', '2、策划网店营销活动方案，提升网店成交额，进行店铺日常维护，及时准确的跟进订单，保证网店的正常运作；', '3、协助运营总监推销电子商城的商品以及电子商城的活动策划；', '4、电子商城价格与维护，保持价格竞争力，促销、限时打折价格设定等后台工作；', '5、服从领导安排的其他工作。', '任职资格', '1、大专及以上学历；', '2、热爱电子商务，热爱销售工作；', '3、性格外向、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；', '4、具备一定的市场分析及判断能力，良好的客户服务意识；', '5、有责任心，能承受较大的工作压力。', '\r\n                ', '\r\n                                        ', '职能类别：', '网络/在线销售', '销售经理', '\r\n                                        ', '关键字：', '商务专员', '电子商务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/75319628.html?s=01&t=0,电子商务项目经理,北京米茜尔服装有限公司,0.8-1万/月,北京-朝阳区,3-4年经验,本科,民营公司,500-1000人,服装/纺织/皮革,青年路7号达美中心2号楼19层,"['\r\n        岗位职责： ', '1. 根据公司业务战略目标，拟定项目年度销售指标； ', '2. 电商数据分析及统筹（货品品类，库存深度，销售占比） ', '3. 负责项目整体成本预算拟定及成本控制管理； ', '4. 负责项目内所有网店或渠道统筹及管理； ', '5. 负责对接项目所有流程及各部门沟通与执行； ', '6. 负责整合项目内外部资源及管理监督； ', '7. 项目运营过程中其他各项紧急事项的预案及处理。 ', '任职要求： ', '1. 大学本科及以上学历，3年以上行业工作经验； ', '2. 掌握电子商务的运营模式，熟悉电子商务各项流程； ', '3. 熟悉天猫或淘宝的运营环境，交易规则，广告流程推广； ', '4. 对数据敏感，具有一定数据分析能力； ', '5. 具有优秀的语言表达和应变能力，高效的沟通能力和执行能力；\r\n                ', '\r\n                                        ', '职能类别：', '电子商务经理/主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/119185880.html?s=01&t=0,总部电子商务公司财务部营销财务分析师（北京） (职位编号：023044),内蒙古伊利实业集团股份有限公司,1-1.5万/月,北京-朝阳区,2年经验,本科,上市公司,10000人以上,快速消费品(食品、饮料、化妆品),东三环南路19号院联合国际大厦甲段三层,"['\r\n        岗位职责:', '1、全面预算管理', '1） 根据集团预算管理委员会的预算编制精神和要求，协助电商财务经理完成平台预算的编制及审核；', '2） 汇总电商平台的滚动预测数据，结合实际业务情况，充分与业务人员沟通，合理预判平台整体的滚动预测数据；', '3） 根据实际数据，协助电商财务经理出具预算与实际执行差异对比分析，对平台预算执行情况进行过程监督与管控，实现事前管控，找出执行偏差问题及原因，提报平台经营者进行整改及跟踪；', '4） 根据电商平台各项业绩指标，协助电商财务经理出具各级业务人员预算考评数据，保证提供数据的及时、准确性。', '2、经营决策支持', '1）协助电商财务经理参与平台营销策略规划； ', '2）依据集团、电商公司的分析模型，搭建平台的分析体系及数据库，出具常规的平台整体收入、费用及利润等财务分析报告，为平台持续经营提供有利的决策依据；', '3）协助财务经理对生意额、增长因素、利润率、投资回报率等经营指标的分析，对各所负责平台进行整体汇总分析及对比分析，为电商财务经理提供数据支持及解释，为电商管理层提供所需的分析报告；', '4）协助财务经理分析SKU价值链，产品全生命周期价格走势追踪，识别风险和机遇；产品标准价格确定及调整管理，保证产品处于正确的定价位置；', '5）协助财务经理搭建并寻求平台个性化需求分析模型，出具专项分析报告，满足平台业务发展需求；', '6）统筹汇总并审核电商平台的其他类分析需求。', '3、过程控制', '1）参与电商营销内部控制与风险控制，实施风险管理，对业务经营风险提供风险预警示与应对措施；', '2）协助财务经理关注存货管理，对进销存信息动态追踪及新鲜度分析，特别是终端新鲜度；', '3）针对电商平台提报营销费用的提报、申请、审批、执行、预提、结案等过程的全过程闭环管控、审核并登记（或者TPM系统报表提取）；', '4）平台结算、对账开票，对应收账款的进行监督审核度，确保应收账款明晰准确，无呆坏账产生；', '5）负责电商平台营销费用的预提及年底预结案工作，确保费用入账的及时、准确；', '6）协助财务经理完成平台体系（天猫或者京东）内部流程梳理，监督并反馈各平台费用执行情况；', '7）针对日常运营及大促期间进行价格监测；', '8）协助财务经理召开电商分析会。', '4、其他对接', '1)  积极与平台各品类运营负责人员的工作对接与服务支持；', '2） 对平台业务人员的进行财务指导，平台决策需求及相关制度的上传下达工作；', '3） 促进内部信息的对标学习及培训，定期组织经验交流会，提高自身及部门内部分析能力；', '4） 负责对接财务共享中心，完成大区办共享对接相关工作。', '5)  对所有申请、批复、报告等资料进行归档，做好档案管理。', '5、完成上级交办的其它工作。', ' ', '任职资格:', '1、熟练掌握会计基础知识、财务预测、财务管理分析、预算管理、市场营销知识、内控与风控知识等；', '2、良好的沟通及解决问题能力；', '3、掌握良好的分析能力、解决问题能力、交付结果的能力、业务伙伴意识、结果导向型思维、团队协作意识等。', '\r\n                ', '\r\n                                        ', '职能类别：', '财务分析经理/主管', '财务分析员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/112211142.html?s=01&t=0,电子商务专员,上海华膜实业有限公司,4-8千/月,北京-朝阳区,2年经验,大专,民营公司,150-500人,贸易/进出口,大鲁店北路（青鸟物流东侧20米院内）,"['\r\n        ', '1、负责企业淘宝/阿里店铺营销和百度推广，结合淘宝阿里资源进行有效的活动申报和促销推广，提高店铺浏览量和转化率，并定期针对推广效果进行跟踪、评估和统计分析，及时提出营销改进方案；', '2、精通淘宝阿里平台游戏规则，并结合公司产品特性，制定有效的营销策略，提升店铺的销量。', '3. 对店铺流量统计分析、产品排名分析、不断调整达到最优化。', '4. 了解阿里巴巴、淘宝的各项活动，参加过淘宝的 直通车活动 淘宝客 淘金币 聚划算等。', '5. 完成上级交代的其它工作内容，并善于总结经验，为达到销售业绩提供决策， 完成公司指定销售额。。', '6、负责企业淘宝店/阿里后台的日常维护、产品更新。', '7、利用网络进行公司产品的销售及推广；', '8、负责公司网上贸易平台的操作管理和产品信息的发布；', ' 岗位要求：', '1、运营的工作，有耐心，做事认真细心负责，诚实可靠，长期稳定的工作；', '2、有淘宝 阿里巴巴运营经验 精通各种网络销售技巧，有网上开店等相关工作经验，熟悉各大门户网站及各网购网站优先 ', '3、能独立完成销售和接单；良好的客户沟通技巧，亲和力和应变能力，善于把握客户的心理；富有想法和活力', '4、积极主动，有激情，坚持原创打造当地特色的网店，高底薪高提成，与华膜共创未来！', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '网店/淘宝店长', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-dcq/118654543.html?s=01&t=0,电子商务运营支撑,河北博岳通信技术股份有限公司,5-7千/月,北京-东城区,2年经验,大专,民营公司,10000人以上,通信/电信运营、增值服务,中粮置地广场,"['\r\n        ', '1、负责业务相关行业的调研分析，并配合开展商户、类目及品牌审核工作。', '2、负责商户合同相关的审批及签署等工作。', '3、负责进行相关商户及商品的日常运营工作。', '4、协助解决与商品及商户相关的疑难投诉处理及考核监控等工作。', '工作经验要求：', '1、2年以上互联网或电子商务网站运营工作经验；熟悉电子商务行业；', '2、逻辑清晰；良好的沟通技巧、较强的文字表达功底及撰写电子简报能力；', '3、具有较强的责任心、沟通能力、主动学习能力及良好的团队意识；有组织、协调能力和团队合作精神；', '4、熟练使用Word、Excel、PPT等OFFICE办公软件。', '\r\n                ', '\r\n                                        ', '职能类别：', '产品专员', '\r\n                                        ', '关键字：', '互联网', '电子商务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cyq/100015023.html?s=01&t=0,电子商务互联网金融Java开发工程师,中科软科技股份有限公司,0.8-1万/月,北京-朝阳区,1年经验,本科,民营公司,5000-10000人,计算机软件,朝阳区双井百环大厦15层,"['\r\n        ', '岗位职责：', '负责金融保险行业电子商务软件的设计、研发工作', '任职要求：', '（1）计算机相关专业本科毕业,具有1年以上Java使用经验； ', '（2）熟练掌握基于Web的应用程序开发；', '（3）熟悉Html、JavaScript、', 'JQuery、', 'Vue', '开发；', '（4）熟练掌握Spring、Struts、Hibernate', '，', 'Springboot', '等J2EE开源框架，具有相关技术框架的开发经验；', '（5）有大型数据库开发经验（具有oracle数据库开发经验优先考虑）.', '\r\n                ', '\r\n                                        ', '职能类别：', '互联网软件开发工程师', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cpq/85722516.html?s=01&t=0,电子商务专业教师,北京市商业学校,1-1.5万/月,北京-昌平区,无工作经验,本科,事业单位,150-500人,教育/培训/院校,北七家镇,"['\r\n        岗位职责：   ', '        承担教育教学工作、信息资源建设、课程教学、专业和实训基地建设、学生职业能力培训指导，教科研，班主任、实习管理等，升学、就业指导等；完成领导交办的其他工作。', '任职条件：', '        具备教师资格证者优先；具有从业经验者优先；师德为先、学生为本、能力为重、终身学习；具有较强的责任心和大局意识，具备较强的教育教学能力、信息化教学能力和教科研能力；能承担学校教育教学及重点工作任务；电子商务专业；具有副高级职称或者相关职业资格证书，可以适当放宽条件。\r\n                ', '\r\n                                        ', '职能类别：', '职业技术教师', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-cpq/118158178.html?s=01&t=0,跨境电子商务运营经理,北京汉诺金健康科技有限公司,6-8千/月,北京-昌平区,无工作经验,招若干人,民营公司,少于50人,贸易/进出口,七北路42号院云集中心C座4号楼1103,"['\r\n        ', '  跨境电子商务运营经理 ? 岗位职责    ', '1.   熟悉跨境电子商务流程，负责公司品牌在天猫，京东等平台从0到1运营工作，制定营销策略、优化运营流程并形成完善的体系；', '2.   独立运营平台账号，日常维护，优化产品推广，综合利用各种营销手段提高品牌曝光度、销售转化率和市场占有率；', '3.   定期及不定期进行平台引流宣传和线上促销活动运营；', '4.   日常营销数据、交易数据、库存数据、竞品数据的监控管理与分析；', '5.   平台客服及售后问题处理，技术产品需求和问题处理；', '                        跨境电子商务运营经理 ? 职位要求    ', '1.具有两年以上跨境健康保健行业经验者优先；', '2.良好的策划推广能力和项目执行能力以及管理能力，能够组建和带领团队者优先；', '3.具有海关操作经验者优先；', '4.积极主动、较强的抗压能力和自主适应能力；', '5.语言流利，表达通力强；', '                            跨境电子商务运营经理? 工作内容    ', '1. 负责公司产品渠道开拓与销售，积极完成规定的销售指标；', '  2. 与客户保持良好的沟通，了解客户需求； ', '  3. 主动走访市场，开拓新渠道；', '  4. 充分掌握公司产品知识及价格体系，对所辖代理进行不间断的产品培训及销售指导。不断提高自己专业水平；', '  5. 销售人员要自觉遵守公司各项制度，有临时工作要积极主动配合完成； ', '        跨境电子商务运营经理? 薪资待遇    ', '1.享有出差补助；', '  2.享有公司年假待遇；', '  3.享有五险一金（及补充保险）；', '4.每年享有专业性的培训机会；', '  5.餐费补助、通讯补助、交通补助；', '6.享有每年一次的体检待遇；', '                跨境电子商务运营经理? 销售提成 ', ' 1. 按公司规定完成月销售指标10万-100万；', ' 2. 销售提成额3000元-100000元；    ', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/beijing-hdq/118346012.html?s=01&t=0,设计专员-电子商务-实习生,北京方正世纪信息系统有限公司,150元/天,北京-海淀区,无工作经验,本科,外资（非欧美）,500-1000人,计算机硬件,北京市海淀区上地信息路18号创新大厦2层,"['\r\n        ', '职位描述：', '1、负责协助进行淘宝、京东、苏宁的电商平台的店铺装修，广告海报页面创意设计；', '2、负责协助制作商品详情页，详情页面产品资料和信息，对所店铺所销售的产品进行描述的策划及设计；', '3、负责协助进行店铺促销期的设计排版及促销宣传版面，配合推广制作推广宣传图；店铺网页的设计、专题banner、页面的美化、各种活动及专题页面的制作；', '?任职资格：', '1、工业设计、美术、视觉传达等设计相关专业大三或大四在校生；', '2、能较好的把握视觉色彩与网站布局，有较好的审美视觉和展现能力；', '3、熟练使用PS、AI等设计软件；', '4、具有较强的学习能力以及良好的沟通能力。', '\r\n                ', '\r\n                                        ', '职能类别：', '实习生', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
