link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/guangzhou-pyq/98868276.html?s=01&t=0,客户经理（功能食品原料）,上海诚一大健康科技集团有限公司,1-1.5万/月,广州-番禺区,2年经验,大专,民营公司,150-500人,批发/零售,广州,"['\r\n        ', '职位描述 Job Description', '1、 根据公司总体计划要求，协助客户总监执行公司销售政策，按时达成公司销售目标；', '2、 做好区域内客户的维护和管理，挖掘老客户的新项目及其他新的销售机会。', '3、 对销售情况进行分析总结，明确工作目标和方向，做好项目推进。', '4、 做好货款回收工作，确保帐款的安全；', '5、 及时处理日常发生的客户投诉问题，对客户所提的意见及建议进行分析汇总并反馈相关部门，对处理结果进行跟踪；', '6、 负责建立完整的客户管理档案和客户信誉评估；', '任职要求 Job requirement', '1. 大专学历及以上；', '2. 具有食品配料、功能食品、保健品行业从业经验；', '3. 2年以上销售、营销或市场相关工作经验；', '4. 热爱销售工作，有能力开发和管理客户；', '5. 具有很强的谈判技巧、沟通能力、行动力；', '6. 良好的敬业精神、团队精神和职业道德操守。', '\r\n                ', '\r\n                                        ', '职能类别：', '客户经理/主管', '\r\n                                        ', '关键字：', '客户经理', '销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-byq/118470167.html?s=01&t=0,技术经理（中医养生）,广州元生态大健康科技有限公司,1-1.5万/月,广州-白云区,2年经验,本科,民营公司,500-1000人,酒店/旅游,远景路,"['\r\n        ', '1.\xa0直接负责中医养生技术类产品的开发、设计、跟进等相关工作；', '2.\xa0按照《产品开发流程》规定进行项目开发、编制资料输出；', '3.\xa0技术诊疗路径的制定，并根据诊疗路径制定相应的手法；', '4.\xa0外购技术产品所需物料确认并跟进；', '5.\xa0技术类产品档案的编制；', '6.\xa0原有项目的介绍、理论和技术的升级；', '7.\xa0新开发项目使用说明的编制；', '8.\xa0技术类产品使用前的相关部门培训；', '9.\xa0技术类项目对培训学院的培训；', '10.上级主管交办的其他工作。', '任职要求：', '1.\xa0本科以上学历，中医类专业教育背景或师从中医界名师；', '2.\xa0中医医疗行业2年以上临床经验或中医养生行业3年以上工作经验；', '3.\xa0中医基础理论功底好，能专业的分析各类健康问题的机理及预后，常见病的分析辩证能力强，对中医外治法精通，能熟练解决临床常见的疾病；', '4.\xa0具备较强的商业意识和客户理解能力；', '5.\xa0良好的语言沟通能力，较强的培训技能。', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                        ', '关键字：', '中医', '养生', '研发', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/115863928.html?s=01&t=0,采购（6号线植物园地铁站旁）,美徕健（广州）大健康产业有限公司,4-6千/月,广州-天河区,2年经验,大专,民营公司,50-150人,制药/生物工程,迎龙路5号华粤百胜商业中心6楼619室(迎龙优创汇),"['\r\n        ', '岗位职责', '1、专业人员职位，在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；', '2、按照公司规定的采购流程进行采购操作；', '3、监控物料的市场变化，采取必要的采购技巧降低采购成本；', '4、及时协调解决采购物料、生产使用、客户服务过程中所产生的供货及质量问题；', '5、定期进行市场调研，开拓渠道，进行供应商评估。', '任职资格', '1、大专及以上学历；', '2、保健品或美妆行业2年以上采购工作经验优先；', '3、熟悉相关质量体系标准，精通采购业务，具备良好的沟通能力、谈判能力和成本意识；', '4、有良好的职业道德和敬业精神。', '\r\n                ', '\r\n                                        ', '职能类别：', '采购员', '\r\n                                        ', '关键字：', '采购', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou/111654565.html?s=01&t=0,合同管理,恒大健康产业集团,1-1.5万/月,广州,5-7年经验,本科,上市公司,1000-5000人,房地产,天河区黄埔大道西78号恒大中心,"['\r\n        ', '岗位职责：', '1、对报审的日常经营合同进行审查并出具审核意见；', '2、参与招文会审、开标、议标及合同谈判；', '3、对日常经营事项提供法律咨询，审查相关文书并出具法律意见；', '4、参与各类合同范本、模板的编制、修订；', '5、参与制定并执行合规管理制度、工作流程等规范性文件。', '任职要求：', '1、全日制统招本科及以上学历，法学相关专业，5年及以上工作经验，至少有1年的地产或大型医疗机构法务工作经验，通过国家司法考试者优先；', '2、有合同审核的工作经验，能独立起草、修改、审核各类合同，尤其是医疗或美容项目的各类合同，对公司法务岗位及职责有独到的见解，有处理过的复杂的合同谈判、签订的工作经验；', '3、具有较强的沟通表达能力和学习能力，执行力强，能吃苦耐劳。', '\r\n                ', '\r\n                                        ', '职能类别：', '法务主管/专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-byq/119538862.html?s=01&t=0,财务会计主管,广州任智通大健康科技有限公司,4-7千/月,广州-白云区,无工作经验,招1人,民营公司,50-150人,快速消费品(食品、饮料、化妆品),广州市白云区沙太北路355号(光华药厂大院内）,"['\r\n        ', '【岗位职责】', '1、负责公司全盘帐务管理；', '2、日常财务、会计及税务的管理工作，财务体系的梳理；', '3、完成各项财务结算、会计核算,上报财务执行情况,为管理层提供分析数据；', '4、负责与上下游的供应商帐目核对，确保资金的有效管理,规避资金和债务风险；', '5、完善应收账款和库存管理，及时处理、上报库存和应收账款的非正常情况；', '6、负责部门团队建设及员工培养,财务制度的制定与执行。', ' ', '【任职要求】', '1、大专以上学历，性别不限，会计、财务管理、经济管理等相关专业；', '2、三年以上财务管理工作经验，快速消费品经验优先考虑；', '3、精通国家财税法规，具有中级会计师以上资格，2年以上快消或商超行业工作经验；', '4、能够熟练使用各种办公室软件和各种财务软件；', '5、具有较强的人际能力、沟通能力、影响力、计划与执行能力；', '6、具备丰富的财会项目分析处理经验，善于发现问题并完善和制定财务控制流程能力；', '7、良好的沟通能力和高度的责任心，工作作风严谨、执行力强、忠于职业操守，保密意识强；', '8、能承担较大的工作压力；', '\r\n                ', '\r\n                                        ', '职能类别：', '会计经理/会计主管', '财务主管/总账主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/119401303.html?s=01&t=0,康养总经理,恒大健康产业集团有限公司,3-4万/月,广州-天河区,8-9年经验,本科,上市公司,1000-5000人,医疗/护理/卫生,黄埔大道西78号恒大中心,"['\r\n        ', '工作职责:', '1、负责省公司经营管理工作，落实集团运营计划，达成集团运营工作目标；', '2、负责分工司市场拓展、运营体系完善、团队组建工作；', '3、负责所辖省份项目开发、运营、物业管理等工作的协同。', '任职资格:', '1、全日制统招本科及以上，10年及以上工作经验，熟悉国内外医养康养行业趋势及动态；', '2、具有中大型商业综合体、医疗养老机构、文旅、健康项目等同等职务工作经验；', '3、具备大型康养项目操盘经验者优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '副总经理/副总裁', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-lwq/117937442.html?s=01&t=0,区域销售经理（中山八路地铁站）,广州荔健大健康产业有限公司,8-10万/年,广州-荔湾区,3-4年经验,中专,民营公司,150-500人,计算机软件,中山八路新虹街荔景楼B座311,"['\r\n        ', '薪资：底薪3500+高提成，大小周，五险', '1、根据区域的销售计划，分解区域市场业绩目标，全面负责所辖区域的市场开发及客户维护工作，推动客户完成业绩目标任务。', '2、跟进执行公司拟定的销售规划和落实工作计划，完成公司销售指标。', '3、开发空白市场，搭建区域市场渠道销售网络。', '4、因地制宜贯彻落实营销方案，有效整合当地各方的市场营销资源。', '任职资格：', '1、 年龄23―36岁之间，大专以上学历，相关食品及医学专业毕业，有单体店及药店资源者优先。', '2、形象气质佳，能迅速适应企业文化。', '3、市场拓展能力强，具有较强的同陌生客户沟通及客户挖掘能力。', '4、有客户服务意识，有团队合作精神及团队建设能力。', '晋升空间：销售代表――业务主管――市场经理，竞争公开、透明，有能力者居上；', '公司福利', '1，公司依法缴纳社会保险；享有国家法定节假日；', '2、公司为员工提供多样化的学习成长平台（内外训、拓展培训等）；', '3、丰富的员工活动及福利（康体活动、文艺活动、年度旅游、节日礼金、下午茶等）；', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '区域销售经理', '\r\n                                        ', '关键字：', '销售代表', '销售经理', '业务', '业务代表', '业务经理', '渠道销售', '电话销售', '直销销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-hzq/119011837.html?s=01&t=0,行政主管（采购及设备维护）,广州美年大健康医疗技术有限公司,6-7千/月,广州-海珠区,3-4年经验,大专,上市公司,500-1000人,医疗/护理/卫生,广州市海珠区新港东路618号,"['\r\n        ', '1、公司行政的日常事务；', '2、负责办公设备和医疗设备的日常管理和维护、故障报修；\xa0', '3、负责公司物资采购，包括供应商维护、商务谈判等工作；', '4、完成上级交代的其它事务性工作。', '\xa0任职资格：', '1、大专及以上学历；24-30岁；\xa0', '2、熟练使用Word,Excel等办公软件，电脑操作熟练；', '3、3年以上相关工作经验，有医疗设备管理经验者优先；\xa0', '4、良好采购谈判能力和协调能力，团队精神强；工作细致耐心，有条理性、逻辑性，善于与人交流沟通。', '\r\n                ', '\r\n                                        ', '职能类别：', '行政经理/主管/办公室主任', '采购材料、设备质量管理', '\r\n                                        ', '关键字：', '行政', '行政主管', '采购', '设备维护', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/foshan-nhq/86538122.html?s=01&t=0,财务经理,广东健泉大健康产业开发股份有限公司,1-1.5万/月,佛山-南海区,5-7年经验,本科,民营公司,50-150人,制药/生物工程,桂澜北路26号依云置地中心3座,"['\r\n        ', '岗位职责：', '1、根据公司经营战略目标，按照国家企业会计准则及相关法规开展日常财务工作，协调各方面财务关系，确保公司年度经营目标实现；', '2、全面负责部门日常管理工作、绩效评价；', '3、根据公司制定财务策略和年度财务工作计划，制定部门年度工作计划，监督各项工作执行；', '4、编制公司年度财务预算，并对各部门预算情况进行分析总结，加强预算执行率；', '5、合理安排资金运用，保证经营活动资金需求，提高资金利用率；编制公司年度/月度资金需求计划；', '6、建立健全公司制度、财务制度、以及完善对应的流程；加强与其他部门的沟通和协调，确保财务工作有序进行；', '7、及时向总经理反映经营过程中存在的较为重要的问题，并提出改进措施，以及领导临时安排的工作任务。', '任职资格：', '1、会计、经济、财务管理相关管理专业，本科以上学历；', '2、具有中级会计师以上证书，注册会计师、有上市公司工作或医药行业工作经验者优先。', '3、至少5年以上财务工作经验，3年以上管理经理验；', '4、具备宏砚与微观的经济学知识，熟练掌握会计知识，熟悉相关的财务、会计法律法规，了解财税政策，熟悉财务管理；', '5、需要具备财务管理、财务监督与服务、价值管理基本职能 ；拥有优秀的分析决策能力、组织协调能力、人际沟通表达能力、创新能力、团队塑造整合能力、意志能力、自我管理能力、职业判断能力的专业技能。', '\r\n                ', '\r\n                                        ', '职能类别：', '财务经理', '\r\n                                        ', '关键字：', '财务主管', '财务经理', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-yxq/118875256.html?s=01&t=0,储备店长,粤港澳（广州）大健康投资有限公司,4.5-6千/月,广州-越秀区,无工作经验,大专,民营公司,150-500人,多元化业务集团公司,东方文德地下车库负二层同车时代汽车服务微店,"['\r\n        ', '工作职责：', '1、日常车辆清洁，打蜡保养及简单的维修工作；', '2、接待客户，努力学习经营汽车服务店；', '3、认真完成店长布置的工作任务。', '岗位要求：', '1、经验不限，汽车相关专业优先考虑；', '2、真诚待人，具备良好的沟通技巧和表达能力；', '3、具备团队合作精神，责任心强；', '4、刻苦耐劳，认真完成每一项工作任务；', '5、勤奋好学，能够和企业共同成长。', '该岗位为平台项目公司――同车时代项目招聘岗位，有意者请联系！', '同车时代项目是深圳市优代尔互联网科技有限公司与霍英东鹤年堂中医城的强强合作项目，围绕人、车生活与环保三者之间的关系，致力于提供环保绿色、快捷专业的多元化产品和服务，从而提升车主的汽车生活品质，促进人与社会生态环境之间的和谐。同车时代为完成在中国汽车后市场的破局基础工作，2019年7月18号启动了同车时代汽车服务微店项目。', '\r\n                ', '\r\n                                        ', '职能类别：', '储备干部', '洗车工', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
