link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/guangzhou-zc/109370375.html?s=01&t=0,幼儿园园长,广东技术师范学院天河学院,1-1.5万/月,广州-增城,3-4年经验,招若干人,民营公司,500-1000人,教育/培训/院校,广州市增城区中新镇  广外增城实验学校,"['\r\n        ', '岗位职责：', '1.根据战略发展规划，组织制定幼儿园战略规划，参与幼儿园管理决策；', '2.对幼儿园工作全面负责，包括幼儿园教育教学管理、招生宣传工作、后勤管理、安全管理，以及对上级主管部门及其他单位的沟通协调；', '3.组织制定详细的学年教育教学、教研工作计划，包括工作要点、教研重点、培训课题、教研活动等，并敦促各计划的实施，给予教学各方面尽可能的服务和支持。', '4.深入课室，做好日常教学管理工作，了解教育计划落实的实际情况，按计划组织教研活动，引导教师密切联系教学实际中的问题，开展研究。', '5.策划与开展幼儿园各类文化创意活动。', '6..建立有效的幼儿园管理体系，制定人员编制，明确分工，合理组织人力，负责园内教职员工的招聘、录用、考核、晋降级、解聘等工作；', '任职要求：', '1.本科及以上学历；45\xa0岁以下，条件优秀者可适当放宽；', '2.持幼儿园园长上岗证，有私立国际幼儿园相关岗位工作经验优先；', '3.熟悉幼儿园基本管理运作，对工作高度负责；具有优良的职业操守，有较强的敬业精神，有良好的合作意识。', '薪资待遇：年薪12-20万，优秀者可面议。', '\r\n                ', '\r\n                                        ', '职能类别：', '幼教', '院校教务管理人员', '\r\n                                        ', '关键字：', '幼儿园园长', '学前教育', '国际幼儿园', '双语幼儿园', '幼儿园', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/116956334.html?s=01&t=0,选品经理/主管（文创）,广州购书中心有限公司,7-9.5千/月,广州-天河区,2年经验,本科,国企,150-500人,批发/零售,天河路123号,"['\r\n        ', '岗位描述：', '负责统筹公司线上线下销售渠道、销售网点多元文创产品引进工作。', '岗位职责：', '1、结合公司品牌定位和年度发展战略，分析现有渠道客户需求，统筹多元文创产品引进工作，对年度销售和利润指标负责；', '2、拓展文创产品供应商，建立并完善供应商管理体系，统筹管理商品采购工作，完善采购流程及制度；', '3、负责各品类产品销售情况分析工作，及时优化品类结构，针对不同客群的销售渠道建立多元文创产品销售品类模型；', '4、定期跟踪终端销售产品的质量，做好产品质量分析，把控供应商的评估与选择；', '5、协助公司文创业务其他板块工作，提供开发建议、协助产品推广。', '任职要求：', '1、统招本科及以上学历，拥有2年以上文创选品或相关岗位工作经验；', '2、热爱文化事业、文化创意产业，具有良好的市场敏锐度和选品意识；', '3、具有较强的洽谈管控能力、分析能力和销售品类结构构建能力，拥有一定的文创类产品供应商资源和渠道；', '4、工作积极，认真负责，有较强的执行力、业务规划能力和团队管理能力。', '\r\n                ', '\r\n                                        ', '职能类别：', '采购经理', '买手', '\r\n                                        ', '关键字：', '买手', '选品', '采购', '文创', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/117488836.html?s=01&t=0,活动执行,广东国丰源控股集团有限公司,3-4.5千/月,广州-天河区,1年经验,大专,民营公司,150-500人,房地产,汇景新城,"['\r\n        ', '1、负责日常及宣推活动的执行与跟进；', '2、负责活动管理与数据分析；', '3、负责客户的跟进与管理。', '任职要求：', '1、热爱中国文化，有良好的审美及敏感度；', '2、有过一到两年活动执行与跟进的经验；', '3、专注、认真，性别，专业不限；', '4、有责任感与团队意识； ', '5、有文化创意行业经验、会摄影者优先考虑。', '以上岗位均按照底薪+提成的薪资计算方式。', '不拘泥于仅有的底薪，只有你有想法与积极性，我们毫不吝啬给予你应有薪资！', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-hpq/117150494.html?s=01&t=0,幼儿园校园文化岗,广州开发区才英教育投资有限公司,0.5-1万/月,广州-黄埔区,3-4年经验,大专,国企,50-150人,教育/培训/院校,广州市黄埔区香雪国际公寓D栋805（六所大公办园）,"['\r\n        ', '岗位职责：', '1、能准确把握公司校园文化需求，提供符合公司要求的创作设计思路，对项目进行具体创作表现的执行。', '2、参与或独立完成幼儿园项目总评规划、方案设计、效果图及施工图制作的全程设计；', '3、负责公司旗下幼儿园“校园文化”环创的创意、策划、布置；', '4、负责公司旗下幼儿园品牌建设、推广、维护，撰写活动文案，负责公众号推文等。', '5、完成上级交办的其它工作。', '任职要求：', '1、美术、环境艺术设计、室内设计、景观设计等相关专业大专及以上学历；', '2、创意佳、执行力强，能独立作业，有一定的文字功底和良好的文字表述能力；', '3、从事景观环境艺术设计工作3年以上，熟练运用各种设计软件（AutoCAD 、3DMax、photoshop或草图大师等设计软件）；', '4、熟悉设计到施工的各工作环节，能够按时、保质地独立完成项目方案、效果图、施工图等工作任务；', '5、为人踏实勤苦、责任感强、善于沟通协调，具备较好的团队合作精神；', '6、有校园文化创意设计经验者优先，熟悉室内设计、平面设计者尤佳。', '\r\n                ', '\r\n                                        ', '职能类别：', '幼教', '\r\n                                        ', '关键字：', '校园文化', '幼儿园', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-zc/118938232.html?s=01&t=0,幼儿园园长,广州市增城区广东外语外贸大学附设实验学校,12-20万/年,广州-增城,5-7年经验,本科,民营公司,150-500人,教育/培训/院校,广州市增城区中新镇团结山口路169号（镇龙地铁站旁600米）,"['\r\n        ', '岗位职责：', '1.根据战略发展规划，组织制定幼儿园战略规划，参与幼儿园管理决策；', '2.对幼儿园工作全面负责，包括幼儿园教育教学管理、招生宣传工作、后勤管理、安全管理，以及对上级主管部门及其他单位的沟通协调；', '3.组织制定详细的学年教育教学、教研工作计划，包括工作要点、教研重点、培训课题、教研活动等，并督促各计划的实施；', '4.深入课室，做好日常教学管理工作，了解教育计划落实的实际情况，按计划组织教研活动，引导教师密切联系教学实际中的问题，开展研究；', '5.策划与开展幼儿园各类文化创意活动；', '6..建立有效的幼儿园管理体系，制定人员编制，明确分工，合理组织人力，负责园内教职员工的招聘、录用、考核、晋降级、解聘等工作；', '任职要求：', '1.本科及以上学历，学前教育、幼师相关专业；45\xa0岁以下，条件优秀者可适当放宽；', '2.持幼儿园园长上岗证，有私立国际幼儿园相关岗位工作经验优先；', '3.熟悉幼儿园前期筹建工作；.熟悉幼儿园基本管理运作，对工作高度负责；具有优良的职业操守，有较强的敬业精神，有良好的合作意识；', '4.熟悉幼教行业，能够根据市场动态协助开展幼儿园规划及品牌宣传和维护。', '\r\n                ', '\r\n                                        ', '职能类别：', '院校教务管理人员', '幼教', '\r\n                                        ', '关键字：', '幼儿园', '园长', '筹建', '国际化', '双语幼儿园', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-byq/101914209.html?s=01&t=0,高薪急聘销售代表（月入8000-12000）,广东千喜企业管理有限公司,0.8-1.2万/月,广州-白云区,无工作经验,高中,民营公司,50-150人,餐饮业,永平街学山塘街学山文化创意谷A2栋109号。,"['\r\n        ', '福利： ', '1、薪资范围：8000-12000(无责任底薪+高提成）， ', '薪资结构：底薪+提成+奖励（邀约奖，月头首单奖，业绩奖）+包吃包住，  ', '2、享受国家法定假日 ', '3、传统节日礼品+部门活动经费+公司活动（员工生日会、员工聚餐、年度晚会、旅游活动、爬山郊游、周年庆、年终晚会及抽奖等） ', '4、公司在国家五A级高新技术园区，提供花园式办公坏境，提供优质资源，无需外出； ', '5、可享受合伙人制度的晋升机制：招商专员→招商经理→招商主管→招商总监→公司合伙人，为员工的职业发展提供了良好的平台 ', '职责： ', '1、公司提供有意向的高质量客户资源，无需自己找客户资源，以电话的形式回访。 ', '2、明确客户需加盟项目品牌，预约客户到达公司考察项目。 ', '3、学习公司项目，以及行业内的专业知识。 ', '4、维护客户关系，通过QQ或微信随时跟踪客户，为客户提供优质服务。 ', '任职要求： ', '1、年龄20-30岁，口齿清晰，普通话流利 ', '2、对销售工作有较高的热情，有较强的挣钱欲望； ', '3、具备较强的学习能力、语言表达能力和感染力，掌握一定的沟通技巧 ', '4、有强烈的事业心、责任心和积极的工作态度，优秀的团队精神； ', '5、学历不限，男女不限，有餐饮行业、招商加盟、快销行业、保险行业等工作经验者优先。', '地址：白云区永平街学山塘街学山文化创意谷A2栋109号', '联系人：叶小姐', '电话：19925801725', '有意者，可直接带简历来公司面试！！', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '电话销售', '\r\n                                        ', '关键字：', '销售代表', '销售顾问', '电话销售', '招商话务员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou/116412633.html?s=01&t=0,品牌策划专员,Kailas户外服饰,6-8千/月,广州,3-4年经验,本科,民营公司,500-1000人,服装/纺织/皮革,广州天河区粤垦路广垦商务大厦2期3-5楼,"['\r\n        ', '岗位职责：', '1、协助品牌建设、策略制定及维运相关工作。', '2、协助市场推广及品牌文化创意方案制定与落地执行。', '3、协助线上线下活动的策划与落地执行。', '4、协助对接时尚买手店相关合作事宜。', '任职要求：', '1、本科以上学历，3年以上策划经验；市场营销、公关、广告、英语等相关专业优先。', '2、热爱品牌与创意工作，喜欢新鲜好玩的事物，乐于分享，热爱团队合作；有4A公司，', '互联网相关创意策划，文案，活动推广等相关工作经验者优先。', '3、具有扎实的策划及文案功底，逻辑能力强，善于挖掘分析及总结。沟通能力与理解能力', '良好，抗压能力与上进心强，喜欢探索新技能。', '4、对时尚潮流感兴趣，对国内外潮牌有一定了解，具有良好的品味。', '5、具有一定的英语基础与PS基础，有拍摄及视频剪辑技能的优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '产品/品牌专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-yxq/89398048.html?s=01&t=0,新媒体推广专员,广州市天麟教育培训中心,0.5-1.5万/月,广州-越秀区,2年经验,大专,民营公司,少于50人,教育/培训/院校,农林下路9号新富熊大厦5楼,"['\r\n        ', '网络（新媒体）推广专员职责如下：', '1、制定网站、新媒体推广计划并负责实施；', '2、协助公司开拓网络营销资源和渠道；', '3、负责业务需求调研、网站相关营销活动的策划及操作；', '4、负责信息发布、网站流量统计分析、广告投放及邮件群发；', '5、定期维护客户关系，促进互动与销售；', '6、解决网络营销过程中碰到的各种问题，搜集行业及客户信息，并及时向   公司反馈相关情况。', '任职要求：', '1、专科以上学历，市场营销相关专业毕业，熟悉各类市场推广手段，有一定运作经验。', '2、两年以上新媒体运营相关工作经验，有教育行业、文化创意产业经验优先。', '3、优秀的执行力，沟通能力和团队协作精神，性格开朗有责任心，具备一定市场分析能力。', '4、有一定英语能力优先。', '\r\n                ', '\r\n                                        ', '职能类别：', '市场企划专员', '影视策划/制作人员', '\r\n                                        ', '关键字：', '网络', '新媒体', '推广', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/113908491.html?s=01&t=0,高级文案策划,广州天翼生物科技有限公司,0.8-1万/月,广州-天河区,3-4年经验,大专,民营公司,50-150人,互联网/电子商务,元岗路310号自编4栋803（SOHO办公区）,"['\r\n        ', '岗位职责：', '1、负责品牌、产品的文案撰写，能够准确捕捉产品亮点、提炼产品卖点和广告语，配合运营进行爆款打造；', '2、组织和策划线上线下各类营销事件和活动，制定相关流程并执行，跟踪活动效果，分析数据并反馈；', '3、负责公司的文字撰稿，包括品牌活动、新品上市、优化稿件、企业文化，日常宣传资料等；', '4、关注社会及行业热点新闻话题、搜集流行资讯，做好品牌文化创意推广工作，定期收集竞品信息分析。', '\xa0', '任职要求：', '1、大专及以上学历，汉语言文学、新闻传播、市场营销学、广告学等相关专业优先；', '2、具备用户运营和各类活动策划能力，有良好的审美眼光和创新能力；有知名电商平台或广告公司工作经验者优先；', '3、能够独自驾驭多种文案风格，思维敏捷、创意新颖，精通文字表现，擅长创意源发，懂得当下流行趋势和网络潮流，对平面广告、活动文案等有丰富的写作经验；', '4、熟悉相关图文、视频编辑软件，有较强的学习能力，责任感强, 能承受较高的工作压力，有团队合作精神，服从领导安排。', '\r\n                ', '\r\n                                        ', '职能类别：', '文案/策划', '\r\n                                        ', '关键字：', '文案', '策划', '推广', '品牌', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-hzq/113485432.html?s=01&t=0,创意策划师,广州智在云天文化科技有限公司,0.7-1.5万/月,广州-海珠区,1年经验,大专,民营公司,150-500人,计算机软件,工业大道北67号凤凰创意园22栋,"['\r\n        ', '主要工作内容：', '主要面向新媒体创意展览、文化旅游创意项目的前期创意方案构思、编写及客户提案。详情如下：', '1.\xa0精准挖掘客户需求，引导并实现项目所需***创意方向。', '2.\xa0从文化+技术角度，结合项目现有情况提出并编写***策划创意策划方案。', '3.\xa0负责协同公司其他部门对战略性业务方向（产品）提供市场信息研判及创意策划实现的工作支持。', '4.\xa0高效完成项目方案的招投标工作并高质量完成项目售前过程中的各阶段提案工作。', '5.\xa0配合、引导、监督执行团队贯彻实施创意方案精准落地。', '岗位', '任职要求：', '1.\xa0性别不限，大专以上学历。新媒体设计、展览设计、影视编导、传媒、美术、广告、相关专业毕业优先。', '2.\xa0至少1年以上文化科技、展览展示、创意策划工作经验，有展览馆、博物馆、体验馆等大型展厅策划设计项目经验者优先。', '3.\xa0热爱文化创意策划工作，具有活跃的创意设计思维，对视觉、审美、设计有较高的追求，对行业具有较高热情。', '4.\xa0性格开朗，善于沟通。具有良好的文字表达和文案书写能力。', '5.\xa0熟练使用Microsoft Office、Photoshop等软件，熟悉多样的PPT表现形式。', '6.\xa0有文化科技、文化创意等方面优秀作品者优先考虑。', '\r\n                ', '\r\n                                        ', '职能类别：', '影视策划/制作人员', '文案/策划', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
