link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/guangzhou-byq/110425839.html?s=01&t=0,电子商务专员,广州天之湘装饰材料有限公司,4.5-6千/月,广州-白云区,2年经验,大专,民营公司,500-1000人,家具/家电/玩具/礼品,广州白云区太和镇和龙村一环路66号，联系方式：020-87471902-859/18922279860张小姐,"['\r\n        ', '1.市场营销、电子商务、经济管理等相关专业，熟悉互联网行业；', '2.熟悉各类网络推广方式，并能综合应用各种网络推广方式，达到网上宣传公司产品，增加知名度的目的；', '3.善于沟通，具备较强的执行能力、团队协作精神；', '工作内容：', '1.负责公司开括网络营销资源和渠道，提升网站整体流量和知名度；', '2.负责公司所有市场推广（宣传册、技术刊物、名片、礼品等）的规划、设计、制作及管理；', '3.协助完成其他与市场运营，企业文化，企业形象等相关的工作任务；', '4.熟悉官网后台维护、SEO优化以及公众微信平台微信编辑；', '5.完成其他领导交办的市场扩展相关任务如文本制作，方案出具等。', '公司福利：', '1、免费包食宿，不扣取任何费用；', '2、工作满一年，公司报销员工春节回家往返火车硬卧车票；', '3、公司每月举办生日晚会，并为当月生日员工派发生日礼品；', '4、丰富的文娱活动；', '5、员工旅游、年底聚餐、并享有工龄奖以及年终奖。', '上班地点：广州市白云区太和镇和龙村一环路66号', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/114453898.html?s=01&t=0,电子商务网络销售/高提成高奖金,广州伊鹏信息咨询服务有限公司,6-8千/月,广州-天河区,无工作经验,大专,民营公司,10000人以上,互联网/电子商务,中山大道中243号鸿利商务中心3楼312室,"['\r\n        ', '我们的核心价值：拼搏、竞争、感恩、成人达己。', '我们的用人理念：诚信、务实、激情、合作。', '工作时间：8:30-12:00 13:30-18:00', '岗位职责：', '1、负责收集新客户的资料并进行沟通，公司提供部分资源进行沟通，开发新客户。', '2、通过网络与客户进行有效了解客户的需求，寻找销售机会并完成销售业绩。', '任职资格：', '1、男女不限，年龄：18-25岁，性格开朗，公司带薪培训。', '2、敢于挑战新鲜事物，有耐心及抗压性，有意从事电话网络结合的销售工作。', '3、富有团队精神，具备较强的学习能力、上进心以及沟通技巧。', '4、一年以上的网络营销工作经验工作经验者优先。', '福利待遇：', '1、月休4天，不需要出差，高档写字楼工作，环境舒服。', '2、阶梯式底薪2500-5000元+全勤奖+高提成+工龄奖+业绩奖+年终奖。', '3、享受国家法定节假日', '4、团队PK、内部K歌聚餐等活动。', '5、职业化培训体系、3到5天可独立上岗，完善的普升体制、为员工营造更好的发展平台。', '广州伊鹏贸易有限公司----属广州伊的家网络科技有限公司产品代理分部。', '伊的家――美丽女人的世界，这是一个以的品质生活为导向，致力于打造涵盖美丽、健康等主题于一体的综合性、便捷性、高端化电商平台，代表了关怀、时尚、美丽，首创电商行业主动式服务网络营销模式，致力于打造中国知名的综合电商平台，成为中国电子商务领域受消费者欢迎和有影响力的电子商务网站。全国拥有20000多名员工，1000多家分公司，有自己独立的购物商城，四大品牌：护肤品牌--妍诗美，美容食品---妍膳美，服装品牌--伊霓裳。母婴产品――伊的娃。', '发展纪事：', '2009年04月广州伊的家网络科技有限公司正式注册成立；', '2009年04月正式推出肌肤补水化妆品品牌――妍诗美；', '2009年05月伊的家以妍诗美系列产品为网销发展起点；', '2010年08月妍诗美首家旗舰店强势进驻天猫商城；', '2011年05月伊的家商场正式上线，全国9大仓储配送中心成立；', '2012年04月伊的家商场全面改版，服务升级；', '2012年07月美容营养食品品牌――妍膳美产品项目成立；', '2013年11月伊的家手机客户端上线；', '2014年04月伊的家服装品类正式立项；', '2014年05月妍诗美彩妆正式上市；', '2014年11月服装项目品牌――伊霓裳正式推出市场；', '2015年05月伊智美发项目运营，与传统美发行业合作，打开O2O***步;', '2017年11月***家生活馆在武汉落地，打开O2O第二步；', '2018年6月正式推出了第四款属于母婴产品――伊的娃，正式进入母婴市场；', '伊的家官网：http://www.yidejia.com.cn/', '伊的家--我们都是电商人:', 'http://v.youku.com/v_show/id_XODA4MTAwNjY0.html', '2000个团队2000个老板：', 'http://v.youku.com/v_show/id_XMTY4NzI5NTIzNg==.html', '公司地址：天河区中山大道中243号鸿利商务中心3楼312室', '上班时间：早上8:30~12:00，下午13:30~6:00，逢周日、国家节假日放假（不加班）', '听说主动就会有故事哦', '联系人：小雅姐', '联系电话：18028511760（微信同步，可提前加微信了解公司哦）', '\r\n                ', '\r\n                                        ', '职能类别：', '网络/在线销售', '\r\n                                        ', '关键字：', '网络销售', '护肤品销售', '业务员', '微信客服', '白云', '销售代表', '销售助理', '快消品销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-zc/112455492.html?s=01&t=0,电子商务专员（网销方向）,广州钰玲电子商务有限公司,6-8千/月,广州-增城,无工作经验,大专,民营公司,150-500人,互联网/电子商务,新塘大道西772号   盛涛广场401,"['\r\n        ', '这里是90后天下，90后的家庭，需要90后的你，想找一份有家感觉的工作吗？在这里累了就来杯下午茶（奶茶、咖啡）；困了就放点激情音乐；有工作困扰，我们的家人一起聊聊天，陪伴你解决问题.....你是90后吗？想完成创业梦吗？加入我们，帮你圆梦！', '工作内容及要求：', '1.通过QQ、微信、陌陌、论坛、微博跟客户沟通；', '2.将公司的护肤、彩妆、服装等产品推荐给意向客户；', '3.引导客户到公司伊的家商城进行产品购买，促成销售；', '4.开发新客户、定期维护老客户。', '给你想要的福利：', '1.悠闲下午茶（奶茶、咖啡、水果）办公；', '2.不定期组织 家人 聚餐、KTV、户外活动（游泳、看电影等）、个性化活动等；', '3.每月生日party，每日不一样的小惊喜；', '4.带薪假期、节日礼品、春节利是等等；', '工作地点：距离地铁口仅300米。', '给你想要的发展：', '晋升：基础员工――精英――组长――主管――事业部股东(持公司股份）/自主创业。', '给你想要的提升：', '为每一个员工提供丰富销售技巧和管理能力等专业性培训（包括：专职组长、带薪新员工孵化培训、部门培训、全员学习大会、全国精英分享、经传学院学习平台等)。', '给你最有挑战的薪资：', '底薪+业绩提成+奖金+补贴（入职三个月新员工薪资平均3200-3500元，入职一年月薪过万很平常。网络销售，你付出多少你就收获多少）', '工作时间：周一至周六：上午8:30-12:00 下午13:30-18:00（法定节假日完全依照国家规定放假），周日休息！', '注：不接受单休者勿投。', '一般来说人才都是主动联系，主动争取机会而不是守株待兔的哦', '联系人：文娣', '联系电话：18102847226（微信同号，可进朋友圈了解公司情况）', '加QQ\xa02035456624', '公司地址：广东省广州市增城区新塘大道西772号盛涛广场401', '动动手指，可能我们可以成为并肩作战的战友。', '\r\n                ', '\r\n                                        ', '职能类别：', '网络/在线销售', '销售代表', '\r\n                                        ', '关键字：', '业务员', '市场营销', '网络销售', '销售助理', '员工旅游', '奖金丰厚', '客户代表', '电子商务', '电商', '线上营销', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/112522327.html?s=01&t=0,电子商务实习生（带薪培训）,广州禾多多美容科技有限公司,6-8千/月,广州-天河区,无工作经验,中专,民营公司,150-500人,互联网/电子商务,棠东东路9号御富科贸园D座407室,"['\r\n        ', '【任职资格】', '1、你***是90后，能和我们一样努力工作拼命玩！', '2、你***是不安于现状，想要在自己的人生中干出一番事业！', '3、你***打字够快，智能手机不在话下，QQ、微信能玩多溜就多溜！', '4、如果你有过销售、营销相关经验的话，HR姐姐给你加分！', '【发展晋升】', '蛋蛋（基础员工）→公鸡（团队组长）→大鹏（团队主管）→凤凰（事业合伙人，可成股东啦）', '# 我们BOSS说：不想当凤凰的蛋蛋不是好的蛋蛋……给我们2年时间把你从一只蛋蛋孵化成一只凤凰吧！', '【薪酬福利】', '1、交通便利：位于广州天河区中心位置棠东，出门BRT、地铁任意搭，妈妈再也不担心你找不到回家的路！', '2、薪资结构：底薪+提成+各类奖金（HR表示奖金会算到你手软）。（HR姐姐悄悄的告诉你薪酬范围：试用期平均薪资：3000~5000，入职6个月平均工资：5000~8000，入职1年以上平均工资：8000~15000）多劳多得，努力有会有回报！', '3、假日休假：放假这档事情跟党走，一天都不会少！五一国庆长假，你的旅游不能少！', '4、员工活动：要来员工生日派对吗？要生日礼物吗？要入职纪念礼物吗？要新年红包吗？要来员工K歌大赛吗？要来圣诞晚会吗？（好多活动，不写了……）', '5、学习培训：出来工作不想提升自己专业能力的都是耍流氓~我们会安排专人一对一培训你，一周培训的次数大概5~6次吧，只要不是傻的，一年后我能让你变成行业大牛！', '加入禾多多，下个月收入过万就是你，大平台聪明的你肯定不会错过！投递简历后，我们承诺24小时内必定安排专职HR回复，让你了解这个职位的更多信息！', '工作时间：9:00-12:00，13:300-18:00（午休1.5小时）\xa0 固定周日休息', '有意者可直接致电人事部：邓小姐020-28166841// 微信号：H28995996', '乘车路线：公交站BRT天朗明居站（近50米）// 地铁站：23号线\xa0棠东\xa0站出口，4号线车陂C出口 ', '公司网址：http://www.hddcare.com', '\r\n                ', '\r\n                                        ', '职能类别：', '网络/在线客服', '网络/在线销售', '\r\n                                        ', '关键字：', '电子商务', '客服', '网销', '护肤品', '销售', '化妆品', '美容', '售前', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-hdq/119158752.html?s=01&t=0,电子商务运营助理,朗乾生物科技（广州）有限公司,3.5-5千/月,广州-花都区,1年经验,大专,民营公司,50-150人,贸易/进出口,广州市花都区凤凰南路56号之四A4栋601单元（2025PARK）,"['\r\n        ', '我们要的是战友，而不是员工！', '如果你厌倦了复杂的职场环境，请加入我们！', '如果你想挑战高薪，提高生活品质，请加入我们！', '朗乾生物科技（广州）有限公司致力于打造一家具有幸福感的公司，为员工营造人性化的工作空间和轻松自由的工作环境，让每一个人都能在这里找到自己的价值和目标，在工作中得到幸福感，开创新的人生篇章。', '职位描述：', '1.负责淘宝、有赞店铺的日常维护更新、商品上下架编辑修改以及日常活动报名；', '2.协助运营收集竞品数据、推广数据和活动数据复盘；', '3.优化标题、检查店铺问题进行分析、发现问题及时汇报；', '4.协助运营推广。', '任职要求：', '1.有上进心、对工作认真负责；', '2.有电子商务平台运营经验优先；', '3.沟通能力强、有良好的服从意识与团队合作精神；', '4.协调能力，抗压能力较强，能够适应效率工作环境，愿意与公司共同成长。', '福利待遇：', '1、5天8小时工作制，双休，带薪法定节假日，带薪年假；', '2、购买社保公职金；', '4、年终奖，工龄奖；', '5、传统节日礼物；', '6、良好的办公环境：办公室配有标准办公台、个人物品柜、电脑、办公用具、空调、打印、复印设备、文件柜等；', '7', '、每月可免费领取200元公司产品，购买公司产品享受员工优惠价。', '\r\n                ', '\r\n                                        ', '职能类别：', '网店/淘宝运营', '网店店铺管理员', '\r\n                                        ', '关键字：', '运营助理', '淘宝运营', '电子商务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou/72099642.html?s=01&t=0,电子商务主管,广东嘉铭智能科技有限公司,10-15万/年,广州,3-4年经验,大专,民营公司,50-150人,仪器仪表/工业自动化,广州市广州大道中明月一路20号明月阁2403室,"['\r\n        岗位职责：', '1、负责开展网络业务推广和市场开拓工作，如竞价推广及展会信息推广等；', '2、制定、执行产品营销策略和推广计划方案；', '3、负责公司网站的优化工作；', '4、了解和搜集网络上各同行及竞争产品的动态信息；', '5、负责公司电商平台、团队的建设和管理，推动团队业绩增长，达成公司业绩指标。', '任职要求：', '1、大专及以上学历，电子商务、市场营销、电子信息及计算机相关专业；\xa0', '2、3-5年相关工作经验，两年主管经验，有工业自动化行业推广工作经验者优秀考虑；', '3、熟悉电子商务平台开发、管理及电子商务推广，有SEO、软文、微博、微信、企业APP等主流方法及渠道的推广经验；\xa0', '4、熟练运用PHOTOSHOP、CORELDRAW等图片处理软件；', '5、有良好的文字功底，较强的文案策划能力，思维活跃，创作精神。\r\n                ', '\r\n                                        ', '职能类别：', '电子商务经理/主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-hzq/119604237.html?s=01&t=0,跨境电子商务专员 大小周 广佛线,广州钛宇科技有限公司,0.4-1万/月,广州-海珠区,无工作经验,大专,创业公司,少于50人,贸易/进出口,江南大道南路1068号新城国际寓,"['\r\n        ', '1、负责亚马逊外贸平台销售策略的制定；', '2、收集分析市场状况及竞争对手状况；', '3、负责日常帐号维护及客人订单、信息处理；', '4、能承受工作压力，善于解决各种业务问题。', '5、负责FBA发货工作', '我们对您的期望（应届生可无经验）：', '1、大专及以上学历，有1年及以上Amazon/eBay/wish（了解其中一种即可）等电商平台运营经验尤佳；能力优秀者可以放宽行业要求；', '2、熟悉电子商务产品运营流程，有较成熟的沉淀营销管理经验和资源整合能力；', '3、具有良好的语言表达和沟通以及灵活应变能力，具有优良的团队协作精神；', '4、具有优良的市场意识，具有敏锐的市场洞察力和分析判断能力。', 'ps：公司业务发展迅速，欢迎广大优秀应届生投简历！', '【About\xa0us】', '广州钛宇科技有限公司成立于2019年。是一家专注于跨境贸易B2C电子商务公司。公司基于互联网的大数据调查，依托国内发达的制造业打造符合全球消费者市场的产品，从而实现自主品牌全球化。', '公司产品主要出口至美国，加拿大，英国，德国，法国，意大利，西班牙，澳洲，日本。', '【薪酬福利】', '休息休假：大小周，9：00-18：30，午休1.5小时。', '免费提供下午茶零食', '高于同业平均水平并不断完善提高的薪酬；', '根据工作表现和业务绩效发放的奖金；', '为员工购买社保；', '员工活动：公司小区内有各种运动场地，不定时举办运动活动。', '【关于其他】', '我们希望，公司不是拖着一众员工在发展，而是所有员工在推着公司在发展。', '我们希望所有员工的主动性一流，因为我们没有行政部门来监督每个人的工作效率。', '我们希望所有员工畅所欲言，积极提出改进公司的任何建议。', '我们一直都强调，我们只是一个小公司。我们的发展机会就是你的发展机会。', '我们还有很多问题，这些问题都是你的发展机会。', '【招聘愿景】', '广州钛宇科技有限公司倾向于面向校园招聘可塑性强、有一定基础能力的应届毕业生。不需要你拥有丰富的学生社团工作经历，也不需要你参加过无数的社会实践活动，只需要你愿意学习，对基本的商业有一定的了解和实践，掌握行业所需的基本知识（英语及电脑操作、IT技能），对互联网及电子商务有一定的兴趣及相应的了解，均有机会与我��共同成长。相应地，我们相信可以为你提供高于行业及应届毕业生平均水平的薪酬待遇。', '我们期望新生力量加入广州钛宇科技有限公司，经过一段时间的彼此熟悉及双向考察，可以相互为对方实现更高的价值。', '重要的不是员工进来的时候我们有多好，而是员工进来之后帮助我们变得更好。', '公司地址：广州市海珠区江南大道南路新城国际寓', '乘车路线：出石溪站地铁站D出口或者东晓南C2出口后，开启手机导航定位，新城国际寓，开始可能会有些不熟悉，先跟导航走，后面熟悉之后会有其他小路就近到达，可以节省一半的时间）', '步行10分钟（穿过驾校练车场看到广汽丰田4S店即可到新城国际寓）', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '网站运营专员', '\r\n                                        ', '关键字：', '电子商务专员', '网站运营专员', '亚马逊', 'Amazon销售', 'eBay', 'wish', 'Aliexpress', 'Walmart', 'Facebook', 'Google', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-nsq/114276183.html?s=01&t=0,电子商务运营实习生/助理,广州市邦晴电子商务有限公司,3-6千/月,广州-南沙区,无工作经验,招3人,民营公司,50-150人,互联网/电子商务,南沙街道地铁四号线金洲地铁口中大城4栋1603室,"['\r\n        ', '1.从头做起，学习客服、文案、物流、推广、运营等岗位工作，最后确定胜任岗位，然后往管理层发展', '2.在负责人的带领下完成天猫商城、京东商城、苏宁商城 等平台的销售和运营技巧', '3.轮岗制，从低做起；', '4.每个岗位都会有公司对应的资深人员指导', '发展规划：电子商务专员―主管―部门副经理―部门经理―电子商务部总监', '公司免费提供高级小区公寓式宿舍（公司楼下就是地铁口，交通方便，200米不到就是万达广场，休闲娱乐方便）', '\r\n                ', '\r\n                                        ', '职能类别：', '网店/淘宝客服', '网店/淘宝店长', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-hdq/112614886.html?s=01&t=0,电子商务推广专员 包食宿 社保高薪诚邀,广州易科热泵烘干设备科技有限公司,3-4.5千/月,广州-花都区,无工作经验,中专,民营公司,50-150人,环保,新华镇莲塘工业区松庄路11号,"['\r\n        ', '1、采用邮件推广、发帖推广、博客推广、百度知道、问答、软文推广、论坛推广、QQ群推广等推广方式进行网站推广或者产品网络推广；', '2、负责行业信息搜索和更新，优化自身推广资讯；', '3、在各个知名商业网站发布供应信息；', '4、各大B2B网站以及官网的运营和管理；', '5、网站维护：涉及网站新栏目、功能的增设以及现有栏目的调整。确保网站正常运营以及维持虚拟主机、域名、企业邮局等配套产品的采购、续费等联络工作；', '6、信息更新：涉及到产品的增加、更新，文字完善，企业动态与行业类新闻的发布。', '要求：', '1、电子商务、文秘或者从事相关工作的优先考虑；', '2、会基本简单的图片处理和一定的写作能力；', '3、没有经验者，但是想从事互联网工作的，有恒心想学，愿意从低学起者；', '上班时间：', '周一到周六，一天8小时制；带薪国家法定节假日。', '公司周边环境：', '交通：花都莲塘地铁站，花都莲塘村公交站；购物：莲塘综合市场，靠近花都新华新区大润发，来又来商业圈；休闲娱乐：花都湿地公园，花都湖，马鞍山公园。', '\r\n                ', '\r\n                                        ', '职能类别：', '客服专员/助理', '网络/在线客服', '\r\n                                        ', '关键字：', '客服', '客服文员', '文员', '电子商务', '推广文员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/guangzhou-thq/92462356.html?s=01&t=0,电子商务专员（网络销售方向）,广州向禾生物科技有限公司,6-8千/月,广州-天河区,无工作经验,中专,民营公司,50-150人,快速消费品(食品、饮料、化妆品),棠东东路9号御富科贸园D栋407室,"['\r\n        ', '工作职责：', '1、利用公司为员工配备手机及微信号，在线与客户进行交流', '2、对微信号的日常经营，及时更新、维护微信内容，发展粉丝规模和提升粉丝活跃度', '3、为客户提供专业的咨询服务与相关产品介绍，促成交易', '4、配合公司完成各项计划及业绩目标', '二、任职要求：', '1、学历不限，喜欢销售，公司提供带薪岗前培训；', '2、对电子商务感兴趣，敢于挑战自己，创造更高的业绩；', '3、善于沟通，能迅速获得客户的信赖，有一定的销售技巧；', '4、电脑基本操作熟练； 熟悉使用电脑软件，打字速度不能太慢；', '5、欢迎优秀应届毕业生的加入！', '三、福利待遇：', '1、薪资构成：高额提成+团队/个人优秀奖+全勤奖+丰厚绩效奖+员工年底分红（', 'HR姐姐悄悄的告诉你薪酬范围：试用期平均薪资：3000~5000，入职6个月平均工资：5000~8000，入职1年以上平均工资：8000~15000）多劳多得，努力有会有回报！）', '2、带薪培训：提供带薪岗前培训、销售精英培训、储备销售经理培训（专业知识、岗位技能、管理能力等）；', '3、晋升通道：', '蛋蛋（基础员工）→公鸡（团队组长）→大鹏（团队主管）→凤凰（事业合伙人，可成股东啦）；', '# 我们BOSS说：不想当凤凰的蛋蛋不是好的蛋蛋……给我们2年时间把你从一只蛋蛋孵化成一只凤凰吧！', '4、节日福利：除享有国家法定节假日外，额外再享有带薪年假，年底双薪，过节礼品、春节利是等多项福利；', '5、工作环境：在轻松的工作中享受', '每周2--3次', '下午茶，办公环境良好，公司配备冰箱、微波炉、饮水机等，可以自己带饭哟~', '6、丰富多彩的员工活动：公司每月有表彰大会，节日福利：如三八、中秋、圣诞节等，公司会经常举办生日会、酒会、K歌、聚餐、年会等Party；', '7、会购买广州社保；', '8、半年一次5-8天带薪东南亚豪华旅游；', '工作时间：八小时工作制，上午9:00--12：00，下午13:30--18：00，周日及其他法定节假日正常休息，无夜班', '\xa0\xa0\xa0\xa0\xa0\xa0加入向禾，下个月收入过万就是你，大平台聪明的你肯定不会错过！投递简历后，我们承诺24小时内必定安排专职HR回复，让你了解这个职位的更多信息！', '有意者可直接致电人事部：联系电话：020-28166841，联系微信：H28995996', '面试地址：广州市天河区棠东东路9号御富科贸园D栋407室', '乘车路线：BRT天朗明居站（近50米）//地铁：23号线 棠东站 出口，车陂4号线C出口附近', '公司网址：http://www.xhcare.com', '\r\n                ', '\r\n                                        ', '职能类别：', '客服专员/助理', '电子商务专员', '\r\n                                        ', '关键字：', '网络销售', '销售', '销售代表', '微信客服', '电商客服', '电子商务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
