link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/meishan/119374260.html?s=01&t=0,健康管理师,成都金卡健康管理有限公司,3-4.5千/月,眉山,2年经验,本科,民营公司,少于50人,医疗/护理/卫生,眉山东坡区湖滨路南四段108号东方首座商业中心,"['\r\n        ', '1.完成客户全面健康信息收集并建档，对客户健康情况进行专业、全面的评估，并追踪客户健康状况；\xa02.针对慢性疾病、职业病等制定专业的生活、饮食、运动计划，并对此类疾病进行专项健康管理；\xa03.为客户提供专业的健康咨询服务；\xa05.为部分客户提供家庭健康规划上门服务。', '职位要求：', '1、有健康管理师证；\xa02、熟练掌握办公软件（Word、Excel、PowerPoint）的操作；\xa04、有营养师资格证者优先。', '上班地址：', '眉山市东坡区湖滨路南四段108号东方首座商业中心', '上班时间：', '早上八点半-晚五点半，午休两小时', '\r\n                ', '\r\n                                        ', '职能类别：', '营养师', '综合门诊/全科医生', '\r\n                                        ', '关键字：', '健康管理', '营养师', '大健康', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-whq/112883290.html?s=01&t=0,客户经理（直销渠道）,泰康养老保险股份有限公司四川分公司,0.3-1.5万/月,成都-武侯区,1年经验,大专,合资,10000人以上,保险,川内及各地市州,"['\r\n        ', '1、负责团体保险、企业年金等相关产品的营销工作；', '2、不断开拓新客户，大力推广公司保险保障类产品及年金类产品；', '3、负责所在区域企业团体保险类客户、企业年金客户的销售管理与售后服务工作；', '4、依托公司互联网+大健康新战略，不断对客户实施深度开发；', '5、推动政府医保等国家政策性保险业务的开拓工作。', '任职要求', '：', '1、性格开朗、外向，能在压力下积极主动开展销售工作；', '2、具有一定团体保险销售、信用卡销售、证券金融销售、不动产销售、电话销售等销售经验优先；、', '3、具有一定保险客户资源、善于开发新客户；', '4', '、吃苦耐劳，工作积极主动，具有良好的团队合作精神。', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '保险业务经理/主管', '\r\n                                        ', '关键字：', '保险销售', '团体保险', '意外险销售', '营销', '渠道', '团队长', '高薪', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/99797316.html?s=01&t=0,城市经理,广州贝斯美生物科技有限公司,0.5-1.2万/月,成都,1年经验,本科,民营公司,50-150人,快速消费品(食品、饮料、化妆品),成都,"['\r\n        ', '职位描述：', '1、根据大区和省区规划，有效执行月度工作计划和动销方案，不断提升个人绩效，完成月度和年度销售指标。', '2、完善负责市场销售网络和产品结构，开发和完善零售客户网络，协助客户做好辅食品类管理工作，提升客户盈利能力。', '3、分析和管理客户进销存数据，确保客户库存安全合理，销售指标按时达成。', '岗位要求', '1、22~28岁，全日制本科学历。', '2、具有1年以上成熟快消品销售经验，熟悉婴童渠道或其他零售渠道的实际操作。', '3、精力充沛，工作积极主动，具有较强沟通能力和主动汇报工作的习惯，原则性和执行力强。', '福利待遇：', '1、五险一金、商业保险。', '2、奖金上不封顶。', '3、交通补贴、学习深造补贴。', '4、员工旅游、系统培训。', '贝斯美专注婴幼儿辅食，“中国婴幼儿产业十大健康品牌”，致力做好中国宝宝第二餐！', '欢迎加入贝斯美大家庭，和我们一起创造奇迹吧~', '\r\n                ', '\r\n                                        ', '职能类别：', '区域销售经理', '销售代表', '\r\n                                        ', '关键字：', '销售经理', '业务代表', '城市经理', '母婴', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/fuyang/114966987.html?s=01&t=0,区域销售总监,安徽高安生物医学科技有限公司,15-20万/年,阜阳,无工作经验,本科,民营公司,少于50人,制药/生物工程,太和县经济开发区和谐大道中科生物基地A3座3层,"['\r\n        ', '岗位职责：', '1、 负责区域内团队的组建，培训，管理，区域开销管控，统筹。', '2、 从事间充质干细胞的抗衰与治疗慢性病的销售、', '3、 负责区域内市场的调研，开发、销售、服务支持与关系维护工作，与目标客户建立良好的业务关系；', '4、 参与市场调查、竞争对手研究、营销策划等，并定期或不定期的为营销策略提供相关市场信息和开拓市场的建设性意见', '3、负责所辖区域市场渠道网络建设与维护工作；', '4、负责完成所辖区域市场各阶段销售指标；', '5、负责所辖区域市场的终端建设、业务推广和品牌宣传等销售工作；', ' ', '任职要求：', '1、28-40岁左右，诚实正直，具有良好的敬业精神和团队合作精神；', '2、本科及以上学历，临床医学类、市场营销、经济管理等相关专业优先；', '3、具备市场销售经验和团队管理经验，具备医院科室的开发维护能力；', '4、从事快消品/保险、干细胞、大健康等相关行业经验优先；', '5、具有较强的市场开拓和团队管理能力善于协调各方面关系，团队协作精神强；', '6、具有较好的团队组建能力与团队培养、管理能力。', '薪酬福利:带薪年假五险一金年终双薪员工旅游定期体检节日福利', '可接受视频面试', '\r\n                ', '\r\n                                        ', '职能类别：', '区域销售总监', '销售总监', '\r\n                                        ', '关键字：', '区域总监', '销售经理', '区域销售总监', '区域销售经理', '销售', '业务总监', '销售总监', '大客户销售', 'KA', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-whq/116188968.html?s=01&t=0,大数据总经理（医疗行业）,四川伯乐帮科技有限公司,3.5-5万/月,成都-武侯区,8-9年经验,本科,民营公司,少于50人,互联网/电子商务,新加坡工业园,"['\r\n        ', '职位描述：', '1.有互联网创业经验，***是医疗大数据、可穿戴设备等背景，对医疗大健康领域有很深的了解；', '2.领导公司发展，对公司的一切重大经营运作事项进行决策，包括对财务、经营方向、对外合作等。', '3.参与集团会议的决策，执行集团经营会的决议；', '4.定期向集团汇报经营战略和计划执行情况、资金运用情况和盈亏情况、机构和人员调配情况及其他重大事情；', '5.配合集团对外融资，进行公司资本运作；', '6.研究国内外医疗领域市场创新动态，行业及技术发展趋势，市场竞争对手产品，发掘市场新机会；', '任职资格:', '1.8年以上医疗大数据行业运营管理经验， 3年以上创业团队CEO或COO高管经验，擅长市场和资本运作，对技术和产品有一定了解；', '2.精通互联网商业运营模式； ', '3.最有较高的商业视野及市场分析能力有较强的沟通协调能力、团队管理能力以及卓越的领导能力；', '4.有带领团队突破业绩的能力、成熟稳重、有创造力、工作效率高、工作态度积极，为人正直，富有热情，能承受较大压力；', '5.具备敏锐的市场洞察能力、较强的逻辑思维、研判分析和资料收集检索能力；', '6.医疗领域具备一定的人脉和资源。', '\r\n                ', '\r\n                                        ', '职能类别：', '副总经理/副总裁', '\r\n                                        ', '关键字：', '医疗大数据', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/117453415.html?s=01&t=0,营养培训师/专业营养师,广州华桂生物科技有限公司,8-10万/年,成都,无工作经验,招1人,民营公司,50-150人,制药/生物工程,成都各区域,"['\r\n        ', '岗位职责：', '1. 根据公司市场营销战略、目标和计划，配合公司产品，向公司员工和经销商推广针对儿童方面的营养保健知识；', '2. 根据实际需要，结合保健知识，负责产品专业知识及使用方法、案例实用操作的咨询和指导，使客户能用好公司产品，体现产品价值，并作出专业的应答；', '3. 负责整理适合公司品牌和产品使用的内训专业资料，组织各类型的培训（手诊、面诊，营养知识和产品知识）工作的开展。', '4.其他上级临时安排的任务。', '任职要求：', '1.有两年以上培训经验；', '2.儿科临床、中西医、护理等相关专业，懂得孕幼儿手诊、面诊的优先考虑，有从事婴幼儿食品行业经验优先；', '3.有问题的分析和解决的能力，沟通能力强；', '4.有良好的职业形象，能接受出差。', '公司提供的不只有机会，还有数不完的福利，', '以下，只是部分：', '# 为员工购买社会保险，让你后顾无忧；', '# 提供良好且富有市场竞争力的薪资待遇，你要', '高薪', '，这里就适合你；', '# 优秀员工每年有多次全国培训学习的机会，让你打开视野，快速提升能力；', '# 公司扁平化管理，领导好沟通；', '# 本岗位在集团旗下成都分公司任职。', '\r\n                ', '\r\n                                        ', '职能类别：', '营养师', '\r\n                                        ', '关键字：', '营养师', '培训师', '母婴', '婴童', '保健品', '大健康', '咨询', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-gxq/116929854.html?s=01&t=0,商务助理,四川九阵科技股份有限公司,4.5-6千/月,成都-高新区,1年经验,大专,民营公司,150-500人,计算机软件,天府新谷10-19,"['\r\n        ', '1、处理协调400平台的客户问题；', '2、主动接待客户来访工作；\xa0\xa0', '3、配合行政填写各类申请单据、商务接待（来访客户或代理合作伙伴吃住等行程安排）。', '4、根据部门的销售计划，协助执行销售计划；', '5．根据公司的授权范围与客户洽谈业务，进行商务谈判；', '6、实行对辖区内所有客户服务费用的收取，以及沟通二次销售的需求；', '7．协调客户对于软件的调研、实施及售后维护等需求，督促合同正常如期履行；', '8．填写有关销售表格，合同管理；', '9. 客户台账的建立；', '10．完成上级交办的其他工作。', ' ', '任职要求： ', '1、大专及以上学历；', '2、具有相关计算机专业证书或技能；', '3、具有很强的沟通能力，亲和力；', '4、原则性、责任心、自制力、进取心。', '公司简介', '四川九阵妙凰科技集团有限公司（以下简称九阵集团）创建于2003年1月，是专业致力于卫生信息化建设及卫生行业专业孵化器的***高新技术企业，', '公司在2019年5月荣获成都市高新区劳动关系三星级企业，两年之内免劳动年检，劳动关系得到成都市高新区劳动部门高度认可。', '九阵集团目前产品线覆盖面向医疗卫生机构的业务系统、面向医疗集团的云医疗平台、面向区域医联体的区域医疗平台、面向区域的人口健康信息平台、以及打通医患的移动互联应用平台。', '九阵集团通过九阵平台，共享与交换来自自有业务系统和第三方提供的数据，打通居民、机构、厂商和机构间的信息流和资金流，联通资源、需求和供给，重塑服务模式，帮助各方以更经济的方式实现自身目标。通过平台的生态功能，重建筹资和支付方式。', '九阵集团在全国23个省、市、自治区认证有近400多个共同经营合作伙伴和本地化服务中心，有超过4000家机构使用九阵应用系统，超过8000万人享受了九阵软件给就诊过程带来的便利，具有简体中文、繁体中文、英文、藏文、维文等多语种版本，产品远销缅甸、新加坡、苏丹等地。', '由九阵集团自主研发的《九阵医院信息管理系统》被卫生部下属的“全国医学信息技术考试中心（MILC）“指定为***的教学软件，超过200所高校使用九阵软件教学，在全国大中专医学院校推广应用，已经为医疗卫生行业输送几十万名医学信息化人才。', '九阵集团作为首批四川省卫生厅的信息系统应用系统的运营维护单位之一，已有超过6000家机构享受九阵运维服务。', '2012年7月，荣获工信部电子信息产业发展研究院特殊贡献奖。2014年，获得内江市政府颁发的院士（专家）工作站，目前进站专家6人，负责区域人口健康信息平台项目的科研攻关，并为孵化企业提供技术支持。', '九阵集团目前拥有四川九阵科技股份有限公司、成都市九阵科技有限公司等13家分、子公司，并在持续高速发展中。', '其中，四川九阵科技股份有限公司于 2015年 12 月组建了一个专为医疗信息软件研发、网络医疗服务、医疗器械设计、健康设备研发、医疗健康投资等创业者或创业团队提供综合服务的机构－九阵科技孵化器（苗圃）。孵化器位于成都市高新区天府新谷科技园区，拥有办公及公共场地3800 平方米，其中办公空间2200平方米、公共空间1600平方米。四川九阵科技先后与四川大学医学院等五所院校建立了紧密合作关系，还与成都市中小企业服务中心、孵化器协会、电子商务协会、律师事务所、会计师事务所建立了合作关系。欢迎已取得法人资格或准备设立公司，并致力于医疗产业链上高新技术产品开发、生产和销售，开发能力强，知识产权、资产产权明晰的企业入驻。', '    九阵集团连续四年荣获中国医药信息学会颁发的中国医药卫生信息化金牌服务商，并获中国科技创新优秀企业等荣誉称号。集团践行“智为生命精彩”的愿景，秉承“成人之美”的理念，从一个软件公司转型为平台型公司，从一个传统的软件企业，过渡到一个互联网企业，通过平台战略实现公司完成大健康行业战略布局，以构建生态的可持续性发展的快乐平台为基础，以基于大数据和云计算平台为核心，打造成大健康信息化产业的一艘可持续性创新发展的企业航母。', '\r\n                ', '\r\n                                        ', '职能类别：', '商务助理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/112418155.html?s=01&t=0,体检线大区销售经理（西南大区）,橙意家人科技（天津）有限公司,0.8-1万/月,成都,5-7年经验,大专,民营公司,50-150人,医疗/护理/卫生,及周边地区,"['\r\n        ', '技能要求：', '大客户销售', '岗位职责：', '1、\xa0承担公司在规定所辖大区市场的全面拓展，完成大区的销售业绩指标；', '2、\xa0依据公司销售计划及业绩指标，依托各地区体检中心资源，把握重点客户/关键人，完成各城市的租赁合同的签订，达成回款；', '3、\xa0对所负责城市的体检中心做好运营和维护工作；', '4、\xa0全面收集所属区域内的市场动态、客户及竞争对手情况，及时汇总并向公司反馈，针对不足提出合理化建议或有助于提升销量的方案；', '5、依财务规定按时完成月度结算，及时催收所属区域的销售回款。', '任职资格：', '1、\xa0具备优秀的销售业务及团队统筹协调、规划管理能力；', '2、\xa0能适应初创公司模式，有极强的抗压能力、开拓能力、自我驱动能力；', '3、\xa0具备优秀的资源拓展、整合能力，在医疗大健康产业有广泛的人脉及资源；', '4、\xa0有医疗大健康行业销售管理经验或有个人创业经历者优先；', '5、逻辑清晰、思维敏捷、心态开放、学习能力强。', '\r\n                ', '\r\n                                        ', '职能类别：', '销售经理', '\r\n                                        ', '关键字：', '美年大健康', '体检线', '呼吸慢病', '筛查', '健康管理', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/118394904.html?s=01&t=0,护士,港联不动产服务（中国）股份有限公司成都高新分公司,3.3-4.5千/月,成都,无工作经验,招1人,民营公司,50-150人,物业管理/商业中心,成都市天府大道中段666号希顿国际广场,"['\r\n        ', '岗位职责：', '1.\xa0顾客接待、引领、分流；', '2.\xa0跟进顾客的情况，顾客资料的填写、整理护理文档整理。', '3.\xa0能够及时与医生、同事交流，并给予顾客相应的关怀与情况跟踪。', '4.\xa0评估设备操作，保持工作环境的干净整洁。', '5.保持就诊环境的整洁、舒适、有序，服务热情、周到、细致。', '6.时时观察客户的情绪情况，做好客户的基础护理和心理护理工作', '任职资格：', '1.护理专业，有护士资格、执业证书。', '2.学习能力强，具有较强的沟通能力', '3.亲和力强，富于爱心，踏实敬业。', '4.形象气质佳，具有亲和力，沟通能力强，抗压力强。', '5.具有良好的沟通能力，具备团队合作能力，品德优秀、诚实守信。', '6.有品牌顾问销售或大健康行业经验者优先。', '7.\xa0愿意从事一项有爱的事业，有社会责任感，性格外向、反应敏捷、富有爱心，品行端正，具有亲和力。', '8.样貌端正姣好,笑容极具亲和力', '\r\n                ', '\r\n                                        ', '职能类别：', '护士/护理人员', '\r\n                                        ', '关键字：', '健康中心', '护士', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-gxq/119573748.html?s=01&t=0,大区经理,神威药业集团有限公司,1-1.5万/月,成都-高新区,3-4年经验,大专,外资（非欧美）,5000-10000人,制药/生物工程,府城大道天府新谷,"['\r\n        ', '技能要求：', '行业经验', 'u 主要职责', '1.依据公司年度销售计划、医院及客户开发计划，制定和分解大区销售任务，对各项目标指标达成负全责；', '2.负责所辖区域重点客户的开发、维护及医院上量工作；设计详细的医院开发计划与产品上量策略，指导监督实施并对实施效果负责；依据市场情况计划学术活动内容与安排实施，并对活动效果进行跟踪；', '3.所负责区域的政府事务***责任人，负责区域市场的物价、医保、卫生、药监、医院等公共事务工作，确保产品价格符合企业战略，及时了解新医改动向；负责本事业部产品进入地方医保目录、全省医院统一挂网招标工作；负责处理区域市场客户投诉、药品不良反应等问题，并跟踪结果；', '4.协同业务人员进行重点客户拜访，进行产品知识培训，了解市场状况、医院管理状况及客户需求，与客户建立良好合作关系；', '5.定期召开季度、月度例会，组织分析所辖区域产品、终端业务的进展情况，及时发现问题并提出改进措施，确保销售目标达成；', '6.负责商业发货、配送及库存状况，合理安排终端销售，确保产品终端覆盖；省区承担商务智能工作；', '7.每月完成公司规定的销售报告和报表，汇总相应的数据表格上报事业部领导，为事业部相关决策提供依据；', '8.对学术推广活动、各项销售数据、费用使用、销售行为、市场秩序等进行全方位监督实施；', '9.负责区域内销售队伍的建设，包括招聘、培训、考核与激励等，是大区人员招聘的***责任人，并对招聘质量进行监督，对大区市场绩效指标负责。', 'u 任职资格', '1.高度认同神威企业文化，品行优秀、公正无私、工作态度端正；', '2.良好的沟通表达能力，强烈的业绩成就导向；吃苦耐劳，较强的执行力、学习能力，有激情、较强的抗压性，较强的团队组建和领导能力；踏实肯干、具有良好服务意识；', '3.医学、药学等相关专业，大专及以上学历；40岁以下，男女不限，身体健康、无传染性疾病，适应经常性出差；', '4.从事药品医院销售工作8年以上，5年以上团队管理经验，具备学术活动策划组织、培训、讲课能力，有医院网络，熟悉相关产品知识；', '5.过往业绩表现较好，能熟练使用相关办公软件；', '6.不得有不良记录、不诚信记录行为。', '查看更多内容 ', '工作地址', ' 神威药业（成都）有限公司', '公司概况 ', '简介', '                                                                   神威药业：现代中药领航者', '        神威药业集团是以现代中药为主业的大型综合性企业集团，综合竞争力在医药行业居前二十强，在中药行业列前五强，是香港联合交易所市值***的中药企业，先后荣获福布斯亚洲200***企业、中国最具成长性企业、中药行业首批信用3A评级单位等殊荣，拥有“神威”、“五福”******。', '        神威药业集团主营业务涵盖了中药材种植、中成药科研、提取、生产、营销等上中下游产业链，拥有全国***的神威现代中药产业园和多个符合国家GAP规范的中药材种植基地，是全国规模***、技术水平***、质量控制能力最强的现代中药注射液、软胶囊、颗粒剂专业制造商，下属神威药业有限公司、河北神威药业有限公司、神威药业（张家口）有限公司、神威药业（四川）有限公司、河北神威大药房连锁有限公司等多家子公司。销售网络覆盖全国30多个省、自治区、直辖市，产品批量出口。', '        神威药业集团中药年提取能力，中药注射液、软胶囊、颗粒剂年生产能力均为国内***，产品主要针对中老年用药、儿童用药、抗病毒用药等高速增长的目标市场，形成了现代中药注射液、现代中药软胶囊、现代中药颗粒剂三大特色剂型，拥有多个超亿元现代中药大品种，神威清开灵注射液、神威参麦注射液、神威舒血宁注射液为“全国百姓放心药”，占据了国内同品种70%以上市场份额，神威牌藿香正气软胶囊、清开灵软胶囊等多个品种被列为国家中药保护品种，五福心脑清软胶囊、小儿清肺化痰颗粒等知名产品畅销全国。神威先后被评为“全国百姓放心药企业”、全国首批“药品质量诚信建设示范企业”等殊荣。', '        神威药业集团专注发展现代中药，综合运用指纹图谱、超临界萃取、超微粉碎等新技术，中药动态逆流提取、注射液洗灌封联动生产线、软胶囊全自动包装线等领先工艺设备，广泛应用计算机控制技术，实现了中药生产的标准化、中药剂型的现代化、质量控制的规范化、生产装备的自动化，使神威现代中药产品达到了“安全、有效、稳定、可控”的现代标准。神威设有***企业技术中心和院士工作站，拥有通过CNAS的“国家实验室认可”质控中心，建成全国***的“中药制剂先进工艺集成及生产过程自动控制高技术产业化示范工程”和“中药注射液质量标准化示范工程”等国家高技术产业化示范项目，承担多项科技部课题，成为国家863成果产业化基地、国家中药制剂高技术产业化示范基地、国家知识产权试点单位，被国家人事部批准设立博士后科研工作站。', '        展望未来，神威药业集团将继续专注于现代中药的研发、生产和销售，着重培养以需求为导向的研发、以成本和质量为要求的精益生产、以传统渠道为依托以掌控终端为最终目的的营销、以及以严细求实为核心的神威文化等四个方面的核心竞争力，依托现代中药产业的品牌优势、资本市场优势、管理优势，提升神威现代中药的突出优势，打造国内一流的神威大健康产业园，成为中国***、盈利能力一流的专业中药制造企业，引领现代中药，推进健康产业。', '        大事记', '2       1992年8月9日，率先在河北省实施规范化股份制改造试点，成立石家庄神威药业股份有限公司。', '2       1994年1月，综合实力跃居河北省中药行业首位。', '2       1996年，进入全国中成药工业企业五十强行列。', '2       1998年6月，软胶囊车间在同剂型中全国***家通过GMP认证。', '2       1999年4月，神威药业（燕郊）有限公司成立（现河北神威药业有限公司）。', '2       2000年9月，河北神威大药房连锁有限公司成立。', '2       2001年5月，被中华全国总工会授予全国“五一”劳动奖状。', '2       2001年9月，现代中药提取及注射液项目被国家计委批准为“中药制剂先进工艺单元集成及生产过程   自动控制高技术产业化示范工程”。', '2       2002年2月，“神威”商标被认定为中国***。', '2       2002年12月，利税首次突破亿元大关。', '2       2003年1月，公司所有剂型通过国家GMP认证。', '2       2003年12月，公司被列入国家科技部“十五国家（863）计划成果产业化基地”名单（石家庄新药研究与开发成果产业化基地）。', '2       2004年4月，经资产重组公司更名为神威药业有限公司，神威药业（燕郊）有限公司更名为河北神威药业有限公司。', '2       2004年6月，通过英国标准协会（BSI）质量、环境、职业安全健康三体系整合管理体系国际认证。', '2       2004年12月2日，公司在香港联合交易所主板上市，成为国内***家在香港联合交易所主板上市的现代中药企业。', '2       2005年，利税突破5亿元。', '2       2005年11月，公司荣获“中国制造行业内最具成长力自主品牌企业”称号。', '2       2005年11月，公司荣膺“中国十大行业百佳雇主”殊荣。', '2       2005年11月，公司荣获“2005年中国成长企业100强”称号。', '2       2006年3月，公司荣获“中国10大最受赞赏医药企业”称号。', '2       2006年6月，公司被国家人事部批准设立博士后科研工作站。', '2       2006年7月，公司入选世界品牌实验室颁布的“中国500最具价值品牌”。', '2       2006年10月，公司被中国企业联合会、中国企业家协会评为2006年“全国和谐劳动关系优秀企业”。', '2       2006年11月，公司荣获我国企业文化建设成就***荣誉“中国企业文化优秀奖”。', '2       2007年1月，通过澳大利亚GMP认证,同时得到国际药品监查合作计划（PIC/S）成员国英国、法国、德国等20多个国家的认可。', '2       2007年1月，“神威”商标入选中国最有价值商标500强。', '2       2007年4月，神威药业再次入选“中国制药工业百强”。', '2       2007年10月，“降脂通络软胶囊高技术产业化项目”被国家发改委授予“国家高技术产业化示范工程”。', '2       2007年11月，公司入选福布斯2007年度亚洲200***中小企业，成为全国医药行业。', '2       2008年1月，神威入选福布斯“2008中国潜力企业榜”。', '2       2008年3月，“神威”商标再次入选“中国500最具价值品牌”。', '2       2008年6月，公司现代技术与质量中心通过国家实验室验收。', '2       2008年10月，公司“中药制剂先进工艺单元集成与生产过程自动控制”项目被国家发展和改革委员会授予“国家高技术产业化十年成就奖”。', '2       2008年11月，公司3个品种入选第四届百姓放心药，企业荣获***“百姓放心药突出贡献企业”殊荣。', '2       2009年4月，神威现代中药产业园项目开工。规划占地近400亩，拟投资50亿元，建成后预计年新增产值100亿元，新增利税30亿元。', '2       2009年4月，入选中国制药工业最具竞争力20强。', '2       2009年9月，神威药业入选中国持续成长企业百强。', '2       2009年11月，李振江董事长入选中国医药“60年?60人”，成为新中国医药风云人物的杰出代表。', '2       2010年1月，“五福”商标继“神威”之后被国家工商总局认定为中国***。', '2       2010年5月，并购张家口长城药业有限公司，更名为神威药业（张家口）有限公司。', '2       2010年7月，第二届“中国最具竞争力医药上市公司20强”评选在上海揭晓，神威药业入选最具竞争力医药上市公司20强，综合得分列前10位。', '2       2010年9月，神威药业再次入选福布斯亚洲***企业榜单，在全部入选企业中排第36位。', '2       2010年11月，公司荣获国家发展改革委、科技部、财政部、海关总署、国家税务局五部委联合颁发的“国家认定企业技术中心”称号。', '2       2010年12月，国家高技术产业化示范工程“中药注射剂质量标准化高技术产业化”项目验收合格。', '2       2011年 6月， “中医中药中国行”组委会分别在石家庄市平山县西柏坡和北京市怀柔区两地举行的启动仪式和捐赠活动，神威药业集团向主办方捐赠价值100万元优质药品。', '2       2011年8月， 神威药业研究院正式迁往燕郊。', '2       2011年9月， “一种可提高清开灵氨基酸含量的制备方法”获得国家知识产权局授予的专利权，至此，神威药业清开灵注射液、清开灵软胶囊等核心产品正式拥有专利技术支撑。', '2       2011年12月， 由神威药业赞助支持的首届“神威药业杯”北京大学药学院研究生学术竞赛在北京大学举行。', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
