link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/chengdu-qyq/113668577.html?s=01&t=0,电子商务专员-国企直招非中介,太平洋保险在线服务科技有限公司四川分公司,6-8千/月,成都-青羊区,无工作经验,大专,国企,1000-5000人,保险,青羊工业园C1大楼,"['\r\n        ', '     一、岗位职责', '1、向客户介绍公司保险优惠方案，邀约客户办理业务及提供在线咨询服务；', '2、负责客户信息的收集，完善客户档案资料，为客户提供专业化的建议；', '3、公司***，与客户沟通,系统下单(室内办公,无需外出)。', '二、', '职位要求：', '1、中专及以上学历，专业、性别不限；18岁以上;', '2、普通话标准，具有良好的沟通和语言表达能力；', '3、电脑打字速度不低于40汉字/分钟，正确率不低于90%；', '4、个性开朗、反应敏捷，能够承受压力、勇于挑战高薪；', '5、接收实习生。', '三、福利待遇：', '1、薪资构成：无责任底薪+职级津贴（随职级提高而提高）+全勤奖+交通补助+餐补+绩效提成+竞赛奖励+年终奖+高温补贴+过节费+劳保+生日礼金', '2、毕业生当月签订劳动合同，缴纳五险二金以及两项商业保险；实习生缴纳两项商业保险。', '3、每年五次节日礼金，享受高温补贴，生日礼金等。', '4、八小时工作制，每周双休，享受法定节假日、带薪年假。', '5、专业的入职和晋升培训，健全的职业发展体系。', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '电话销售', '\r\n                                        ', '关键字：', '车险销售', '电话销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/sichuansheng/117919444.html?s=01&t=0,电子商务专业教师,成都智畅信息科技发展有限公司,5.5-7千/月,四川省,2年经验,硕士,上市公司,150-500人,通信/电信/网络设备,绵阳市安州区西南科技大学城市学院,"['\r\n        ', '岗位职责：', '1、具备良好的政治素质，遵守宪法和法律，坚持党的领导，思想品德高尚，忠于国家，服务于学生；并能按照教学大纲、教学规范要求，完成相关课程的教授工作。', '2、指导学生进行项目实战，完成项目指导工作。', '3、指导学生技能大赛。', '4、完善课程内容，保障教学任务的完成。', '5、按要求完成考试出卷、阅卷、提交成绩、试卷归档，并按要求整理提交所授课程完整课程资源。', '招聘要求：', '1、电子商务、金融、营销等专业研究生学历。', '2、本科毕业生具有相关行业2年以上工作经验，特别优秀者可破格录取。', '3、有院校电子商务相关专业教学经验，或具有中级及以上职称者优先考虑。', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务经理/主管', '\r\n                                        ', '关键字：', '电子商务', '金融', '营销', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-gxq/118844629.html?s=01&t=0,电子商务经理,四川红世投资管理有限公司,0.8-1.2万/月,成都-高新区,5-7年经验,本科,民营公司,50-150人,多元化业务集团公司,环球中心,"['\r\n        ', '1、负责公司电商平台的日常管理、运营、合作对接等；', '2、拓展、洽谈电商合作平台、新媒体合作伙伴、品牌合作伙伴等并与之建立合作关系，寻求销售机会；', '3、根据公司要求开展市场推广，市场营销活动，提升品牌影响力；', '4、带领团队做好全面的运营推广，对网店店铺的PV、UV、销量、跳失率、地域分布、转化率等做出专业的数据分析；', '5、根据公司经营战略和业务需求，合理设置部门组织结构和岗位，优化业务流程，合理配置人力资源，开发和培养部门成员能力，对成员绩效进行管理，确保完成经营目标。', '任职要求：', '1、本科及以上学历，营销类、电子类专业；', '2、具有3C数码产品、手机周边产品电子商务平台（天猫、京东）运营经验者或具有单独运营电商品牌经验者优先；', '3、五年以上电子商务平台管理相关工作经验，熟悉国内电商行业，熟悉各平台的运营环境及规则，对如何打造爆款、提升流量、转化率、客单价有实操经验；', '4、能独立分析整理店铺数据，并根据店铺健康指数要求，对不足项进行及时优化；', '5、具有较强的创新能力，市场营销能力、分析与解决问题的能力。', '\r\n                ', '\r\n                                        ', '职能类别：', '商务经理', '电子商务经理/主管', '\r\n                                        ', '关键字：', '电子商务经理', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-qyq/116566090.html?s=01&t=0,电子商务经理/主管,四川七实健康食品股份有限公司,4-8千/月,成都-青羊区,3-4年经验,大专,创业公司,50-150人,农/林/牧/渔,中坝地铁站附近,"['\r\n        ', '1、具有电子商务的整体运营工作经验及成功案例，相同岗位任职经验三年以上，有食材销售行业运营管理经验更佳；', '2、对网络推广及营销有丰富的经验，能独立运营。', '3、精通网络数据分析，具备较强的逻辑思维、调研及数据分析能力，较强的创新与市场分析、营销、推广能力，精通高端产品网络营销；', '4、很强的创新和执行、领导能力，以结果为导向，有团队合作精神，顾全大局，有责任心、进取心，能积极配合公司策略的规划调整及实施。', '5、熟悉线上渠道的各种推广手段及规则，针对不同的推广渠道，开展营销活动，协调各方面资源配合执行；', '6、有良好的语言表达能力和培训能力；市场分析能力，有信息数据收集、分析、处理能力，熟练掌握运用电脑办公软件；', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务经理/主管', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/108193423.html?s=01&t=0,涉外电子商务,成都普瑞法科技开发有限公司,0.3-1万/月,成都,无工作经验,本科,民营公司,50-150人,制药/生物工程,成都市温江区蓉台大道388号A11号厂房2楼,"['\r\n        ', '负责植化产品，高含量提取物，定制合成和分离纯化服务的国际市场电子商务工作；', '1、从事植化产品/天然产物电子商务的推广与销售；', '2、针对客户需求提供相应的网络营销解决方案；', '3、通过电话、网络、面谈进行渠道开发，意向或潜在客户挖掘；', '4、多渠道搜集客户资源，以直销为主，结合电销网络的多渠道销售模式开展工作；', '5、客户关系的维护及开发新客户。', '任职资格：', '1、对电子商务有所了解、有所接触,能承受一定的工作压力；', '2、性格开朗，较好的沟通能力及表达能力；', '3、有责任心，有目标感，对自己的发展有一定的规划；', '4、有相关销售经验者优先；', '5、英语良好。', '待遇: 底薪+提成，面议。 ', '公司提供相关专业和业务培训。', '工作日： 周一到周五,双休无夜班 ', '我们提供完善的薪酬和福利制度，及良好的发展空间；我们期待您的加入，分享机遇和挑战，与我们共同进步成长。', '\r\n                ', '\r\n                                        ', '职能类别：', '贸易/外贸专员/助理', '市场/营销/拓展专员', '\r\n                                        ', '关键字：', '销售', '外贸', '跟单', '客服', '进出口', '业务员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/65158895.html?s=01&t=0,电子商务专员,成都川奥星机电设备有限公司,3-5千/月,成都,1年经验,大专,民营公司,少于50人,机械/设备/重工,金牛区成彭立交旁量力机电城商务大厦10-7,"['\r\n        ', '1、负责公司网络客户的接单，报价、跟进及沟通；', '2、负责公司企业淘宝店产品的上架、维护以及淘宝店客户订单的处理；', '3、负责公司微信公众号的维护；', '职位要求：', '1、大学专科或以上学历，计算机、机电或者经济管理方面专业；', '2、具备销售内勤等工作经验；', '3、性格开朗活泼，乐观、积极向上；', '4、喜欢与人沟通，负责不找借口；', '5、有一定的文案写作能力。', '6、公司位于金牛区成彭立交旁；', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '销售行政助理', '\r\n                                        ', '关键字：', '销售', '内勤', '网络', '电商', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-chq/87185749.html?s=01&t=0,阿里巴巴外贸电子商务专员,四川华远万国进出口贸易有限公司,3-6千/月,成都-成华区,无工作经验,大专,民营公司,50-150人,贸易/进出口,驷马桥东立国际广场,"['\r\n        ', '谁还没个梦想？一起闯个天下，你来吗？', '我们的办公环境舒适自在，不讲规矩', '你可以任意挑选你喜欢的姿势工作！', '我们来去自由，不受限制', '工资准时发放，不克扣一毛线！', '别再埋没你的才华、别再形同路人，来吧，加入我们吧，最棒的你！', '【招聘岗位】外贸运营', '不管你是毕业小白，都市白领，亦或失业小青年，职场老司机，who\xa0care?\xa0投入我们的怀抱，给你妈妈般的关爱', '【岗位职责】', '1、编辑、上架、优化外贸产品；', '2、和老外直接交流，处理售前售中售后问题。', '【岗位要求】', '1、没有外贸经验没关系，对电商有兴趣我们带你入行', '2、不懂平台规则没关系，我们可以教你，只要你愿意努力', '3、但不会英语或其他小语种，你说咋跟老外有共同语言', '4、手机需要充电，我们也希望你时时充电，及时弥盖暂时的短板', '5、沟通的重要性，相信你是懂的', '【福利待遇】', '1.基本工资+提成+奖励+奖金，提供法定节假日、年休假、婚假、产假、丧假等带薪假期。', '2.为正式人员提供社保', '3.不定期的聚餐K歌或者团建你喜欢吗？', '工作时间:大小休，早九晚六', '工作地址：成都成华区羊子山路68号东立国际广场 ', '（如电话咨询028-69158109，请于周一至周五早上9：00-18：00来电，其他时间无人接听）', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '网络/在线销售', '\r\n                                        ', '关键字：', '外贸', '电子商务', '实习', '亚马逊', '速卖通', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/108384572.html?s=01&t=0,电子商务运营专员 (职位编号：003165),和记黄埔（中国）商贸有限公司,5-7千/月,成都,1年经验,大专,外资（非欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),成华区,"['\r\n        ', '岗位职责:', '1、负责线上天猫旗舰店等渠道运营工作，完成公司销售任务；', '2、负责制定年度、季度、月度营销计划，转化并细分成执行计划；', '3、负责制定双十一、双十二等天猫官方大促及日常活动的策划、报名、执行落地；', '4、负责采集、分析品牌及竞品数据，根据不同时间点制定具有特色的营销计划；', '5、负责定期、定量、定指标的对竞争进行分析，做出营销调整；', '6、其他线上渠道的拓展；', '7、其他与职责相关的工作。', '\xa0', '任职资格:', '1、大专及以上学历；', '2、有优秀的沟通、创新和解决问题的能力，上进心强；', '3、有整店运营管理经验，较强的跨部门(物流、仓储、财务等)合作能力；', '4、有较强的客户管理能力，抗压能力；', '5、有1年及以上淘系平台工作经验，天猫旗舰店工作经验优先；', '6、有一年以上的团队管理经验，善于团队合作和激励；', '7、经历过淘系平台从创始到发展阶段的优先考虑。', '\r\n                ', '\r\n                                        ', '职能类别：', '网店/淘宝运营', '电子商务经理/主管', '\r\n                                        ', '关键字：', '电子商务', '运营', '淘宝', '天猫', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu/116392986.html?s=01&t=0,amazon亚马逊电子商务营销专员,四川华景国贸实业有限责任公司,6-8千/月,成都,2年经验,本科,民营公司,50-150人,贸易/进出口,四川省成都市总府路2号时代广场A座27层（公司总部）,"['\r\n        ', '主要职责：', '1、开展品牌基于公司amazon美国站电子商务平台的营销推广工作；', '2、研究及运用amazon的最新政策及各种营销手段，以提高品牌影响力、流量、产品排名、点击率、成交率等；', '3、推广活动方案策划、文案撰写、实施；分析流量数据、市场趋势、产品曝光率以及客户行为；', '4、利用facebook、twitter、deal站、google广告等站群推广工具和站外引流手段，开展站外引流及营销推广；', '5、负责产品更新发布上下架，客户咨询与沟通；处理每日订单，邮件；处理各类售前、售中、售后出现的问题并能独立处理争议差评，保存店铺的好评率和良好的信用度和店铺review 的质量。', '入职要求：', '1、25-35岁；国内统招本科或经教育部留学服务中心认证的国（境）外大学本科或以上学历，学士学位或以上，专业不限；英语CET6、TEM8或良好的IELTS、TOEFL、EFL、ESL成绩；', '2、两年以上amazon跨境电商平台运营经验；熟悉跨境电商平台管理软件；', '3、熟悉电商网站操作模式、管理规划和流程，对电商网站的整体框架建设、网络营销、数据库营销及客户管理等方面有深刻认识；具备高度的市场敏感度，极强的数据分析能力、创新能力，能根据市场情况制订有针对性的营销方案；', '4、准确理解产品定位、精通促销推广，广告营销；对增强品牌影响力、优化产品排名及增加流量、点击率及复购率等有较强的操作能力及经验。', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '市场/营销/拓展专员', '\r\n                                        ', '关键字：', '电子商务', '营销', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/chengdu-jjq/80368830.html?s=01&t=0,阿里巴巴诚信通电子商务专员,成都商途天下网络技术有限公司,4-8千/月,成都-锦江区,无工作经验,招20人,民营公司,150-500人,互联网/电子商务,汇融国际C座19楼,"['\r\n        ', '阿里巴巴四川成都服务站期待您的加入！', '一、职位描述：', '1、从事阿里巴巴诚信通产品1688.com平台的销售及招商推广；', '2、沟通潜在客户，邀约并拜访客户，针对中小企业平台销售需求提供相应的网络营销解决方案；', '3、对老客户进行定期维护，及时了解客户需求，把握客户心理，实现销售机会到销售产能的***转化；', '4、多渠道搜集客户资源，结合网销、电销、会销加直销的多渠道销售模式开展工作；', '5、有较强的团队合作意识，有上进心，责任感，对自己的目标有规划。', '6、本岗位不用出差，仅针对成都大范围客户提供阿里巴巴平台服务。', '二、任职要求：', '1、认同阿里巴巴企业文化，敬业爱岗。', '2、热爱互联网行业平台，对电商销售具有热情；', '3、外向健谈，具有较强的执行力，能自主学习，拥抱变化；', '4、有较强的市场开拓能力，吃苦耐劳，有永不服输的性格和强烈的事业心；', '5、有电商销售经验及互联网平台招商经验人员优先录用，优秀者放宽录用条件；', '工作时间：朝九晚六点半（午休1个半小时），周末单双休，法定节假日统一休息，超长春节假14天+。', '工资待遇：底薪+绩效+高额提成+六险一金+全勤+激励+年终奖', '公司福利：购买六险一金，年假3-10天（随着入职年限逐年增加，10天为上限）；每年6月1日为公司周年庆，会不定的举办团建出游或放假2天，这是别人没有的福利哟！生日周年节日礼物、团建活动、晋升培训、阿里游学之旅！', '发展途径：销售专员―电子商务策划师―电子商务主管―', '―电子商务经理――', '分公司总监―大区总监', '如果你不会做，没有经验，没关系，我们有前期岗位培训，主管带你出单，业绩算你的。', '公司提供员工宿舍，距离公司骑一辆单车足够，住得远的伙伴没有关系哟。', '公司众多90后，欢迎你的加入！', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '\r\n                                        ', '关键字：', '电子商务', '互联网', '直销', '电销', '渠道销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
