link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/shenzhen/115236903.html?s=01&t=0,解决方案经理,深圳和而泰智能控制股份有限公司,1.5-3万/月,深圳,5-7年经验,本科,上市公司,1000-5000人,电子技术/半导体/集成电路,深圳市南山区高新南区科技南十路6号深圳航天科技创新研究院大厦D座10楼,"['\r\n        ', '职责描述：', '1.规划实用于居家、社区、机构养老、智慧城市、智慧养老解决方案、健康校园解决方案、智慧农业解决方案，构建商业模式；       ', '2.智慧养老平台、健康校园、智慧农业、智慧城市数据规划能力、平台数据服务能力规划；       ', '3.平台项目落地售前支撑；       ', '4.行业第三方服务类平台对接标准规划、、、       ', '任职要求：', '1.有三年以上相关工作经验，本科以上学历优先；', '2.需要具备专业平台解决方案能力；创新思维能力；资源整合能力；', '3.有平台解决方案能力、大型项目经验能力；', '4.有大健康特别是养老行业，校园、智慧农业经验优先；互联网平台、物联网平台过往工作经验。', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                        ', '关键字：', '解决方案', '项目管理', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-ftq/96938159.html?s=01&t=0,理疗师,深圳颐天健技术发展集团有限公司,0.7-1.2万/月,深圳-福田区,无工作经验,招5人,民营公司,50-150人,美容/保健,红岭中路园岭八街园东花园裙楼第二层111-114号颐天健,"['\r\n        ', '\xa0', '1.\xa0初中以上学历;', '2.你确定你一个沉下心做事的一个人;', '\xa0', '你的工作', '1、有美容，理疗，推拿，按摩等相关行业经验者优先；', '2、性格活泼开朗，善于沟通与聆听；', '3、协助顾问与客户做好预约沟通以及销售沟通；', '4、具有良好的沟通表达能力，责任心和专业度。', '5、服务意识好，热爱大健康产业，热爱中医文化；', '\xa0', '你的薪酬待遇', '工作时间：8小时。', '1.工资待遇4500-6000（视个人面试情况而定）+手工费+提成', '2.包吃包住，（解决生活后顾之忧，住宿条件优越）；', '3.公司提供带薪培训与缴纳五险一金，', '4.做六休一，享有国家节假日以及带薪年假、婚假、产假等；', '5.快速晋升体制（调理师-销售顾问-店长-公司股东）；', '工作地点：广州店（海珠区、越秀区、天河区），深圳（福田区）就近分配，或根据个人意愿选择。', '\r\n                ', '\r\n                                        ', '职能类别：', '护士/护理人员', '美容师', '\r\n                                        ', '关键字：', '美容', '推拿', '按摩', '技术老师', '中医养生', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhq/112197977.html?s=01&t=0,商务拓展代表,深圳安美医疗健康产业有限公司,1.5-2万/月,深圳-罗湖区,无工作经验,大专,民营公司,50-150人,医疗/护理/卫生,和平路3001号鸿隆世纪广场C座32AB,"['\r\n        ', '职位描述（工作内容和主要职责）：', '1、负责区域内医院各科室医生入驻平台的洽谈', '2、负责区域内医院数据流的引入，包括但不限于体检科、影像科等', '3、负责各医院关系维护，同医院建立深度的合作', '4、负责收集区域内同业对手的状态进行分析', '职位要求：', '1、有一定的医疗行业人脉关系，熟悉医疗行业的洽谈流程', '2、熟悉医疗行业的发展趋势，对医疗、大健康产业有一定的认识', '3、对平台型的医疗、大健康产业有独到的见解', '4、能适应高频次的商务洽谈', '5、本职位需间断性出差', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '客户代表', '\r\n                                        ', '关键字：', '渠道销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhq/114509196.html?s=01&t=0,高级销售顾问(无需自己找客户),深圳爱帝宫母婴健康管理股份有限公司,2-5万/月,深圳-罗湖区,5-7年经验,招2人,民营公司,1000-5000人,医疗/护理/卫生,罗湖区银湖度假村7栋别墅,"['\r\n        ', '年薪60万起步，你敢来挑战吗？（2018年我们公司销售顾问平均年薪60万）', '我知道你想要什么！！！', '我知道，你想要一份高薪的工作，不希望面对中年危机的时候，任由生活宰割', '我知道，你想要一个能够实现自身价值的平台，不希望埋没自己的能力和价值', '我知道，你想要在一个朝阳行业发展，不希望职业发展受限，多年之后还要从头再来', '我知道，你想要优质又精准的客户资源，不想要自己陌拜盲打电话的去开发', '我知道，你热爱销售，擅长成交，不想要繁琐的售前售后服务流程浪费你的精力', '我们能给你什么！！！', '1、销售顾问年薪60万起', '2、月子中心行业龙头，连续多年行业top1，一直被模仿，从未被超越', '3、公司所属母婴大健康行业，国家重点扶持行业', '4、公司可以源源不断的提供优质又精准的客户资源', '5、成熟高效、公平公正的销售体系，百人团队为你的成交保驾护航', '我们为什么可以！！！', '1、国内最早一批立足于母婴月子中心的企业，起步早，扎根稳', '2、12年行业积累与沉淀，5家直营店，1700+员工', '3、行业内将近上百家同行，我们的市场占有率30%以上', '4、12年来我们服务了15000名客户，专业值得信赖', '我们需要这样的你！！！', '1、3年以上销售经验，有高端客户销售经验优先', '2、视自我发展高于一切，能够全身心投入工作', '3、目标感极强，肯吃苦，情商高', '你的工作内容是什么！！！', '1、公司提供优质精准的客户资源，通过电话形式邀约客户到公司', '2、带客户参观公司，介绍公司的服务，进而达成成交。', '我们懂你想要的，我们可以给到你想要的，你是我们想要的吗？相信自己，投递一份简历，一起开启一段年薪60万+的旅程吧', '母婴行业为什么有前景？？？', '1、国家开发二胎政策、母婴行业进入高峰期', '2、随着大众生活水平的提高，对自我认知的不断提升，越来越多的产后妈妈会选择专业的月子中心坐月子', '3、公司服务于高端客户，消费能力强', '爱帝宫为什么可以给你年薪60万？？？', '1、公司2007年成立，十二年时间稳步发展已成熟，一直致力于服务高端客户，为客户提供专业的月子服务和产后护理服务', '2、公司知名度和美誉度非常高，佟大为爱人，黄磊爱人，孙红雷爱人，杨威爱人、董璇等众多明星都在公司坐月子，目前深圳总部常是满房甚至拼房状态', '上班时间：', '9:00-12:30\xa0\xa0\xa0\xa0\xa0\xa012:30-18:30\xa0\xa0\xa0\xa0\xa0\xa0月休4天，需安排在工作日休息', '福利待遇：', '公司包住包工作餐、入职即买五险一金、年终奖励、节假日福利、带薪年假、免费岗前培训、综合月薪3w-6w，底薪2500', '工作地点：三个市中心区任你选择', '福田区香蜜湖度假村内爱帝宫月子中心', '南山区蛇口工业四路爱帝宫月子中心', '罗湖区银湖独家别墅区爱帝宫月子中心', '\r\n                ', '\r\n                                        ', '职能类别：', '销售代表', '\r\n                                        ', '关键字：', '销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen/108379191.html?s=01&t=0,销售经理,一定得健身服务（深圳）有限公司,1-5万/月,深圳,3-4年经验,高中,外资（非欧美）,少于50人,美容/保健,深圳福田区福华三路118号皇庭广场G-35铺,"['\r\n        ', '工作地点：修身堂集团（香港联交所创业板股份代号：8200），', '皇庭广场直营店。', '        ', '用修身堂直营店铺掌握全球各项范畴的美容技术，国际优质的产品、专业的手法、引进的国际前沿安全的先进身材管理仪器，拓展渠道、业务。', '任职要求：', '1、年龄在22-38岁，有培训销售、相关生活美容医疗美容健康管理等销售经验；', '2、有美容业销售经验优先。有高端美容业及高端客户资源，高端美业及健康产业工作经验（例如跨国美容连锁、健身中心，健康管 理）等经历优先；', '3、性格活泼开朗，善与沟通交流，语言表达能力强，具有良好的职业素质；', '4、根据公司美容大健康及医美营销战略及目标，拓展渠道商和大客户的开发维护，对营销过程进行记录、分析、跟踪及管理；', '5、负责区域内的渠道商的培训和业务支持，并协助搞好促销活动；', '6、参与公司市场推广活动的组织和执行，承担销售任务；', '7、建立及维护良好稳定的客户关系，加强客户满意度及忠诚度；', '8、做好公司终端形象维护、  保持整齐、良好、专一的企业形象；', '9、参与销售团队之间的相互支持和配合；', '                                    ', '10、完成上级交派的其他工作。', '薪酬福利:', '1、底薪1万，奖金2万。', '2、享有高额业绩提成20%，提成上不封顶，能够不断挑战自身极限价值。', '3、按劳动法规定支付加班费。', '4、立志在美容行业发展并且希望挑战高薪；', '5、完善的社会保障，购买五险及住房公积金；', '                    ', '6、有机会参加公司在外国、香港台湾或者大陆进行的国际美容业最新先进仪器的疗程及先进手法培训，提升个人专业技能；', '面试地点：深圳市福田区福华三路118号皇庭广场G-35铺', '乘车线路：公交站（会展中心）', '地铁：一号线会展中心站（C出口）', '联系人：人力资源部', '电话： 0755-25325118', '企业网址：www.sausantong.com\xa0', '\r\n                ', '\r\n                                        ', '职能类别：', '市场/营销/拓展经理', '销售经理', '\r\n                                        ', '关键字：', '美容院', '医疗', '销售', '业务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhq/94725894.html?s=01&t=0,基因公司执行副总,深圳市摩天之星企业管理有限公司,2-2.5万/月,深圳-罗湖区,无工作经验,招1人,民营公司,1000-5000人,教育/培训/院校,地王大厦,"['\r\n        1.全面主持公司的管理工作，制定年度业绩目标及经营发展战略方案，整体营销策划方案，实现企业经营管理目标；', '2.建立公司组织体系和业务体系，负责高层管理团队的建设，审定公司内部管理机构的设置方案和基本管理制度；', '3.监督、控制整个实施过程，对公司的经营结果和持续盈利负责，并符合法律法规及监管部门的要求；', '4.对重大事项进行决策，代表公司参加重大外事或重要活动；', '5.关注国家政策走向，指导部门人员积极完成关于行业动态和行业新形势的整理工作，并配合直接上级完成公司一定数量的管理工作。', '年薪百万不是梦，欢迎加入我们成为事业合伙人！', '任职要求：', '1.本科及以上学历，生物医药、医学、营销管理等相关专业；', '2.具有从事企业管理五年以上的工作经验，三年以上本行业或相近行业管理经验，二年以上企业高层管理经验者优先；', '3.熟悉大健康领域企业经营管理和运作流程，较好的战略规划和较强的落地执行能力，社会资源丰富优先；', '4.具有很强的领导能力、组织能力、分析判断与决策能力、沟通协调能力（口头与书面表达能力较强）、团队合作意识、以及敏锐的洞察力。', '此岗位为关联公司（基因公司）代招！\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-ftq/108716408.html?s=01&t=0,大客户经理,深圳前海博明传媒有限公司,0.8-1.2万/月,深圳-福田区,3-4年经验,招2人,民营公司,50-150人,广告,商报路7号天健创业大厦18楼,"['\r\n        ', '岗位职责：', '1、负责公司自有媒体资源（全国机场贵宾楼、全国影院灯箱、全国影院广告、FM107.1环球资讯广播电台、深圳高尔夫）的广告媒体业务的推广及完成广告市场开拓的相应指标；', '2、通过各种渠道，收集、整理、开发新客户，建立、维护客户关系，拓展业务市场；', '3、收集行业市场信息和关注用户感受及其诉求，及时准确地向公司反馈客户需求和市场走向；', '4、负责团队建设与人才培养及销售管理工作；', '任职要求：', '1、大专以上学历，三年以上知名媒体销售工作经验或高端客户服务经验，年龄28-35岁；', '2、具备丰富的媒体广告销售经验，拥有客户渠道及资源者优先；', '3、丰富的客户资源及销售渠道，要求有汽车、金融、家居、大健康、高端教育、高端生活方式、高端商业平台等行业客户资源或中高端品牌直客丰富的服务经验；', '4、敏锐的市场嗅觉，具备优异的客户分析和市场分析能力；', '5、出色的沟通协调能力和商务洽谈能力，良好的服务意识和市场敏锐度；', '6、人品好、成熟稳重、较强的事业心，一流的执行能力和团队合作精神。', '公司福利：', '1、市场具有竞争力的薪酬福利体系及丰厚的提成（5%-10%）', '2、入职即购买五险一金', '3、双休，上班时间：早上：9:15-12:00 下午14:00-18:00', '4、不定期下午茶、聚餐活动，还有国内国外游', '5、BOSS高雅、年轻、帅气，尊重人才、珍惜人才', '6、工作环境优雅、公司平台好、上升空间大', '如果你是人才、又敢于打拼那就赶快加入我们吧！', '\r\n                ', '\r\n                                        ', '职能类别：', '销售总监', '大客户销售', '\r\n                                        ', '关键字：', '大客户销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-baq/104649812.html?s=01&t=0,区域督导,深圳市巨印科技有限公司,0.8-1.5万/月,深圳-宝安区,无工作经验,高中,民营公司,少于50人,快速消费品(食品、饮料、化妆品),西乡街道艺峦大厦1座1101,"['\r\n        ', '1、着重负责业务范围内的营销和客户服务工作。参加公司培训，接受公司业务知识。', '2、通过亲情沟通，建立与经销商的良好关系，提高经销商满意度；', '3、配合养生知识，做好减肥项目、减肥产品的销售。', '4、技术手法和专业理论过硬，有较好表达能力和语言组织能力。', '5、给予新手培训讲师进行技术培训和指导。', '任职要求：', '1，性别要求： 年龄（18岁――40岁）', '2，普通话要标准，有良好的语言表达能力，善于沟通，语言组织能力强，能随机应变。', '3，有丰富的养生知识，吃苦耐劳，爱岗敬业，良好的个人素质，较高的职业素养和道德。', '4，仪表大方，性格外向，热爱大健康行业。', '5，性格开朗乐观，积极向上，团队协作能力强。', '我们可以提供：', '1、挑战性的工作机会和良好的个人发展晋升空间（入职统一培训）。', '2、舒适的办公环境、良好的团队合作氛围和自由的发挥平台，充分重视员工的自我价值实现。', '3、五险一金、员工福利、运动会、嘉年会、拓展各类活动、集体旅游', '晋升渠道', '初级导师――中级――高级――品牌经理――大区经理。', '工资架构:底薪+出差补助+差旅费报销+提成+奖金', '大小周休息，法定节假日带薪休假，带薪年假。', '在简体美，给你家的感觉！我们要公司未来的合伙人，期待您的加入。', '\r\n                ', '\r\n                                        ', '职能类别：', '营养师', '培训讲师', '\r\n                                        ', '关键字：', '减重教练', '健康养生', '绿色健康', '减肥', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhq/117167915.html?s=01&t=0,副院长,固生堂中医连锁集团,1-1.5万/月,深圳-罗湖区,无工作经验,招1人,民营公司,1000-5000人,医疗/护理/卫生,深圳市罗湖区深南东路2088号胡润大厦二层,"['\r\n        ', '岗位职责：', '1、负责门店的全面管理工作，包括门店经营数据的实现；', '2、负责院内所有对外相关所有客户的管理，包括“客户投诉、行业客户活动维护、涉外客户的维护管理、客户档案”的管理；', '3、负责院内医生的管理。包括“自有医生的管理、专家医生”；', '4、负责实施、执行医院制定的各项规章制度及监督门店运作的各项运作流程；', '5、全面负责中医医院的活动及宣传推广工作；', '6、负责中医院各对外政府关系的接待及维护工作，包括“卫生局、药品监督部门及其他医疗行业维护”；', '7、负责中医院各项运营成本和费用的控制工作。', '任职资格：', '1、全日制专科以上学历，35岁以下；', '2、具备3年以上连锁餐饮企业或连锁药店店长经验；', '3、有一定的经营意识，及组织、协调、沟通、执行、抗压、团队管理能力，逻辑思维清晰，目标感强，具有进取心，能较好的完成门店营业任务；', '4、担任过麦当劳、肯德基、必胜客等知名连锁企业餐厅经理，或知名连锁药店店长优先考虑；', '5、热爱大健康行业，乐于投身中医行业。', '\r\n                ', '\r\n                                        ', '职能类别：', '医院管理人员', '店长/经理', '\r\n                                        ', '关键字：', '院长', '连锁餐饮', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhq/117980535.html?s=01&t=0,医药代表（驻广州）,深圳市顺心��圣生物科技有限公司,1-2万/月,深圳-罗湖区,无工作经验,招若干人,民营公司,50-150人,制药/生物工程,罗湖区深南东路5016号京基一百大厦A座57层01-08单元,"['\r\n        ', '1、开发维护各大医院科室合作关系；', '2、公司大健康营养品的医疗市场推广；', '3、跟进医院体系的产品销售，达成公司销售目标。', '岗位要求：', '1、医疗行业相关工作背景，医药代表工作经验为佳；', '2、能独立开发拓展医疗行业合作资源；', '3、工作积极、具备职业素养。', '注：1、五天7.5小时工作制，社保公积金齐全', '2、工作地点：广州', '\r\n                ', '\r\n                                        ', '职能类别：', '医药代表', '医药销售人员', '\r\n                                        ', '关键字：', '销售、渠道', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
