link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/shenzhen-ftq/113710842.html?s=01&t=0,客户经理（AE）,深圳市同路广告有限公司,0.6-1万/月,深圳-福田区,3-4年经验,大专,民营公司,50-150人,广告,深圳市福田区天安数码城创业园大厦B座3楼,"['\r\n        ', '同路公司是一家全智慧创意策划机构，1993年创立于中国经济特区深圳，为企业以及事业机构提供高品质的战略咨询和创意策划解决方案。同路在房地产创新、文化旅游、特色小镇、产业运营、城市更新、互联网、消费品、教育、公益等领域，取得产业与城市策划的丰盛经验。', '同路全智慧创意策划服务涵盖顶层设计、品牌策划、互联社群、文创IP运营、产业链构建、广告创意、公关策划，同路战略构建尤为出色，帮助企业与组织巧建发展路径、扩大市场影响、实现创新业绩。', '26年发展，同路恪守“态度决定一切”，实施“智慧合伙 价值共享”，推行“全情景、全执行、全资源”深度服务体系，为企业建立起独一无二的创意资产。同路有超过10位行业顶尖合伙人组成高层管理矩阵，国内外20余位才华横溢的专家组成高级顾问团，与多家专业机构组织共建创新智慧平台。', '同路共服务超过66座城市、350家客户，建立1300多个创意策划案例，建设200万深圳互联社群，开发100款文化创意产品，获得私营名企、大型国企以及各级政府单位、企业家和职业经理人的长期青睐，获得行业十强和深圳重点文化企业殊荣。', '同路引入全球产业资源，深耕中国市场，在世界人文、国家竞争力、社会公益方面亦不懈努力参与。', '岗位要求', '1、大专以上学历，有广告或地产行业相关工作经验，熟悉房地产操盘流程及广告流程。', '2、具备较强的客户沟通力，团队协作力及执行力。', '3、可有效服务项目工作，项目小组工作合理的统筹安排。', '4、抗压能力强，可适应加班及全国性工作制。', '5、对外，与客户进行谈判、联络、提案、收款等；对内，制定策略、协调资源、分派工作、监督进程等。', '6、熟悉销售、市调、企划、设计、制作、媒体等方面的专业知识，也要有一定的人际关系处理能力。 ', '\r\n                ', '\r\n                                        ', '职能类别：', '广告客户经理', '广告创意/设计主管/专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lgq/115438223.html?s=01&t=0,加盟招商专员,深圳市伯居房地产有限公司,6-8千/月,深圳-龙岗区,无工作经验,招5人,民营公司,50-150人,房地产,平湖华南城环球大厦26楼,"['\r\n        ', '加盟招商专员（此职位帮兄弟公司招聘）', '1、按公司招商加盟流程及工作制度要求进行日常招商加盟工作；', '2、负责招商工作和客户开发，完成每月招商部下达的招商任务；', '3、负责向部门负责人汇报每天工作进展情况；', '4、积极开展市场调查，为上级及时提供有效的市场讯息；', '5、掌握市场动态，积极有效地开辟新客户，负责客户开发和维护，不断收集目标客户信息，建立详实的客户档案；', '6、负责客户的接待、洽谈、跟进、签约，负责客户前期各项入驻手续的办理。', '要求：', '1、中专及以上学历，专业不限， 1年以上连锁品牌招商工作经验，优秀应届毕业生也可考虑；', '2、喜欢葡萄酒行业，能够积极关注葡萄酒信息及零售品牌动态，了解加盟连锁的运作模式，熟悉招商工作开展的基本流程；', '3、形象佳、沟通表达能力及目标感强，责任心与执行力强，具有优秀的团队协作意识', '薪资：4000-15000', '地址：深圳市龙岗区平湖街道上木古DCC文化创意园10栋葡悦汇', '联系人：何小姐    电话：18682180839', '\r\n                ', '\r\n                                        ', '职能类别：', '客户代表', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-ftq/114759731.html?s=01&t=0,销售主管,深圳市质感生活商贸有限公司,6-8千/月,深圳-福田区,3-4年经验,大专,民营公司,少于50人,奢侈品/收藏品/工艺品/珠宝,福强路4001号深圳文化创意园E馆602,"['\r\n        ', '岗位职责：\xa0', '1、在指定渠道根据公司销售目标，准确有效地执行完成目标；\xa0', '2、具备较强的市场分析、营销能力和良好的人际沟通、协调能力；\xa0\xa0', '3、具备一定的管理能力，能对团队员工进行管理、指导、培训等工作；\xa0\xa0', '4、能够建立丰富的销售资源并良好地维护客户关系；\xa0', '5、文具、礼品及创意产品相关行业销售管理工作经验者优先；\xa0\xa0', '任职资格\xa0', '1、专科及以上学历，市场营销等相关专业优先；\xa0', '2、3-4年以上销售行业工作经验，有销售管理工作经历优先；\xa0', '3、有较强的事业心和责任感，能承受一定的工作压力。\xa0', '5、热爱文化创意产业并愿意为之长期努力、深入耕耘。\xa0\xa0', '工资体系：\xa0底薪+提成\xa0底薪：6000-7000（视能力定最终底薪）', '\r\n                ', '\r\n                                        ', '职能类别：', '销售主管', '\r\n                                        ', '关键字：', '文创', '销售', '线上', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhxq/107111825.html?s=01&t=0,物业招商经理,深圳东吴投资集团有限公司,1.5-2万/月,深圳-龙华新区,3-4年经验,大专,民营公司,150-500人,多元化业务集团公司,广东省深圳市龙华新区东环一路东吴工业园七栋,"['\r\n        ', '岗位职责：', '1、\xa0负责产业园区市场调查、定位规划和客户积累；', '2、\xa0负责各类招商渠道的开拓与日常维护，为园区招商引资，吸引企业客户入驻；', '3、进行产业论坛、产业峰会的组织和实施；', '4、跟踪已入住园区客户的相关需求，落实好园区客户服务及运营工作；', '5、\xa0负责相关招商运营工作的方案制定，执行及总结，以及相关材料的准备和落实；', '6、上级领导交办的其它事宜。', '任职要求：', '1、大学专科及以上学历，形象气质佳；', '2、3年以上产业园区或办公楼招商运营工作经验，若有文化创意、数字科技类产业园区招商运营类工作经验优先；', '3、有相关行业客户资源，有当地政府资源者优先；', '4、熟练运用WORD、EXCEL、PPT等办公软件；', '5、具有良好的沟通协调能力，工作积极主动。', '\r\n                ', '\r\n                                        ', '职能类别：', '物业招商/租赁/租售', '\r\n                                        ', '关键字：', '招商', '物业', '中介', '客户', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-baq/96675436.html?s=01&t=0,运营经理-北京童话公司,深圳市中投投资控股有限公司,0.6-1万/月,深圳-宝安区,无工作经验,大专,民营公司,500-1000人,多元化业务集团公司,松岗街道东方大道36号三层百线国际影城,"['\r\n        ', '岗位职责：', '1. 协助总经理，全面负责儿童业态项目的运营管理工作，对运营数据进行有效分析，并提出可行性建议；', '2. 基于运营数据统计分析，制定日常运营计划，提高用户活跃度；', '3. 制定并执行相关产品的运营策略与推广，以达成运营目标；', '4. 建立和维护线上及线下的宣传推广体系，拓展各类市场和媒体渠道。', '5. 积极拓展及整合外部潜在合作及客户资源，有效规划并开展异业资源整合与交换，进行商务拓展活动。', '6. 规划并开发儿童业态项目发展渠道，提升渠道质量。', '7. 进行用户开发，维护与经营管理规划，并促进有效实施。', '任职要求：', '1. 大专及以上学历；', '2. 熟悉儿童业态市场特点及发展趋势，掌握儿童业务管理特点；', '3. 具备互联网思维，熟悉互联网运营模式，对互联网行业具有深刻敏锐的洞察力，对产品需求敏感，对用户体验和心理有很好的把握。', '\xa0', '公司简介', '童话投资（北京）有限公司创立于2015年，是一家专注于儿童文化创意产业消费升级的投资公司。', '童话投资，秉持以创新思维介入儿童文化创意产业的初心，发挥文学、艺术、戏剧、教育、商业等诸多跨界设计能力，依托自身强大的数字影像技术和多媒体技术核心优势，通过投资、内部孵化和创作生产线等方式，多维度拓展儿童文创产业空间。', '目前，童话投资已成功在文创、教育和新零售三大领域规划布局，打造“内容+场景+平台”融合共生的“童话生态圈”。其中，文创领域涵盖“IP内容投资、原创IP衍生品设计开发、实景娱乐、主题巡展、自媒体”五大业务板块；教育领域涵盖“童话博物馆、营地教育”两大业务板块；新零售领域涵盖“几何岛沉浸式体验店、AR/VR虚拟体验店、几何岛场景玩具装置售卖”三大业务板块。', '童话投资是设计师梦想的投资人！', '2015年，针对美国儿童博物馆和迪斯尼为代表的主题公园等LBE业态进行深入研究解构并迭代创新，开始设计承载童话投资团队所有跨界设计师梦想的属于中国孩子们的“童话博物馆”方案。', '2016年，童话博物馆生态体系设计完成，童话博物馆设计定位是“儿童游戏化社区、学校教育的辅助、家庭教育的载体”，设计目标是“激发孩子们的创造力、培养孩子们的情商、增强孩子们的核心素养”，让孩子们在这里遇见“最美的故事、最重要的朋友、最好的自己”。', '2017年，针对城市中心商业综合体的折叠空间类童话博物馆设计完成，为孩子们与世界建立强链接的新入口。', '2018年，童话博物馆体系的戏剧游戏工坊“几何岛”将在深圳建成落地，“几何岛”是童话投资在物联网、新零售等消费转型升级时代背景下，以“文化+科技”为切入点，力求复兴传统中华文化的同时，用最新科技为孩子们提供一种未来教育方式。', '工作地址', '深圳市宝安区松岗镇东方大道36号 联投东方park三楼百线国际影城', '\r\n                ', '\r\n                                        ', '职能类别：', '营运经理', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-ftq/67158975.html?s=01&t=0,外贸业务员（跨境电商）,深圳特龙卡电子有限公司,0.8-1万/月,深圳-福田区,无工作经验,招5人,外资（欧美）,少于50人,贸易/进出口,福田区金地工业区,"['\r\n        ', '\xa0 \xa0 \xa0 \xa0深圳特龙卡电子有限公司成立于2007年，是一家从事进出口贸易的创新型公司，我司秉承诚信第一与员工共同进步的理念，主营产品有汽车诊断工具，里程调校仪，汽车编程器及汽车智能钥匙，公司主要通过阿里巴巴，ebay，敦煌，以及Google 等各大平台开发客户，主攻欧美市场，现因业务增长迅猛，诚邀销售精英人才加盟，共同谱写辉煌篇章，如果你有从事这个行业并且对于B2B平台后台操作有着丰富的经验，公司会优先录用你上岗！欢迎你的加入为我们的外贸团队增添更多精彩！', '外贸团队： ', '\xa0 \xa0 \xa0 1. 所有入职新员工公司将安排有经验老业务一对一亲自培训上岗，试用期间优先给到新员工客户资源并手把手教导如何猎取客户，只要你好学，就有无限的发展空间。 ', '2. 我们的团队积极上进平等互助，团队均90后待人真诚充满活力，一起努力工作Happy生活。 ', '3. 公司定期组织聚餐其他户外活动及团队经验分享，业务除享受个人业绩提成外还有额外的团队业绩提成以此鼓励团队合作形成互帮互助的友好氛围。', '\xa0 岗位职责： ', '\xa0 \xa0 \xa0 \xa0猛虎战队招兵买马（加入我们创造梦想）', '\xa0 \xa0 \xa0 \xa0你忍心自己奋斗一辈子还供不起一套房吗?你忍心看着你父母缩衣节食把仅有的一点养老金帮你还房贷吗?这里才是实现你梦想的地方!', '\xa0 \xa0 \xa0 你的必备freestyle:', '\xa0 \xa0 \xa0 1.英语四级以上，书面和口语沟通无障碍！', '\xa0 \xa0 \xa0 2.有想法有激情，热爱外贸职业', '\xa0 \xa0 \xa0 3.有抗压能力，性格开朗服从安排', '\xa0 \xa0 \xa0 4.有无经验均可，只要你敢来', '\xa0 \xa0 \xa0 你的日常：', '\xa0 \xa0 \xa0 1.开发新客户，维护老客户，主要是接下订单。', '\xa0 \xa0 \xa0 2，网络平台的维护，利用各种B2B平台发布产品信息，积极寻找客户资料。', '\xa0 \xa0 \xa0 3，积极与各种类型的客户保持正常沟通。', '\xa0 \xa0 \xa0 4，拿到订单后，要与生产工厂或部门配合，进行样品的确认，产品的生产，包括生产交货期，产品质量等方面。', '\xa0 \xa0 \xa0 5，对订单的跟踪，发现问题及时解决，保证订单的正常运转。', '\xa0 \xa0 \xa0 幕后彩蛋：', '\xa0 \xa0 \xa0 1，完善的带薪岗前培训，三个月暴风成长', '\xa0 \xa0 \xa0 2.\xa0完善的内训外训体系，保证小伙伴营养均衡', '\xa0 \xa0 \xa0 3.每月团建以及出游活动，去哪儿有你定', '\xa0 \xa0 \xa0 4.只要你有梦想，有才华，这里给你发挥的舞台！***逆袭，只要你转变！', '任职要求：', '\xa01、本岗位可接受无工作经验应届毕业生; ', '2、英语专专业四级以上，具有一定的英语听说读写能力，能够独立与国外客户沟通 ', '3. 执行力强，稳重脚踏实地效率高，学习交流能力强，勇于挑战自己，能承受一定的工作压力者优先。 ', '4、具备良好的敬业精神、有激情、团队合作意识及忠诚度。', '5. 熟练操作Word、Excel等办公软件 ', '福利待遇：', '\xa0 \xa0 \xa0 1、底薪+房补+全勤提成+月度业绩奖励+绩效考核+社保+定期团队活动+带薪年假', '2. 8小时工作制 五天半制度，（9:00-12：00，14:00-19：00）；按相关规定享受国家法定假期，转正后按照入职时间即可享受相应的带薪年假；', '3.晋升机制：外贸业务员+外贸主管+公司合伙人', '4.月底固定抢红包，红昨日随机抢红包，生日蛋糕，节日小礼品，目标奖，业绩奖，年终奖', '5.自由下午茶，聊天，喝茶喝咖啡', '6.各种各样的分享和培训，一对一指导，全方位成长和提高！', '（成长之路）', '1，一切靠自己！一切靠自己！一切靠自己！', '2，底薪，提成比同行高一些哦！（勤奋的业务员年薪15W以上）', '3，加班，早到，都随意，爱早就早，爱加就加，把工作做好就可以！', '4，不断学习，不断挑战，成长无限，提高无限！', '5，想到就要做，做就要做到最好！', '（工作地点：广东省深圳市福田区福强路文化创意园E馆E409）', '有兴趣的可发邮件到此邮箱：emily@talentcar.com', '\r\n                ', '\r\n                                        ', '职能类别：', '贸易/外贸专员/助理', '电子商务专员', '\r\n                                        ', '关键字：', '外贸', '外贸业务员', '跨境电商', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lgq/106415590.html?s=01&t=0,生产QC,巨群自行车配件（深圳）有限公司,4.5-6千/月,深圳-龙岗区,无工作经验,招10人,外资（非欧美）,500-1000人,原材料和加工,深圳市龙岗区布吉镇布龙路208号,"['\r\n        ', '岗位要求：', '年龄18-35岁，高中学历（无经验可培训）或初中学历（有检测相关工作经验）。', '公司福利：', '1、为每位员工购买五险一金；', '2、可免费为员工提供住宿，免水电费（5-10月平摊空调电费，其他月份免费），每日餐补7元，有饭卡，先吃后扣；', '3、为公司服务满一年享受5天年假；', '4、根据员工当年的表现发放年终绩效奖金；', '5、享受法定节假日，享受节日福利。', '请有意向并符合要求的应聘者于周一至周五14:00直接到公司面试！', '公司地址', '深圳市龙岗区布吉镇布龙路208号\xa0上水国际文化创意园内', '附近公交：丽湖花园\xa0附近100米\xa0附近地铁：上水径\xa0附近800米', '\r\n                ', '\r\n                                        ', '职能类别：', '质量检验员/测试员', '\r\n                                        ', '关键字：', '品管员', 'QC', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-ftq/119262075.html?s=01&t=0,媒体专员 （深圳安云艺术中心）,珠海合和服装有限公司,6-8千/月,深圳-福田区,1年经验,本科,民营公司,150-500人,服装/纺织/皮革,福田区益田路5033号平安金融中心N411,"['\r\n        ', '\xa0\xa0 安云艺术设计博物馆（AN+ Art and Design Museum）是一个创新艺术设计平台，致力于推动中西方文化创意产业的发展，积极联动跨界艺术与文化交流。与国内外艺术家、设计师、文化传播机构共同构建当代文化语境下的艺术与生活生态，通过高品质的展览、收藏、教育、定制销售服务等，将多元化、多维度的高端生活方式带入城市和社区，为城市生活带来更多可能性。', '岗位职能：', '1、了解现当代设计/艺术领域，依据艺术中心品牌定位，通过展览、活动等事件进行媒体开拓与维护；', '2、负责整个艺术中心的新媒体运营管理；配合展览、产品及零售的传播工作；配合完成宣传文案的撰写；', '3、新媒体运营包括微信公众号、微博、豆瓣、INS等的规划与运营；', '4、协助摄影、修图等配合品牌定位的各项传播周边工作。', '职位要求：', '1、1年以上媒体对接、传播经验；', '2、具备本地文化、艺术专业及大众娱乐类媒体资源；具备一定的全国性文化艺术媒体资源；', '3、善于沟通、有审美基础，可完成宣传文案的撰写；', '4、认同品牌文化并落实到线下，认真负责，善于沟通。', '\r\n                ', '\r\n                                        ', '职能类别：', '媒介主管', '媒介专员', '\r\n                                        ', '关键字：', '新媒体', '媒介', '文案', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-nsq/119432875.html?s=01&t=0,招聘专员,深圳市德之源社会工作服务中心,0.8-1万/月,深圳-南山区,无工作经验,招1人,民营公司,少于50人,非营利组织,南头街1956数字文化创意园3A栋602室,"['\r\n        ', '招聘专员：负责招聘保安人员', '本公司招聘人事专员一名，工作地点：深圳市南山区1956数字文化创意园3A栋602室', '（靠近地铁1号线大新站），工作内容：熟练运用招聘软件，迅速按质量招聘保安人员，从事过相关人事工作的优先，每月工作26天，薪资6K起，五险一金，中午有午餐。欢迎各位自荐或举荐。', '联系人：敬先生，联系电话：13640918623，简历请发送:1094215346@qq.com', '\r\n                ', '\r\n                                        ', '职能类别：', '招聘专员/助理', '人事专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lgq/95149579.html?s=01&t=0,财务助理,深圳市凌昱微科技有限公司,5-8千/月,深圳-龙岗区,1年经验,中专,民营公司,50-150人,电子技术/半导体/集成电路,坂田文化创意园Y1栋1楼13号,"['\r\n        ', '1、能够独立处理商业企业全盘帐务工作，负责公司税务申报及纳税筹划；', '2、负责编制月度、季度、年度财务报表及并进行报表分析；', '3、会计档案资料收集、装订、整理、保管；', '4、各项目资金往来、计划明晰；', '5、完成领导交办的其他工作', '任职资格：', '\xa0 \xa01、教育背景：会计、财务管理相关专业本科以上学历；\xa0', '\xa0 \xa02、从业经验：2年以上财务相关岗位；\xa0', '\xa0 \xa03、计算机技能要求：熟练操作office办公软件，特别是Excle基础函数熟练运用\xa0', '\xa0 \xa04、有较强的沟通协调能力和团队合作精神，工作主动性强，具有良好的学习能力，工作严谨细致，责任心强,执行力强\xa0。', '\xa0 \xa05、有较强的资料整理功底，有较强的耐心；', '\xa0 \xa06、保密意识高，办事沉稳，为人踏实，能吃苦耐劳，品行良好；', '\xa0 \xa07、熟悉国家财税规范、财务核算、财务管理、财务分析、财务预测等财务制度和业务，了解税务法规和相关税收政策；', '福利待遇：', '1、月薪：底薪+绩效+全勤+工龄。', '2、年终奖。', '3、公司可提供住宿，工作餐。', '4、公司为所有在职人员购买社保。', '5、公司所有员工享受法定节假日及带薪年假。', '6、每年两次的省内省外旅游。', '联系方式：', '地址：工作地址：深圳龙岗区坂田文化创意园Y1栋1楼13号', '联系方式：电话:0755-82722767-811    QQ:1455490921', '邮箱：hr@topsharp.net', '\r\n                ', '\r\n                                        ', '职能类别：', '会计', '\r\n                                        ', '关键字：', '财务', '文员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
