link,job,company,salary,area,experience,education,companyType,companySize,direction,address,describe
https://jobs.51job.com/shenzhen-lhxq/116171049.html?s=01&t=0,电子商务专员,深圳太科创新技术有限公司,4.5-5.5千/月,深圳-龙华新区,1年经验,大专,民营公司,50-150人,通信/电信/网络设备,大浪街道华宁路117号中安科技中心9楼B区,"['\r\n        ', '1.  负责公司官网的维护；', '2. 负责公司的阿里国际站和国内站的运营；', '3. 负责公司互联网的推广；', '4.协助展会策划；', '任职要求：', '1、***接受过一定电子商务、网络编辑等相关培训', '2、具有扎实的文字功底及编辑能力', '3、熟悉网站的建立与维护,了解并能使用DreamWeaver，Photoshop，office软件等网页编辑工具。', '4、拥有良好的沟通能力与表达能力，具有快速准备的反应能力及较强的分析解决问题的能力；', '5、出色的工作责任心、良好的团队', '\r\n                ', '\r\n                                        ', '职能类别：', '其他', '\r\n                                        ', '关键字：', '电子商务专员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen/119013732.html?s=01&t=0,接受实习 外贸专员 国际贸易 跨境电子商务专员,深圳市宝视佳科技有限公司,4-8千/月,深圳,无工作经验,本科,合资,1000-5000人,互联网/电子商务,深圳,"['\r\n        ', '岗位职责：', '1、操作亚马逊/速卖通/wish等店铺销售帐号管理，产品上架上传，维护优化，站内推广，产品销售；', '2、确保帐户安全，保证店铺良好好评，制定产品销售策略；', '3、处理客户邮件及查询,提高Review的质量和数量；', '4、及时跟踪订单信息，处理客户投诉，对客户的退换货进行妥善处理', '职位要求：', '1、本科学历，20-28岁，专业不限；', '2、英语CET-4（含）以上，英语读写能力良好，对口语不做要求；', '3、善于思考，不眼高手低，敢于挑战高薪；欢迎应届生，或爱好电商转行人士来我司发展；', '福利待遇：提供住宿，入职即购买五险一金。', '  一、公司简介：', '深圳市宝视佳科技有限公司成立于２００７年，是一家致力于跨境电子商务集团性标杆式的外贸企业，旗下拥有数十家分公司。公司集仓储与运营于一体，办公面积逾３００００平方米。在中国和美国拥有超过１５０，０００平方米的智能高效仓储配送中心。同时，超千人的优秀团队专注于Ｂ２Ｃ及Ｂ２Ｂ的销售运营，平台有Ebay、亚马逊、速卖通、wish、敦煌、Lazada等，日订单处理能力达数以十万计。公司作为中国跨境电商行业的佼佼者，愿景是成为跨境电商的沃尔玛！', '二、福利待遇：', '我们致力于为所有员工打造一个舒适、轻松的工作环境，为大家提供一个广阔的职业发展平台，更为大家提供：', '1.薪 酬：底薪+提成 入职半年薪资可达8k左右，不压提成.；', '2.社会保险：员工入职即购买五险一金；', '3.节日慰问：公司在端午节、中秋节等重大节日为员工发放节日慰问品；', '4.假期规定：公司提供按国家标准的有薪假期；', '5.生日活动：公司为当月生日员工送上生日礼品或组织员工生日会；', '6.员工活动：公司每年会举行一次大型年会活动；每年组织两次外出旅游，并定期组织各项文娱活动丰富员工的业余生活；每月会定期组织各类活动；', '7.员工培训：公司重视员工个人发展，不定期为员工组织相关培训；', '8.住宿：为新员工提供住宿；', '9.其 他：公司女员工享有每月半天带薪特殊假。', '三、公司文化：', '企业愿景： 跨境电商的沃尔玛', '企业使命： 为客户创造价值 实现员工梦想 对社会作出贡献', '企业价值观：以人为本 齐心协力 艰苦奋斗', '企业精神： 忠诚 务实 创新', '经营理念： 诚信 服务 共赢', '联系人：HR李莉', '公司地址：深圳市龙华新区东环一路安锦恒工业园28栋', '了解更多信息请登录：', '公司官网：http://www.bessky.cn', '  ', '\r\n                ', '\r\n                                        ', '职能类别：', '贸易/外贸专员/助理', '实习生', '\r\n                                        ', '关键字：', '五险一金', '提供住宿', '外贸运营', '亚马逊销售', '电子商务', '速卖通销售', 'B2C销售', '外贸业务员', '外贸专员', '外贸销售', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen/115488890.html?s=01&t=0,不限经验 跨境电商 英语四级 国际贸易 电子商务,深圳市优宜得电子商务有限公司,0.4-1万/月,深圳,无工作经验,本科,民营公司,1000-5000人,贸易/进出口,宝安区,"['\r\n        ', '一、岗位职责：', '1、负责Amazon/速卖通/shopee/Joom等平台账号的日常销售和运营，包括产品上下架、版面、推广、销售等；', '2、制定和完善店铺的销售政策与售后服务,提高店铺的好评率和良好的信用度；', '3、根据产品的销量和排名变化，及时制定和调整销售策略及推广计划，做好数据分析工作；', '4、完成上级安排的其他工作；', '二、任职要求：', '1、本科学历，20-26岁，对外贸感兴趣，不限经验；', '2、英语读写能力良好，英语四级或其他相关语言证书；', '3、不甘现状，喜欢挑战，敢于挑战业绩，敢于挑战高薪；', '加分项：', '小语种（德、意、法、西、日等）；', '三、公司推行内部晋升制，提供管理通道和精英通道的双向发展机会。', '职位晋升通道:', '外贸业务员（一月一次的晋升机会）――>外贸主管――>外贸经理；', '每天下午13：30，16：00，16：30论坛点歌，缓解压力，放松身体；', '我们致力于为所有员工打造一个舒适、轻松的工作环境，为大家提供一个广阔的职业发展平台，更为大家提供：', '1.薪 酬：', '拥有在行业内颇具竞争力的薪资及激励机制；', '2.社会保险：', '员工入职即购买五险一金；', '3.节日慰问：', '公司在端午节、中秋节等重大节日为员工发放节日慰问品；', '4.假期规定：', '公司提供按国家标准的有薪假期；', '5.生日活动：', '公司为当月生日员工送上生日礼品和组织员工生日会；', '6.员工活动：', '公司每年会举行一次大型年会活动；每年组织两次外出带薪旅游，并定期组织各项文娱活动（如：聚餐、烧烤、 爬山、拓展等）丰富员工的业余生活；每月会定期组织各类部门活动；', '7.', '发展空间', '：', '年轻的团队，轻松、开发放式的管理理念；公司有完善的培训体系，所有入职者进行规范的入职培训，且公司实行1对1或一对二专人指导，会让你快速融入工作；', '8.其 他：', '一年一度的体检福利；公司女员工享有每月半天带薪特殊假。', '工作是双向选择，只要你有那么一点点的想法，亦或是有暴富的梦想，欢迎您来投递简历。', '\r\n                ', '\r\n                                        ', '职能类别：', '贸易/外贸专员/助理', '电子商务专员', '\r\n                                        ', '关键字：', '跨境电商', 'B2C', '亚马逊', '外贸业务员', '外贸助理', '应届生', '实习生', '英语', '销售', '运营', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhxq/93876776.html?s=01&t=0,电子商务部―商品主管,深圳影儿时尚集团有限公司,0.9-1.2万/月,深圳-龙华新区,无工作经验,本科,合资,5000-10000人,服装/纺织/皮革,大浪时尚创意城浪琴路9号影儿时尚集团,"['\r\n        ', '岗位要求：', '1、3年以上女装行业商品相关工作经验，具有扎实的商品运营，商品企划经验；', '2、拥有较强的商品数据分析、服装选款能力，及对时尚趋势有较强的敏感度；', '3、有较好的逻辑思维判断及表达能力，细心，耐心；', '4、抗压能力强，工作细致快捷、勤于思考、敢于创新；', '5、具备出色的理解力、沟通能力，有团队协作精神；', '6、有电商商品管理经验者优先。', '岗位职责：', '1、根据季度销售目标，制定品牌线上季度商品企划需求；', '2、根据商品部规则,对线上商品价格体系进行管理及监控；', '3、负责商品业务流程梳理与优化，使商品工作顺利展开；', '4、商品日周月报表分析模块建立，并对商品策略及时进行调整；', '5、跨部门的沟通协调、货品资源支持、流程申请；', '6、行业大盘数据及竞品数据分析。', '\r\n                ', '\r\n                                        ', '职能类别：', '产品经理/主管', '产品专员', '\r\n                                        ', '关键字：', '电商商品主管', '电商产品主管', '商品主管', '商品企管', '服装商品主管', '服装产品主管', '电商商品专员', '服装商品专员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen/116521666.html?s=01&t=0,电子商务营销策划代表,深圳宝登科技网络有限公司,6-8千/月,深圳,无工作经验,招若干人,民营公司,少于50人,互联网/电子商务,罗湖,"['\r\n        ', '\xa01.\xa0熟悉及利用小程序及微信朋友圈，微信公众号商城等手机社交应用平台进行营销策划\xa0', '\xa02. 依据奢侈品市场情况，完成对奢侈品市场的信息采集及营销策划等工作任务。\xa0', '\xa0任职要求：\xa0', '\xa01.\xa01年以上奢侈品市场营销及策划经验。\xa0', '\xa02.\xa0对奢侈品有兴趣，且熟悉奢侈品等相关知识。\xa0', '\xa03.\xa0工作认真刻苦，对奢侈品营销充满热情和热忱。,\xa0', '\r\n                ', '\r\n                                        ', '职能类别：', '市场/营销/拓展专员', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-nsq/112868137.html?s=01&t=0,电子商务客服人员,深圳市军灿电子商务有限公司,5-8千/月,深圳-南山区,1年经验,大专,民营公司,少于50人,互联网/电子商务,深圳市南山区学苑大道田寮工业区A区9栋6楼西座,"['\r\n        ', '1、负责在速卖通平台及时回复客户邮件，提供售前咨询，售后服务；', '2、处理客户纠纷及中差评，对客户的退换货及退款进行妥善处理；', '3、客户售前售后反馈收集并分析', '4、完成上级安排的其他工作', '任职要求：', '1、熟悉速卖通平台及规则, 听说读写能力良好；国际贸易相关专业优先', '2、热爱跨境电子商务行业，有上进心，工作认真负责', '3、工作积极主动，认真负责，具团队合作精神', '4、踏实稳重，工作，有耐心，有良好的职业操守', '5、心态积极乐观，具备良好的心理素质，能吃苦耐劳，能承受工作压力', '6、有英语客服经验者优先', '\r\n                ', '\r\n                                        ', '职能类别：', '电子商务专员', '网店/淘宝客服', '\r\n                                ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lgq/104626733.html?s=01&t=0,电子商务外贸业务员（懂俄语）,深圳瑞万昌实业有限公司,4-8千/月,深圳-龙岗区,1年经验,本科,民营公司,少于50人,贸易/进出口,龙岗大道5002号（南联地铁站A2出口比亚迪4S店）3楼瑞万昌,"['\r\n        ', '同学，请别走！用2分钟读完这个内容你再走。', '深圳瑞万昌公司是一家经营多年老牌子的台湾企业，公司负责人是广州中山大学EMBA毕业，深圳网贸会副会长，阿里巴巴的明星讲师。公司主营搪胶娃娃玩偶产品100%me外销欧美非中东等地区。这是一个市场份额大，给全世界小女孩欢乐的产品。产品没有淡旺季，因为每个女孩都有生日礼物。公司本着英雄出少年，试用期是活期，试用期间老带新采师徒制，接到的任何订单都有销售总额2.5%的提成；只要你有能力不需要等三个月就转正，有明确的升迁制度。', '我司地址在深圳3号线龙岗南联地铁站A2出口附近，位于深圳市龙岗中心,交通方便，假日三五同学玩乐便利。因业务每年按20%扩大，故需要诚征 :', '岗位职责：', '1、会操作阿里巴巴或者其他外贸SNS平台如FB，LinkedIn， Twitter；', '2、负责海外市场的客户开发、维护工作；', '3、负责跟进自己手上的订单生产，发货，文件，与客户保持良好的沟通。', '任职要求：', '1、熟练阿拉伯语或英语；', '2、对外贸销售有强烈兴趣，且能吃苦耐劳，抗压能力强；', '3、较强的责任心和沟通能力，性格外向。', '福利待遇：', '1、底薪+提成+奖金+升迁快；', '2、社保+全勤奖＋午茶＋交游；', '3、新人会有专人一对一辅导，有制度的内部培训和外出学习机会。', '1.工作时间：8：30-12：00\xa0 14：00-18：30（大小周）', '2.工作地点：深圳市龙岗区龙岗大道5002号3楼308室。', '   3号线南联地铁站A2出口步行3分钟抵达。', '   公交路线：812路,818路，M303,M205,309路,351路等25条。', '公司网站：www.vinyldollkits.com / www.everyest.com / www.americandollshoes.com ', '\r\n                ', '\r\n                                        ', '职能类别：', '贸易/外贸专员/助理', '业务跟单', '\r\n                                        ', '关键字：', '跨境电商', '外贸专员', '销售业务员', '外贸跟单员', '阿里巴巴', '国际贸易', '贸易专员', '外贸销售员', '销售业务', '外贸跟单', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhxq/118433947.html?s=01&t=0,民乐 电子商务转市场营销/管培生/储备干部/提供住宿,深圳市乐有家控股集团有限公司,0.8-1万/月,深圳-龙华新区,无工作经验,大专,民营公司,10000人以上,房地产,东龙升商务大厦,"['\r\n        ', '乐有家大学生团队欢迎您的加入！！！', '1、高底薪：', '经纪人收入自主制，薪酬福利包括底薪、各项补贴和奖金，超高业绩奖核算比例55%-80%：', '本科薪酬7500元起（无责任底薪6000+真服务津贴1500）', '大专薪酬6800元起（无责任底薪5300+真服务津贴1500）', '一直被模仿，从未被超越！', '2、住宿：如有需求可以提供员工宿舍。', 'PS:', ' ', '接收实习生，生手免开单入职。', '3', '、晋升速度快：来公司3个月做经理，一年做店长，两年做区域总监，五年做集团副总。不唯学历，不唯功过，不唯出身，只唯能力，只唯.一颗赤子之心', '！', '4', '.其他福利：五险一金+免费培训 +节日关怀礼+ 带薪假期 + 境内外旅游 +高端智能手机', '【任职资格】', '1、年满十八周岁，大专以及以上学历', '2、融进骨子里的成功欲，做事勤奋。', '3、扬在脸上的自信', '4、较强的抗压能力', '【房产销售的四大好处】', '1：多劳多得，不拿死工资，', '2：客户群体大：房产投资是最稳健的投资，刚性需求永远都在！', '3：最能提高人生阅历：接触社会不同人群，增加人生阅历，提升形象气质沟通能力;做地产销售3年胜过读名校4年。', '4：最能提高沟通能力：提升应变能力，沟通能力，提升亲和力，团队荣誉感。', '【联系人】', '刘主任181  00283 750\xa0 \xa0 微信：MQ1563949', '主动=机会\xa0 \xa0欢迎主动联系', '\r\n                ', '\r\n                                        ', '职能类别：', '销售主管', '客户代表', '\r\n                                        ', '关键字：', '销售精英', '销售储备干部', '营销设计', '市场营销', '一对一带教', '无经验', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-lhxq/119304364.html?s=01&t=0,亚马逊运营卖通运营 跨境电商运营电子商务专员,深圳市蔚蓝思科技有限公司,4.5-9千/月,深圳-龙华新区,无工作经验,大专,民营公司,1000-5000人,互联网/电子商务,深圳市龙华新区东环一路安锦恒工业园28栋1楼,"['\r\n        ', '岗位职责：', '1、管理亚马逊、速卖通、wish、ebay、lazada、shopee、joom、Cdiscount、jumia、walmart等平台账号，负责店铺日常运营管理；', '2、每天及时上架产品，listing优化，策划活动，保持个人账户的良好的运营状况；', '3.   根据产品的销量和排名变化，及时制定和调整销售策略及推广计划，做好数据分析工作；', '4.   分析竞争对手情况，掌握市场趋势和变化，制定改善的可行性方案；', '5.   针对店铺运营和账号健康管理，做好数据分析总结，形成销售报表，并及时向上级汇报情况；', '          ', '6、服从上级的指令，按时有效的完成上级交付的任务。', '职位要求：', '1.大专及以上学历，年龄20-27周岁，对外贸、跨境电商感兴趣者；', '2.接近英语四级水平，对口语不做要求，具备基本的英文阅读能力，可处理邮件回复即可；', '3.有无经验皆可，工作踏实敬业，有责任心和耐心；', '4. 欢迎广大优秀的应届毕业生、实习生。', '注:提供住宿，无需经验，全面带薪培训，多渠道晋升，入职购买五险一金，平台广产品多规模大，高提成，欢迎您的加盟！', '一、公司简介：', '深圳市蔚蓝思科技有限公司隶属于深圳市宝视佳科技有限公司成立于２００７年，是一家致力于跨境电子商务集团性标杆式的外贸企业，旗下拥有数十家分公司。公司集仓储与运营于一体，办公面积逾３００００平方米。在中国和美国拥有超过１５０，０００平方米的智能高效仓储配送中心。同时，超千人的优秀团队专注于Ｂ２Ｃ及Ｂ２Ｂ的销售运营，平台有Ebay、亚马逊、速卖通、wish、敦煌、Lazada等，日订单处理能力达数以十万计。公司作为中国跨境电商行业的佼佼者，愿景是成为跨境电商的沃尔玛！', '二、福利待遇：', '我们致力于为所有员工打造一个舒适、轻松的工作环境，为大家提供一个广阔的职业发展平台，更为大家提供：', '1.薪 酬：无责任底薪+提成+绩效奖金构成，拥有在行业内颇具竞争力的薪资及激励机制；', '2.社会保险：员工入职即购买五险一金；', '3.节日慰问：公司在端午节、中秋节、女生节等重大节日为员工发放节日慰问品；', '4.假期规定：提供法定节假日、年休假、婚假、产假、丧假等带薪假期，女员工享有每月半天带薪特殊假', '5.生日活动：公司为当月生日员工举行生日party并送上生日礼物；', '6.人性化管理：公司每月提供固定经费组织部门活动；每年会举行一次大型年会活动和两次带薪公费外出旅游活动，并定期组织各项文娱活动（如：趣味运动会、聚餐、烧烤、 爬山、羽毛球赛等）丰富员工的业余生活；', '7.住宿：为新员工提供公寓式住宿（小区：电梯、空调、热水器等设备）', '三、培训晋升：', '1.公司有完善的培训体系，新人入职培训-试用期一对一辅导培训-专业技能培训-管理类培训等；', '2.公司有自主研发的培训系统，员工可自行根据需求选择自己感兴趣的课程培训。', '3.公平公正的晋升通道：', '基层员工-组长-部门主管-部门经理-部门总监-副总经理-总经理（管理通道）', '四、公司文化：', '企业愿景： 跨境电商的沃尔玛', '企业使命： 为客户创造价值 实现员工梦想 对社会作出贡献', '企业价值观：以人为本 齐心协力 艰苦奋斗', '企业精神： 忠诚 务实 创新', '经营理念： 诚信 服务 共赢', '公司地址：深圳市龙华新区东环一路安锦恒工业园28栋1楼', '联系人：HR黄小姐', '联系方式： hr30@bessky.cn', '了解更多信息请登录：', '公司官网：http://www.bessky.cn', '\r\n                ', '\r\n                                        ', '职能类别：', '网站运营专员', '电子商务专员', '\r\n                                        ', '关键字：', '亚马逊运营', '速卖通运营', 'eBay运营', '跨境电商专员', '跨境电商运营', '电子商务专员', '网站运营专员', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
https://jobs.51job.com/shenzhen-ftq/111817588.html?s=01&t=0,电子商务运营助理,深圳市路德利电子贸易有限公司,6-9千/月,深圳-福田区,无工作经验,大专,民营公司,150-500人,电子技术/半导体/集成电路,联合广场,"['\r\n        ', '岗位要求：', '1、大专及以上学历，专业不限，理工科专业优先考虑；', '2、工作积极主动，能吃苦耐劳，有团队合作精神；', '3、有创新精神，喜欢尝试新鲜事物；', '4、具有明确的人生目标，敢于挑战高薪；', '福利待遇：', '1、五险一金：按照国家相关政策为员工缴纳社会保险，包括养老保险，医疗保险，失业保险，工伤保险，生育保险，以及公积金；', '2、节日福利：春节，端午节，中秋节等节日期间发放节日津贴或实物；', '3、定期体检：公司每年至少安排一次员工体检；', '4、带薪年假：工作满一年，可享受国家规定的带薪年假；', '5、其他活动：公司不定期组织各种文体活动，如外出旅游，联欢会等；', '上班时间：9:00-18：00，中午休息1.5小时，周末双休', '\r\n                ', '\r\n                                        ', '职能类别：', '网店/淘宝运营', '电子商务专员', '\r\n                                        ', '关键字：', '网络客服', '行政助理', '售前工程师', '售后工程师', '销售助理', '销售工程师', '网络推广', '销售支持', '网站运营', '电子商务', '\r\n                    ', '\r\n        ', '微信分享', '\r\n        ', '\r\n        ', '\r\n    ']"
