link,jobName,city,company,companyType,companySize,companyUrl,workingExp,salary,eduLevel,direction,address,describe
"[""https://jobs.zhaopin.com/CC169549317J00328000504.htm""]","[""文化创意开发""]","[""上海-杨浦区""]","[""上海荣庆堂实业发展有限公司""]","[""民营""]","[""100-499人""]","""https://company.zhaopin.com/CZ169549310.htm""","[""1-3年""]","[""70K-100K""]","""中专"""
"[""https://jobs.zhaopin.com/CC198996014J00238605102.htm""]","[""喜文化创意师""]","[""上海-金山区""]","[""南方寝饰科技有限公司""]","[""民营""]","[""1000-9999人""]","""http://special.zhaopin.com/pagepublish/19899601/index.html""","[""3-5年""]","[""8K-16K""]","""大专"""
"[""https://jobs.zhaopin.com/CC552405830J00106952508.htm""]","[""3D展示创意设计师""]","[""上海""]","[""上海知韬文化创意股份有限公司""]","[""民营""]","[""500-999人""]","""https://company.zhaopin.com/CZ552405830.htm""","[""1-3年""]","[""10K-12K""]","""大专"""
"[""https://jobs.zhaopin.com/CCL1220055330J00380640306.htm""]","[""展示创意策划""]","[""上海-闵行区""]","[""上海数展文化创意有限公司""]","[""民营""]","[""100-499人""]","""https://company.zhaopin.com/CZL1220055330.htm""","[""不限""]","[""8K-15K""]","""学历不限"""
"[""https://jobs.zhaopin.com/CC557525226J00419754603.htm""]","[""德必创意人才-2020财务管培生""]","[""上海-长宁区""]","[""上海德必文化创意产业发展(集团)股份有限公司""]","[""民营""]","[""100-499人""]","""https://company.zhaopin.com/CZ557525220.htm""","[""无经验""]","[""6K-10K""]","""本科"""
"[""https://jobs.zhaopin.com/CC557525226J00409457103.htm""]","[""市场主管""]","[""上海""]","[""上海德必文化创意产业发展(集团)股份有限公司""]","[""民营""]","[""100-499人""]","""https://company.zhaopin.com/CZ557525220.htm""","[""3-5年""]","[""10K-15K""]","""本科"""
"[""https://jobs.zhaopin.com/CZ894601430J00157146708.htm""]","[""施工员""]","[""上海-崇明区""]","[""上海尚溪文化创意有限公司""]","[""股份制企业""]","[""20-99人""]","""https://company.zhaopin.com/CZ894601430.htm""","[""1-3年""]","[""6K-8K""]","""大专"""
"[""https://jobs.zhaopin.com/CZ894601430J00021720508.htm""]","[""项目经理""]","[""上海-崇明区""]","[""上海尚溪文化创意有限公司""]","[""股份制企业""]","[""20-99人""]","""https://company.zhaopin.com/CZ894601430.htm""","[""1-3年""]","[""8K-15K""]","""学历不限"""
"[""https://jobs.zhaopin.com/CC557525226J00327479403.htm""]","[""内审监察经理(000715)""]","[""上海""]","[""上海德必文化创意产业发展(集团)股份有限公司""]","[""民营""]","[""100-499人""]","""https://company.zhaopin.com/CZ557525220.htm""","[""5-10年""]","[""15K-20K""]","""本科"""
"[""https://jobs.zhaopin.com/CZ894601430J00082590708.htm""]","[""景观设计""]","[""上海-宝山区""]","[""上海尚溪文化创意有限公司""]","[""股份制企业""]","[""20-99人""]","""https://company.zhaopin.com/CZ894601430.htm""","[""1-3年""]","[""6K-10K""]","""大专"""
