link,jobName,city,company,companyType,companySize,companyUrl,workingExp,salary,eduLevel,direction,address,describe
"[""https://jobs.zhaopin.com/CC120867247J00285592105.htm""]","[""国内电子商务""]","[""成都""]","[""成都拓普实业有限公司""]","[""其它""]","[""20-99人""]","""https://company.zhaopin.com/CZ120867240.htm""","[""1-3年""]","[""4K-6K""]","""大专"""
"[""https://jobs.zhaopin.com/CC153186610J00286159606.htm""]","[""电子商务专员（日语）""]","[""成都-锦江区""]","[""成都音和娜网络服务有限公司""]","[""外商独资""]","[""20-99人""]","""https://company.zhaopin.com/CZ153186610.htm""","[""不限""]","[""3K-5K""]","""学历不限"""
"[""https://jobs.zhaopin.com/CC840050690J00257354606.htm""]","[""电子商务专员""]","[""成都""]","[""成都飞进网络科技有限公司""]","[""其它""]","[""100-499人""]","""https://company.zhaopin.com/CZ840050690.htm""","[""不限""]","[""8K-10K""]","""学历不限"""
"[""https://jobs.zhaopin.com/140079851250569.htm""]","[""电子商务文员""]","[""成都-高新区""]","[""成都聚思力信息技术有限公司""]","[""外商独资""]","[""500-999人""]","""https://company.zhaopin.com/CZ140079850.htm""","[""不限""]","[""2K-4K""]","""大专"""
"[""https://jobs.zhaopin.com/140079851250606.htm""]","[""电子商务文员（欢迎2019年毕业生）""]","[""成都-高新区""]","[""成都聚思力信息技术有限公司""]","[""外商独资""]","[""500-999人""]","""https://company.zhaopin.com/CZ140079850.htm""","[""不限""]","[""1.8K-2.5K""]","""大专"""
"[""https://jobs.zhaopin.com/140079851250616.htm""]","[""电子商务文员 （夜班）（往届/应届均可）""]","[""成都-高新区""]","[""成都聚思力信息技术有限公司""]","[""外商独资""]","[""500-999人""]","""https://company.zhaopin.com/CZ140079850.htm""","[""无经验""]","[""2.8K-4.5K""]","""大专"""
"[""https://jobs.zhaopin.com/CC120866805J00438921801.htm""]","[""（都江堰）销售实习生/电子商务/市场营销/月均7K""]","[""成都""]","[""四川链家房地产经纪有限公司""]","[""民营""]","[""10000人以上""]","""http://special.zhaopin.com/2018/cd/sclj020745""","[""无经验""]","[""4.5K-8K""]","""大专"""
"[""https://jobs.zhaopin.com/CC120866805J00369235901.htm""]","[""【华西川音川师武侯祠】门店销售/互联网运营/电子商务""]","[""成都""]","[""四川链家房地产经纪有限公司""]","[""民营""]","[""10000人以上""]","""http://special.zhaopin.com/2018/cd/sclj020745""","[""不限""]","[""4K-6K""]","""大专"""
"[""https://jobs.zhaopin.com/CC120866805J00487960701.htm""]","[""（都江堰）销售实习生/电子商务/市场营销/链家地产""]","[""成都-都江堰市""]","[""四川链家房地产经纪有限公司""]","[""民营""]","[""10000人以上""]","""http://special.zhaopin.com/2018/cd/sclj020745""","[""无经验""]","[""4.5K-8K""]","""大专"""
"[""https://jobs.zhaopin.com/CC120866805J00371626101.htm""]","[""名创优作 6-1万 电子商务/VIP运营/房产销售/业务员""]","[""成都-新都区""]","[""四川链家房地产经纪有限公司""]","[""民营""]","[""10000人以上""]","""http://special.zhaopin.com/2018/cd/sclj020745""","[""不限""]","[""4K-6K""]","""本科"""
"[""https://jobs.zhaopin.com/CC617585820J00396158807.htm""]","[""电子商务""]","[""成都""]","[""西安人瑞人力资源服务有限公司""]","[""民营""]","[""不限""]","""https://company.zhaopin.com/CZ617585820.htm""","[""不限""]","[""6K-8K""]","""大专"""
"[""https://jobs.zhaopin.com/CC529687282J00395101601.htm""]","[""电子商务专员""]","[""成都""]","[""成都西南人瑞人力资源服务有限公司""]","[""股份制企业""]","[""500-999人""]","""https://company.zhaopin.com/CZ529687280.htm""","[""不限""]","[""5K-8K""]","""大专"""
